[6.915366   7.09793226],[-1.16554805  0.0676609 ],[7.69708154 7.37250171],[-1.23927239 -0.06571118],[4.02507639 2.49651528],[ 0.70010054 -0.3570271 ],[1.94870419 6.46162153],[ 1.27531671 -0.25070855],[1.92140417 6.64268531],[ 1.00347819 -0.82643995],[6.14747172 6.79384208],[-1.12961863 -0.07439001],[3.60925191 3.08139372],[-0.7092735   0.14385609],[8.47185917 5.43843532],[-0.87701082  0.8164219 ],[8.11461827 4.15846756],[-1.24874617 -0.16558199],[1.89695789 3.29449472],[0.99347527 0.87752414]
[6.7985113  7.10214895],[-1.16694811  0.02122793],[7.57324182 7.36351604],[-1.23738344 -0.11384764],[4.09785174 2.46385282],[ 0.75524038 -0.29510312],[2.07553992 6.43574618],[ 1.25871433 -0.26948726],[2.02237662 6.56135814],[ 1.01148008 -0.8044932 ],[6.03472238 6.78456592],[-1.12147659 -0.10713778],[3.53835241 3.09875676],[-0.70635715  0.20561958],[8.38188722 5.51805973],[-0.92088898  0.77654771],[7.98958422 4.14371263],[-1.25240357 -0.13069597],[1.99665671 3.38159054],[1.00066066 0.86494991]
[6.68187241 7.10207476],[-1.16523336 -0.02197715],[7.44994663 7.35009724],[-1.22862533 -0.15421086],[4.1758786  2.43751595],[ 0.80681561 -0.2287323 ],[2.20094157 6.40821713],[ 1.25018994 -0.2797764 ],[2.1241344  6.48224141],[ 1.02310447 -0.77825354],[5.92277859 6.77203544],[-1.11691306 -0.14313391],[3.46807035 3.1225955 ],[-0.69833618  0.27187715],[8.28776939 5.59363539],[-0.96378279  0.73170932],[7.86424285 4.13230284],[-1.25449043 -0.09842772],[2.0966834  3.46714683],[0.99816873 0.84478218]
[6.56515368 7.09739268],[-1.16662337 -0.06934044],[7.32721733 7.33238644],[-1.22761373 -0.20170049],[4.258715   2.41789948],[ 0.84864884 -0.1635292 ],[2.32534934 6.37961331],[ 1.23722899 -0.29287387],[2.22657484 6.4053024 ],[ 1.02600433 -0.76020369],[5.81164349 6.75625142],[-1.10756184 -0.17422187],[3.39884797 3.15325185],[-0.68478338  0.34220819],[8.18934285 5.66442504],[-1.00552653  0.68243546],[7.73912485 4.12438291],[-1.24763525 -0.05994675],[2.19696843 3.55128742],[1.0067545  0.83762497]
[6.44855129 7.08817781],[-1.16328003 -0.11278822],[7.20486446 7.31016415],[-1.21512783 -0.2379259 ],[4.34570963 2.40520903],[ 0.88989383 -0.09019972],[2.44870793 6.35000822],[ 1.22779925 -0.30111704],[2.32961289 6.33050112],[ 1.0313015  -0.73924817],[5.7011067  6.73700658],[-1.10218289 -0.20983575],[3.33101643 3.19086015],[-0.67198749  0.40920995],[8.08727081 5.730568  ],[-1.03580982  0.63991667],[7.6143334  4.11984781],[-1.2481912 -0.0314868],[2.29758277 3.63428044],[1.00748181 0.82447814]
[6.33244006 7.07477444],[-1.16097003 -0.15736133],[7.08391744 7.28460974],[-1.20334716 -0.2723535 ],[4.43632942 2.39979682],[ 0.9222453  -0.01696889],[2.57101672 6.31952469],[ 1.21989945 -0.3066403 ],[2.43301386 6.25764156],[ 1.03596403 -0.71860473],[5.59163032 6.71472574],[-1.08965601 -0.23793406],[3.26477207 3.23529167],[-0.65174763  0.47980006],[7.98241937 5.79252239],[-1.05898903  0.60095899],[7.48952206 4.11800023],[-1.24668203 -0.00475862],[2.39819604 3.71596713],[1.00397941 0.80867355]
[6.21698548 7.05732186],[-1.1471007  -0.19030067],[6.96429365 7.25586102],[-1.19133061 -0.30456669],[4.52945253 2.40137004],[0.94132927 0.05068838],[2.69260645 6.28865822],[ 1.21122082 -0.31103819],[2.53660156 6.1865846 ],[ 1.03427357 -0.70415668],[5.48313317 6.68936847],[-1.08138128 -0.27024667],[3.20048905 3.28648057],[-0.63183798  0.5450779 ],[7.87514184 5.85032775],[-1.08782898  0.55332171],[7.36540035 4.11924683],[-1.23458968  0.03087622],[2.49843537 3.7961106 ],[1.00353965 0.79716358]
[6.10281082 7.03654431],[-1.13418022 -0.22275112],[6.84589135 7.22398365],[-1.17836451 -0.33434288],[4.62473099 2.41033704],[0.96177166 0.12739241],[2.81290339 6.25695611],[ 1.19730151 -0.3204907 ],[2.63998555 6.11692624],[ 1.03274754 -0.68966361],[5.37547933 6.66077946],[-1.07216493 -0.3020017 ],[3.13870837 3.34441485],[-0.60056945  0.61569691],[7.76552126 5.90375071],[-1.10643119  0.51308021],[7.24207061 4.12359057],[-1.23147909  0.05600243],[2.59864477 3.87518958],[1.00055825 0.78452153]
[5.98968303 7.01232764],[-1.12883026 -0.26215636],[6.72846981 7.18885899],[-1.17015306 -0.36814658],[4.7214264  2.42670589],[0.9688662  0.19761328],[2.93204923 6.22457679],[ 1.18337069 -0.32935034],[2.7432075  6.04870819],[ 1.0327462  -0.67361684],[5.26913474 6.62941597],[-1.05502235 -0.32533562],[3.07987421 3.40889172],[-0.57341959  0.67528649],[7.65427497 5.95329528],[-1.11876817  0.47739114],[7.11899938 4.13023929],[-1.23075408  0.0755441 ],[2.69835855 3.9528602 ],[0.99189921 0.7672009 ]
[5.87776123 6.98485769],[-1.11228463 -0.28957734],[6.61226705 7.1508023 ],[-1.15522772 -0.39402969],[4.81868372 2.45023704],[0.972241   0.26978313],[3.04982381 6.19133079],[ 1.17168611 -0.33591231],[2.8464515 5.9821348],[ 1.0303096  -0.65970482],[5.16415452 6.59539487],[-1.04140231 -0.35169604],[3.02399642 3.4791985 ],[-0.54094251  0.73271514],[7.5416654  5.99907483],[-1.13199827  0.43941163],[6.99626913 4.13894658],[-1.22385287  0.09837206],[2.79741354 4.02904355],[0.99201324 0.75947134]
