[7.45737836 4.65813908],[-0.58963303  0.84995046],[4.35190187 5.1763741 ],[ 1.09535891 -0.63619812],[4.60543906 7.30235489],[ 0.86773592 -1.01601489],[7.22006886 2.43050741],[-0.2043204  -0.80747026],[8.18012091 2.55846186],[-0.15259699  1.1781575 ],[4.32307178 4.04109333],[1.0145704  0.69066077],[7.35007177 4.97286157],[-0.57352618  0.81366875],[9.19519407 3.73410397],[-0.33753896  1.06470537],[8.29591568 5.21667763],[-0.67161498 -0.97507944],[8.73488762 2.33339191],[-0.97246656  0.58405213]
[7.39794895 4.74224602],[-0.59999423  0.83113321],[4.46141317 5.11352974],[ 1.09366212 -0.6218606 ],[4.69174486 7.20090284],[ 0.85969374 -1.01171343],[7.19864497 2.35046136],[-0.22246258 -0.79143398],[8.1635852  2.67585243],[-0.1745231   1.17286701],[4.4251348  4.10857383],[1.02647421 0.65928476],[7.29212635 5.05325162],[-0.58417656  0.79526037],[9.15887082 3.83963014],[-0.38822924  1.04597871],[8.22822007 5.11969357],[-0.67577319 -0.95813451],[8.63701423 2.39329287],[-0.98561156  0.61105258]
[7.33751203 4.82449092],[-0.60753937  0.81490083],[4.57070002 5.05207004],[ 1.09335871 -0.60597896],[4.77728753 7.09992466],[ 0.85193398 -1.00704776],[7.175506   2.27221568],[-0.24046633 -0.77328906],[8.1448547  2.79258947],[-0.19813922  1.16351275],[4.52817494 4.17284302],[1.03590712 0.62816868],[7.23308064 5.13174   ],[-0.59569611  0.77549785],[9.11791252 3.94352934],[-0.43305551  1.02914581],[8.16011644 5.02439298],[-0.68695488 -0.94848018],[8.53829273 2.45572503],[-0.98655571  0.63812273]
[7.2763712  4.90514065],[-0.61480838  0.79851559],[4.67973573 4.99198629],[ 1.0897854  -0.59318429],[4.86189299 6.99926173],[ 0.84070062 -1.0056617 ],[7.15057273 2.1958969 ],[-0.25888955 -0.75345354],[8.12411275 2.90863414],[-0.21674123  1.15698519],[4.63248631 4.23448032],[1.04991658 0.6048398 ],[7.17300968 5.20835476],[-0.60365189  0.75876854],[9.0727577  4.04583048],[-0.46826473  1.01779231],[8.09117797 4.93035794],[-0.68844729 -0.92895081],[8.4396228 2.5205351],[-0.98398297  0.65964651]
[7.21468783 4.98431345],[-0.61874013  0.78498774],[4.78877759 4.93357599],[ 1.09071953 -0.57524772],[4.94542279 6.89879844],[ 0.83015537 -1.00332555],[7.12369602 2.12157454],[-0.27763279 -0.7316094 ],[8.10125244 3.02369129],[-0.23929671  1.14514242],[4.73812054 4.29388713],[1.05789313 0.57892651],[7.11227771 5.2833977 ],[-0.61029953  0.7426884 ],[9.02385251 4.14654635],[-0.50951046  0.99631478],[8.02183594 4.83801033],[-0.69723281 -0.91682349],[8.34153511 2.58747045],[-0.98106978  0.67471262]
[7.15243404 5.0619343 ],[-0.62298324  0.77072283],[4.89796125 4.87704534],[ 1.0922772  -0.55584702],[5.02805334 6.7987306 ],[ 0.82100907 -0.99943773],[7.0953616  2.04996125],[-0.28872449 -0.70010432],[8.07632267 3.13769412],[-0.25962684  1.13432761],[4.84410773 4.35036551],[1.06224189 0.55147242],[7.05073025 5.35665371],[-0.61951497  0.72348223],[8.97088707 4.24502261],[-0.54916134  0.97335939],[7.95183161 4.74710345],[-0.70140337 -0.8999255 ],[8.24363643 2.65551146],[-0.97475824  0.68746492]
[7.08958721 5.13793864],[-0.63234131  0.75094541],[5.0068484  4.82201958],[ 1.08646797 -0.54374654],[5.10982224 6.69911293],[ 0.81367433 -0.99360381],[7.06588161 1.98155816],[-0.29891737 -0.66571066],[8.04945211 3.25064982],[-0.27609973  1.12616258],[4.95064075 4.40432734],[1.06899618 0.52888776],[6.9885953  5.42829372],[-0.62250354  0.70990229],[8.91391538 4.34101792],[-0.5881803   0.94817208],[7.88142969 4.65790564],[-0.70534592 -0.88276373],[8.14684176 2.72510501],[-0.96176221  0.70325616]
[7.02588816 5.21203312],[-0.64143129  0.73111233],[5.11538699 4.76843402],[ 1.08536452 -0.5268039 ],[5.19083897 6.6000639 ],[ 0.80471399 -0.98928982],[7.03511793 1.91644461],[-0.3142242  -0.63402655],[8.02083674 3.36261506],[-0.29629271  1.11297556],[5.05784113 4.45616405],[1.0734862  0.50682226],[6.92585249 5.49823695],[-0.63234208  0.68890698],[8.85357785 4.43486867],[-0.6218915   0.92504584],[7.81061848 4.57041479],[-0.70720994 -0.86340307],[8.05112084 2.79590317],[-0.95129062  0.7136332 ]
[6.96129874 5.28414666],[-0.64606966  0.71536875],[5.22334418 4.7160707 ],[ 1.0758342  -0.51847377],[5.27094618 6.50144539],[ 0.79700015 -0.9835221 ],[7.00287672 1.85469129],[-0.33121594 -0.6011691 ],[7.9902443  3.47327548],[-0.31634345  1.09934866],[5.16544754 4.50588068],[1.07669901 0.48592458],[6.86195383 5.56588488],[-0.6423478  0.6672545],[8.78963838 4.52604433],[-0.6539231   0.90095878],[7.73957857 4.48482092],[-0.71346395 -0.84832592],[7.95650265 2.86767564],[-0.93826158  0.72435351]
[6.89654573 5.35496021],[-0.64788085  0.70194292],[5.33055148 4.66472993],[ 1.06825329 -0.50849427],[5.35048439 6.40360694],[ 0.7931424  -0.97387164],[6.96888726 1.79633814],[-0.35110511 -0.56786625],[7.95761692 3.5825219 ],[-0.33593245  1.08576608],[5.27310518 4.55333142],[1.07694342 0.46394901],[6.79746738 5.63175151],[-0.64862279  0.64875119],[8.72275949 4.61493153],[-0.68076086  0.87919158],[7.66782674 4.40066641],[-0.7212931  -0.83444221],[7.86325524 2.94050754],[-0.92418765  0.73455709]
