[4.28936145 6.02892859],[-4.59089833  1.32718776],[8.92682127 3.29573363],[ 3.49229569 -3.21829073],[0.28834369 4.35865179],[-2.59546132  1.87457371],[5.41058783 8.0304389 ],[ 0.80984093 -3.46200289],[0.77211737 9.64212573],[-2.65961465  0.86487663],[3.41267263 6.28008232],[-3.9413112  -1.48871783],[4.73695794 4.28097266],[1.60978156 0.90056169],[0.93031606 4.61478429],[ 1.9965315  -0.41481723],[2.76786802 5.41664622],[-4.56518542  0.21147663],[5.9573616 7.1832247],[-1.29884987 -2.4920136 ]
[1.01526249 6.36315572],[-0.76109069 -0.28463219],[7.14915033 2.74675455],[-1.27370634  0.58669972],[0.80724533 6.97912323],[1.09428975 0.35151778],[4.28693644 4.66959102],[-0.91791607 -0.60369594],[0.03829001 7.41554241],[ 0.72810789 -1.05466197],[0.76174704 4.66653865],[-0.38697894 -0.59210225],[5.46084814 6.88469643],[-0.82024063  0.69940471],[4.35515858 5.15570151],[0.76157337 0.51796748],[0.09529739 5.98668409],[-0.29223308  0.33744836],[3.27614453 4.66899938],[-0.98030902 -0.35240818]
[0.94019262 6.33336708],[-0.74112552 -0.31217142],[7.02237021 2.80604259],[-1.26248327  0.59827693],[0.91724527 7.01192106],[1.10585913 0.30530243],[4.19398356 4.61076858],[-0.93841166 -0.57031288],[0.11212815 7.31118044],[ 0.74797623 -1.03290944],[0.72471033 4.60711   ],[-0.35758153 -0.60043296],[5.37624529 6.9524621 ],[-0.87331057  0.65313994],[4.42973168 5.20828862],[0.72956205 0.53359667],[0.06852461 6.02153243],[-0.24178013  0.36057784],[3.17791054 4.63507361],[-0.98522641 -0.3270626 ]
[0.86692662 6.30054552],[-0.72387115 -0.3442495 ],[6.89697624 2.86671062],[-1.24458397  0.61590847],[1.02807667 7.03995259],[1.10960951 0.25477197],[4.09944997 4.55570227],[-0.95211504 -0.53104793],[0.18786884 7.20900892],[ 0.76920325 -1.00790577],[0.69048652 4.5466751 ],[-0.32833044 -0.60985257],[5.28650269 7.01539978],[-0.92227915  0.60367352],[4.50129704 5.26270186],[0.70105772 0.55421029],[0.0466285  6.05839497],[-0.1960791   0.37629772],[3.07924325 4.60370195],[-0.98766058 -0.29996407]
[0.79549521 6.26452666],[-0.70827934 -0.37996874],[6.77316856 2.92894016],[-1.23449089  0.62549353],[1.13940577 7.06320626],[1.11743196 0.2114829 ],[4.00336976 4.50433806],[-0.96894993 -0.49596523],[0.2655459  7.10922271],[ 0.78404059 -0.98781451],[0.65952482 4.48557995],[-0.29277149 -0.61409268],[5.19192384 7.0730918 ],[-0.96607383  0.55231837],[4.56993223 5.31918172],[0.67177319 0.57574609],[0.02935754 6.09673736],[-0.14816044  0.39122347],[2.98052943 4.57522301],[-0.98710699 -0.27006059]
[0.725784   6.22498259],[-0.68466019 -0.40986141],[6.65008799 2.99174128],[-1.22473372  0.63282829],[1.25138201 7.08219897],[1.12114297 0.16804084],[3.90592451 4.45674938],[-0.98201115 -0.45812205],[0.34426412 7.01109055],[ 0.79072045 -0.97414768],[0.63179361 4.42367921],[-0.26177524 -0.6239551 ],[5.09326581 7.12563015],[-1.00583635  0.49870291],[4.63542962 5.37769398],[0.63958094 0.59615298],[0.017268  6.1367904],[-0.09281658  0.41004804],[2.88174976 4.54960736],[-0.98840443 -0.24234213]
[0.6583967  6.18231906],[-0.66282137 -0.44343667],[6.52812059 3.05538203],[-1.21682058  0.63759035],[1.36356504 7.0968532 ],[1.12164488 0.12468924],[3.80688517 4.41258188],[-0.99796181 -0.4247893 ],[0.42392699 6.9146721 ],[ 0.80075288 -0.95582552],[0.60751758 4.3610972 ],[-0.22245508 -0.62661609],[4.99108012 7.17296929],[-1.03857438  0.44651631],[4.69744472 5.43807631],[0.60148578 0.61252574],[0.01102784 6.17883837],[-0.03484983  0.42735982],[2.78289287 4.52678338],[-0.987137   -0.21255861]
[0.59313811 6.13613705],[-0.64098979 -0.4791234 ],[6.40687053 3.11935814],[-1.20972808  0.64023137],[1.47539843 7.10688852],[1.11837505 0.07985178],[3.70640613 4.37181276],[-1.0111808  -0.39044203],[0.50434484 6.81989262],[ 0.80728668 -0.93992838],[0.58707009 4.29807846],[-0.18219604 -0.62960712],[4.88552731 7.21472077],[-1.07049492  0.38961103],[4.75546154 5.50000705],[0.5578315  0.62537386],[0.0107456  6.22255573],[0.03281823 0.4498034 ],[2.68403436 4.50679517],[-0.99039848 -0.1878143 ]
[0.53065857 6.0868851 ],[-0.60790852 -0.50546405],[6.28646179 3.18368449],[-1.19708459  0.64768895],[1.58716444 7.11285437],[1.11715429 0.04039   ],[3.604927   4.33473104],[-1.01878542 -0.35177036],[0.58571021 6.72703847],[ 0.81891749 -0.91817883],[0.5707896  4.23483163],[-0.14290048 -0.63495413],[4.77712441 7.2508787 ],[-1.09927603  0.33101127],[4.80931953 5.5635398 ],[0.51724288 0.64351494],[0.01745179 6.26847685],[0.10361616 0.47005699],[2.58480045 4.48916514],[-0.99455788 -0.16536778]
[0.47107276 6.03449043],[-0.58209255 -0.54098919],[6.1671214  3.24856023],[-1.18978268  0.64957108],[1.69859407 7.11480785],[1.11349827 0.00145837],[3.50245712 4.30122096],[-1.03231464 -0.32059939],[0.66816587 6.63631669],[ 0.8284529  -0.89790296],[0.55834063 4.17089948],[-0.10606989 -0.6437258 ],[4.66642092 7.28153432],[-1.11774239  0.27873025],[4.85880659 5.62869413],[0.47362128 0.6610364 ],[0.03154482 6.31644559],[0.17959052 0.48973398],[2.48540993 4.47397592],[-0.99437872 -0.13976919]
[0.41433695 5.97871382],[-0.55152944 -0.57369675],[6.0484877  3.31355213],[-1.18138153  0.65175324],[1.80978489 7.11317786],[ 1.1102927  -0.03355692],[3.39858933 4.27064537],[-1.0429734  -0.28928319],[0.75108256 6.54716464],[ 0.82918143 -0.88573611],[0.55002479 4.10649769],[-0.05967745 -0.64389372],[4.55397815 7.30691058],[-1.13114639  0.22837137],[4.9039895  5.69577956],[0.43051741 0.68148748],[0.0534828  6.36632877],[0.26071472 0.50852668],[2.38608441 4.4613378 ],[-0.99186438 -0.11278077]
