[3.50085301 2.70443775],[-0.98179123 -0.16075379],[4.60778726 6.10371192],[-1.12974606  0.03946731],[3.29066789 6.24031684],[ 0.48303093 -1.0920165 ],[1.99961024 5.40878623],[ 0.2161856  -1.12199732],[3.99696632 6.64041792],[-0.69397991 -1.01630919],[2.09227536 5.34484698],[-0.67117351  0.46767098],[3.19040905 3.89911401],[-0.32351055  1.04373517],[2.05424141 2.46393323],[-0.00939947  1.20936738],[5.45041883 1.10161856],[-0.86693658  0.96809348],[2.4149322  4.60948512],[0.43976207 0.97471067]
[3.40215247 2.69034477],[-0.99136522 -0.12057611],[4.49486719 6.1057072 ],[-1.12860070e+00  4.93675093e-04],[3.33806255 6.13135482],[ 0.46148879 -1.09052523],[2.02269763 5.29736447],[ 0.24582906 -1.10584367],[3.92841327 6.53868554],[-0.67599437 -1.01685171],[2.02539306 5.3911488 ],[-0.66596106  0.45883553],[3.15871731 4.00341733],[-0.31034853  1.0422558 ],[2.05521448 2.58493291],[0.02849148 1.21017803],[5.36400086 1.19917751],[-0.86334671  0.9799843 ],[2.45968058 4.70611465],[0.45724019 0.96011244]
[3.30297632 2.68070033],[-0.99230652 -0.07262067],[4.38201021 6.10373612],[-1.12952662 -0.04091251],[3.383282   6.02254813],[ 0.44378789 -1.08470632],[2.04865875 5.18755957],[ 0.27174379 -1.09142597],[3.86177603 6.43711534],[-0.65842966 -1.01590809],[1.95907898 5.43659363],[-0.65654707  0.45382139],[3.12809997 4.10732681],[-0.30446874  1.0335816 ],[2.05960647 2.7056543 ],[0.0588787  1.20400515],[5.27796286 1.29763546],[-0.85817868  0.98763121],[2.50586608 4.80103303],[0.46623469 0.93834066]
[3.2035771 2.6756775],[-0.99331779 -0.02561166],[4.26891854 6.09742719],[-1.13472394 -0.08796639],[3.42693604 5.91450976],[ 0.42929587 -1.07623402],[2.07667897 5.07882474],[ 0.29084433 -1.0806568 ],[3.79652788 6.33537825],[-0.64705436 -1.01889474],[1.89343994 5.48125769],[-0.65548043  0.44009496],[3.09793348 4.21028437],[-0.29835325  1.0261958 ],[2.0668259  2.82562142],[0.08457189 1.19476454],[5.19231824 1.39652985],[-0.85459367  0.98987411],[2.55322449 4.8941247 ],[0.48092922 0.92367323]
[3.10400088 2.67522237],[-0.99625023  0.01814601],[4.15593358 6.08698049],[-1.1284166  -0.12425221],[3.46875509 5.80693162],[ 0.40809306 -1.07421111],[2.10696778 4.97163333],[ 0.31493077 -1.06289759],[3.73256757 6.23360601],[-0.63310699 -1.01722835],[1.82832699 5.52494167],[-0.64644769  0.43387618],[3.06836542 4.31251242],[-0.29237676  1.01914987],[2.07627047 2.944445  ],[0.1059235  1.18363194],[5.1075633  1.49603812],[-0.84250213  0.99789965],[2.60169926 4.98545919],[0.49329647 0.90790941]
[3.00439026 2.67932555],[-0.99622942  0.06324006],[4.0436727  6.07301562],[-1.11569444 -0.1535338 ],[3.50856781 5.69970114],[ 0.38972085 -1.06881503],[2.13914586 4.86580807],[ 0.33016732 -1.05168552],[3.66995097 6.13203788],[-0.61899887 -1.01363291],[1.76389974 5.56776694],[-0.64160793  0.42304315],[3.03912247 4.41379647],[-0.29244623  1.00682696],[2.08785376 3.06225057],[0.12522711 1.17229224],[5.02381184 1.59604374],[-0.83174085  1.00276289],[2.65140438 5.07525773],[0.50421808 0.89161142]
[2.90495711 2.68802226],[-0.99061695  0.11215345],[3.9326059  6.05613314],[-1.10715743 -0.18548072],[3.54642556 5.59291293],[ 0.36859793 -1.06572374],[2.1733711  4.76171351],[ 0.35107768 -1.03330787],[3.60857909 6.03074663],[-0.60666316 -1.01014852],[1.70003614 5.60956314],[-0.63738973  0.41107659],[3.00988083 4.51391717],[-0.28929831  0.99874282],[2.10163302 3.17925262],[0.14911727 1.16660675],[4.94143008 1.69675463],[-0.81842532  1.00873744],[2.70229326 5.16355525],[0.51244842 0.87345328]
[2.80647715 2.70194896],[-0.9792906   0.16591023],[3.82226138 6.03593042],[-1.09785182 -0.2164858 ],[3.58200727 5.48631303],[ 0.3416148  -1.06746744],[2.20926455 4.65912088],[ 0.36798383 -1.01703906],[3.54848309 5.92991566],[-0.59576193 -1.0066854 ],[1.63654489 5.65008159],[-0.63187745  0.39976741],[2.98100024 4.6132815 ],[-0.2877618   0.98921515],[2.11750587 3.29543371],[0.16712965 1.15601238],[4.8599661  1.79760955],[-0.80778608  1.01130288],[2.7540035  5.25008955],[0.5197378  0.85541819]
[2.7091206  2.72118665],[-0.96979532  0.21659761],[3.71269685 6.0124955 ],[-1.09178438 -0.25055983],[3.61487865 5.37960963],[ 0.31647065 -1.06574666],[2.24667793 4.55806989],[ 0.38056579 -1.00337313],[3.48946727 5.82949875],[-0.58555739 -1.00244916],[1.57371371 5.68955003],[-0.62468031  0.38960479],[2.95248934 4.71191687],[-0.28241129  0.98356186],[2.13470877 3.41019461],[0.17797414 1.14064521],[4.77956256 1.89868359],[-0.79829168  1.01213061],[2.80583688 5.33428694],[0.52184344 0.83371479]
[2.61201974 2.74464685],[-0.96887623  0.25529122],[3.60387967 5.98578717],[-1.08236095 -0.28131051],[3.6454508  5.27333211],[ 0.29423677 -1.06051748],[2.28543228 4.45855952],[ 0.39778171 -0.98344754],[3.43157428 5.7296719 ],[-0.57392703 -0.99554811],[1.51160859 5.72798189],[-0.61875832  0.37761539],[2.92403121 4.80952783],[-0.28446172  0.97102401],[2.15324039 3.52375583],[0.19299034 1.13112774],[4.70025659 1.99996464],[-0.78948393  1.01180148],[2.85835831 5.41684041],[0.53007583 0.81897287]
