[8.00757829 5.31510504],[-0.97656606  0.60090267],[7.18869943 4.87692612],[-1.14963217  0.23995378],[4.7809627 2.6569511],[-0.85116315 -0.20548045],[2.53422865 5.43803763],[ 0.90708704 -0.8980505 ],[5.13929595 4.30336653],[-0.53887285 -0.87270539],[6.51554999 7.37521106],[ 0.3615466  -1.19516068],[5.63094837 3.82559539],[ 0.73537648 -0.69358878],[8.05885922 5.49579292],[-0.33838426 -1.12920163],[4.92189878 1.50140725],[0.81626164 0.9337023 ],[3.07239533 1.36826456],[0.47483962 1.21870077]
[7.90858299 5.37296429],[-1.00154723  0.5574476 ],[7.07374202 4.89944967],[-1.14761117  0.21244182],[4.69598947 2.63824285],[-0.84760904 -0.16796116],[2.626073   5.34973355],[ 0.92681333 -0.87077003],[5.08596862 4.21607831],[-0.52716421 -0.87251496],[6.54968427 7.2552585 ],[ 0.32023621 -1.20484189],[5.70437544 3.75683411],[ 0.73076947 -0.68398593],[8.02256401 5.38345351],[-0.38565142 -1.11588282],[5.00216023 1.5956143 ],[0.78793058 0.94890003],[3.12134296 1.48938932],[0.50093574 1.20105278]
[7.80695957 5.42616128],[-1.02887234  0.50790392],[6.95933795 4.91958608],[-1.13960861  0.19134466],[4.6112685  2.62318476],[-0.84671012 -0.13315322],[2.71918305 5.26351875],[ 0.93642014 -0.85231911],[5.03433497 4.12931917],[-0.50662586 -0.86386389],[6.57946419 7.13417454],[ 0.27554414 -1.21629904],[5.77726853 3.68897704],[ 0.72623886 -0.67396376],[7.9818324  5.27269372],[-0.4271228  -1.09772292],[5.07961561 1.69123349],[0.76015615 0.9619862 ],[3.17270456 1.60867476],[0.52568267 1.18433602]
[7.70309738 5.47472241],[-1.04713496  0.46421322],[6.84545398 4.93735152],[-1.13899207  0.16297648],[4.526693   2.61164703],[-0.84578346 -0.0986793 ],[2.81339479 5.17934377],[ 0.94964431 -0.82918223],[4.98396279 4.04262584],[-0.5007632 -0.8697966],[6.60507848 7.01231756],[ 0.23810052 -1.2196175 ],[5.84981573 3.62224784],[ 0.72571247 -0.65955568],[7.93699809 5.16372541],[-0.46906627 -1.08127071],[5.15469926 1.78843167],[0.73868045 0.97864098],[3.226637   1.72645637],[0.55091198 1.16948651]
[7.59755722 5.51894607],[-1.06404638  0.41939441],[6.73191887 4.95253459],[-1.13247934  0.14003152],[4.44225617 2.60357508],[-0.84181713 -0.06172973],[2.90891588 5.09752057],[ 0.96394188 -0.80395906],[4.93453953 3.95573049],[-0.48622536 -0.86664628],[6.62731427 6.89045675],[ 0.20420159 -1.22021939],[5.92211861 3.55678867],[ 0.71991692 -0.65000765],[7.88800166 5.05639626],[-0.51127392 -1.06589277],[5.22726975 1.88680535],[0.71475712 0.99044508],[3.28317718 1.84289113],[0.57646971 1.15597109]
[7.49038365 5.55861476],[-1.07888043  0.37408355],[6.61874745 4.96512058],[-1.13165718  0.11080821],[4.35780567 2.59874382],[-0.84331688 -0.03124527],[3.00588701 5.01829333],[ 0.97578751 -0.78016274],[4.88655989 3.86913709],[-0.47041226 -0.86229206],[6.64580262 6.76819702],[ 0.16747435 -1.22293175],[5.99367732 3.49213678],[ 0.70964525 -0.644601  ],[7.83525845 4.9510231 ],[-0.5456401  -1.04397447],[5.2974798  1.98627547],[0.69163799 1.00072817],[3.34172366 1.9575054 ],[0.59285803 1.13519814]
[7.38179965 5.59370008],[-1.09194163  0.32818123],[6.50600198 4.97508695],[-1.12493019  0.08693314],[4.27377597 2.59749804],[-0.83732104  0.00611274],[3.10396984 4.94141407],[ 0.98457841 -0.75861056],[4.84051373 3.78330717],[-0.4505593  -0.85444653],[6.66084946 6.64589309],[ 0.13108149 -1.22532674],[6.06445674 3.42828996],[ 0.70698502 -0.63122984],[7.77879579 4.8474999 ],[-0.58131933 -1.02445905],[5.36498646 2.08628371],[0.66006957 1.00083704],[3.40182984 2.07007966],[0.60807027 1.11546241]
[7.27242362 5.62462677],[-1.09418219  0.29176049],[6.39413085 4.98289392],[-1.11789815  0.06375664],[4.19053532 2.60015942],[-0.83075332  0.04369474],[3.20253669 4.86631694],[ 0.98673766 -0.74334544],[4.79596757 3.69776544],[-0.4394341 -0.8553806],[6.67185557 6.5230276 ],[ 0.09147479 -1.22915408],[6.13497739 3.36581088],[ 0.70390413 -0.61780977],[7.71889461 4.74599008],[-0.61603725 -1.00530019],[5.42990554 2.1867966 ],[0.63618638 1.00698261],[3.46341606 2.18073728],[0.62459794 1.09888824]
[7.16245909 5.65150036],[-1.10353723  0.24698709],[6.28294127 4.98834656],[-1.10887618  0.04231243],[4.10763818 2.6062063 ],[-0.82315385  0.08107695],[3.30136377 4.79280057],[ 0.99059482 -0.72615009],[4.75296931 3.6125693 ],[-0.42045023 -0.84854391],[6.67939792 6.40030664],[ 0.06070243 -1.22425101],[6.20505893 3.30456613],[ 0.69862721 -0.6061329 ],[7.65567206 4.64648275],[-0.64900915 -0.98569412],[5.49254251 2.2879406 ],[0.61428785 1.01333603],[3.52646952 2.28962197],[0.63716266 1.07984091]
[7.05174418 5.67399264],[-1.11041679  0.20280274],[6.17219155 4.99115775],[-1.1071153   0.01262004],[4.02597899 2.6164517 ],[-0.81209097  0.12161218],[3.40075605 4.72120576],[ 0.99761983 -0.70525097],[4.71175791 3.52792457],[-0.40521824 -0.84576514],[6.68373073 6.27790564],[ 0.02574072 -1.22381745],[6.27456409 3.24446292],[ 0.69046238 -0.59689655],[7.58946553 4.54917759],[-0.67637763 -0.96201109],[5.55288944 2.38953713],[0.59119809 1.01694048],[3.59105746 2.39694108],[0.65335282 1.06552838]
