[1.37680096 0.37655935],[-4.26094988 -4.03060817],[3.44987912 6.84891591],[3.71552603 2.97180114],[5.53458426 3.42652324],[ 2.9000969  -4.96818392],[9.07320641 9.30347639],[0.76089219 0.95470331],[9.04124769 7.66563801],[-1.22270571 -0.32506457],[6.29894861 9.6299828 ],[-2.87293659 -2.60798584],[9.47704415 1.10322127],[ 2.32357407 -2.85783583],[5.77664015 1.66206253],[ 1.41643759 -4.53362632],[6.17698815 3.19976125],[-3.26379907  3.89593528],[8.96616116 5.29815037],[0.82146543 0.88477005]
[2.70692283 1.01427864],[1.11269507 0.86708156],[6.95120113 6.47513133],[ 0.76965023 -0.87420144],[8.10889733 2.18642819],[0.77834032 0.61319062],[8.89669483 7.43782971],[-0.59408722 -1.18686549],[6.28228876 5.30046477],[-0.50802644 -0.95937651],[5.47409645 5.79941456],[ 0.34466203 -1.14319896],[9.10481333 1.54038817],[-0.83652396  1.02064583],[7.80230441 1.3674978 ],[0.4617627  1.12508292],[5.19803968 6.25760771],[0.41858358 0.74378056],[8.17917307 6.99604323],[-1.11334899 -0.09972688]
[2.81789151 1.10096681],[1.10743551 0.86739487],[7.0263613 6.3864259],[ 0.73712778 -0.89601654],[8.1858238  2.25120966],[0.75285508 0.67512896],[8.8369362  7.31981052],[-0.59975589 -1.1725424 ],[6.2329068  5.20453463],[-0.48353195 -0.96303787],[5.50946556 5.68574138],[ 0.36422589 -1.12862385],[9.02151676 1.64232179],[-0.82929186  1.01800094],[7.84620956 1.48105874],[0.41648201 1.14528722],[5.24273769 6.33083658],[0.47315101 0.71810264],[8.06777789 6.98313759],[-1.11583597 -0.16017631]
[2.92822492 1.18755713],[1.09859255 0.86364403],[7.09903839 6.29638356],[ 0.71386378 -0.9071721 ],[8.25934408 2.32133546],[0.718347   0.72804502],[8.77667001 7.20319435],[-0.60347066 -1.15795931],[6.18580374 5.10811204],[-0.45717248 -0.96397809],[5.5468433  5.57361043],[ 0.38276063 -1.11435464],[8.93879297 1.74380528],[-0.82435914  1.01244569],[7.88560174 1.59638875],[0.37173575 1.16077695],[5.29272854 6.40117503],[0.52591733 0.68749879],[7.95634679 6.96424206],[-1.11010947 -0.21528521]
[3.03764371 1.27370788],[1.08961111 0.85905773],[7.16851538 6.20443167],[ 0.67551646 -0.93169421],[8.32891002 2.39622568],[0.67370296 0.77028898],[8.71595834 7.08788632],[-0.60832814 -1.1459457 ],[6.14132617 5.01160058],[-0.43144785 -0.96521649],[5.58604809 5.46292538],[ 0.39827984 -1.10212149],[8.85656255 1.84471355],[-0.8202138  1.0057161],[7.92071009 1.71320222],[0.33173151 1.17585159],[5.34803614 6.46834765],[0.58123721 0.65656481],[7.84525765 6.9395025 ],[-1.10739073 -0.27564102]
[3.14644471 1.35965706],[1.08665131 0.86010547],[7.23497699 6.11092654],[ 0.65150453 -0.94049342],[8.39409779 2.47538384],[0.62977448 0.81233365],[8.65476814 6.97372708],[-0.6163473  -1.13815992],[6.09960308 4.91515707],[-0.40295016 -0.96355537],[5.62669792 5.35343289],[ 0.41372012 -1.08851404],[8.77485374 1.94504155],[-0.81404222  1.00071115],[7.95170905 1.83115663],[0.2881886  1.18257114],[5.40870489 6.53212342],[0.63039469 0.61690947],[7.73497477 6.90917483],[-1.0962051  -0.32894204]
[3.25480737 1.44555547],[1.08340171 0.86064881],[7.29859327 6.01615638],[ 0.62149165 -0.95409039],[8.45514797 2.55893177],[0.58919278 0.85619441],[8.59279851 6.86035521],[-0.62194533 -1.12832536],[6.06035101 4.8185161 ],[-0.38306999 -0.96994801],[5.66914959 5.24559702],[ 0.43559088 -1.06800849],[8.69369734 2.04478852],[-0.81102359  0.99232031],[7.97846424 1.94970249],[0.24698981 1.18781879],[5.47433721 6.59187285],[0.68017052 0.57577142],[7.62600145 6.87368289],[-1.08153608 -0.37925696]
[3.36269335 1.53135058],[1.0728406  0.85363542],[7.35946663 5.92033698],[ 0.59593493 -0.96221985],[8.51199802 2.64662132],[0.54288008 0.89221259],[8.5306399  6.74827952],[-0.62422015 -1.11643149],[6.02277345 4.72100779],[-0.36662759 -0.97804649],[5.71336205 5.13940616],[ 0.45088995 -1.05347947],[8.61293239 2.14378235],[-0.8045445   0.98726428],[8.00117793 2.06866759],[0.20771568 1.19128119],[5.54494368 6.6474209 ],[0.73030372 0.53340587],[7.5187708  6.83343885],[-1.06472499 -0.42723369]
[3.46981527 1.61670802],[1.06855014 0.85241963],[7.4180136  5.82396407],[ 0.57443037 -0.96577759],[8.56398793 2.73758605],[0.49752857 0.92714133],[8.4686089  6.63767766],[-0.61957688 -1.09912723],[5.98725434 4.62316389],[-0.34217307 -0.97711977],[5.75947208 5.03505298],[ 0.46752964 -1.03727632],[8.53257162 2.24202012],[-0.79847799  0.98167068],[8.02006098 2.18789543],[0.17131928 1.19401827],[5.62018131 6.69829099],[0.77791219 0.48744786],[7.41345765 6.78864243],[-1.04154818 -0.4685076 ]
[3.57646667 1.70189132],[1.06474123 0.85147108],[7.47390526 5.72677003],[ 0.54716398 -0.97417422],[8.6115624  2.83201734],[0.45334939 0.96023052],[8.40656581 6.52826977],[-0.62106965 -1.08895066],[5.95434052 4.52558222],[-0.31629898 -0.97469042],[5.80682194 4.93195616],[ 0.47752514 -1.02635934],[8.45322229 2.34008308],[-0.78703858  0.98098337],[8.03535236 2.30726655],[0.13782914 1.19610499],[5.70031382 6.74468781],[0.82481788 0.44076977],[7.31044152 6.73974347],[-1.02068214 -0.51124277]
[3.6827004  1.78693555],[1.05834637 0.84776438],[7.52755803 5.62924424],[ 0.52115176 -0.98096399],[8.65477001 2.92963302],[0.40864728 0.98924393],[8.34466115 6.4201151 ],[-0.62181161 -1.07906915],[5.92387879 4.42812228],[-0.292193   -0.97366849],[5.8546678  4.82954736],[ 0.48224038 -1.0186625 ],[8.37524245 2.43827274],[-0.77599836  0.97934272],[8.04751137 2.42685004],[0.10314284 1.19300321],[5.78475161 6.78605583],[0.86648313 0.38939805],[7.20949294 6.68656533],[-0.99681974 -0.55064916]
[3.78822393 1.87151733],[1.05311688 0.84481961],[7.57845493 5.53094204],[ 0.49941887 -0.98246431],[8.69329585 3.02976507],[0.36209455 1.01300975],[8.28277401 6.31300814],[-0.6169837  -1.06431188],[5.895951   4.33090166],[-0.26648366 -0.97082896],[5.90373094 4.72869402],[ 0.49764798 -0.99981602],[8.29823573 2.53615694],[-0.76425338  0.97819608],[8.056411   2.54619603],[0.0718679  1.19039079],[5.87303922 6.82202788],[0.90118908 0.33223852],[7.11111595 6.62968172],[-0.97268519 -0.58880605]
[3.89312202 1.95568745],[1.04460786 0.83826939],[7.62708172 5.4324015 ],[ 0.47073604 -0.9905528 ],[8.72737599 3.13228967],[0.31832819 1.03553578],[8.22109206 6.20705239],[-0.61704073 -1.05527648],[5.87094845 4.23430707],[-0.23263864 -0.96026826],[5.95415716 4.62955896],[ 0.5119572 -0.9817823],[8.22224689 2.63375844],[-0.75343368  0.97589376],[8.06219737 2.66516158],[0.04367571 1.188175  ],[5.96497377 6.85255507],[0.93564189 0.27699119],[7.01536515 6.5692365 ],[-0.94191998 -0.61942362]
[3.99743301 2.03944971],[1.04137658 0.83670578],[7.67300139 5.33326605],[ 0.44668827 -0.99306823],[8.75660712 3.23641289],[0.26431078 1.04450568],[8.15934766 6.10192725],[-0.61699038 -1.04648243],[5.84903093 4.13843118],[-0.20529205 -0.95675932],[6.00583066 4.53206266],[ 0.52178832 -0.96776377],[8.14730454 2.73108014],[-0.74557664  0.97040116],[8.06501103 2.78361598],[0.01095715 1.1789703 ],[6.05989385 6.87722247],[0.9622497  0.21637391],[6.92241062 6.50550305],[-0.91600749 -0.65389435]
[4.10135871 2.12298643],[1.03702345 0.83388174],[7.71644799 5.23383722],[ 0.42070741 -0.99694835],[8.7807432  3.34159805],[0.21425092 1.05455589],[8.09781524 5.99784851],[-0.61764509 -1.03905331],[5.82981638 4.04288393],[-0.17934146 -0.95445781],[6.05895642 4.43645475],[ 0.53937343 -0.94579795],[8.07338075 2.82807549],[-0.73723863  0.96517551],[8.06466726 2.9011982 ],[-0.01456371  1.17535919],[6.15719815 6.89568906],[0.98245153 0.15210749],[6.83194744 6.43825857],[-0.89190968 -0.68949622]
[4.20493324 2.20631979],[1.03133177 0.82959656],[7.75734572 5.13410611],[ 0.39732838 -0.99755778],[8.79988626 3.44765827],[0.16852306 1.06583991],[8.03597766 5.89428189],[-0.61800882 -1.03124243],[5.81342012 3.94779875],[-0.14936127 -0.94808829],[6.113621   4.34282929],[ 0.55404772 -0.92652463],[7.99970329 2.92397251],[-0.73696014  0.95219734],[8.06203446 3.01851721],[-0.03575439  1.17269112],[6.25648945 6.90785363],[1.00302797 0.09155932],[6.74434543 6.36794962],[-0.86448767 -0.72082964]
[4.30751326 2.28877156],[1.02205867 0.82112593],[7.79562245 5.03406371],[ 0.36968138 -1.00164622],[8.81421014 3.55442489],[0.11866339 1.06964396],[7.97441913 5.79177999],[-0.61493882 -1.02067599],[5.79980099 3.85313182],[-0.12420038 -0.94633887],[6.16942391 4.25083229],[ 0.56455796 -0.91072847],[7.9267543  3.01927248],[-0.72146877  0.95422524],[8.05726218 3.13538809],[-0.05932611  1.16475009],[6.35762205 6.9139631 ],[1.01718998 0.02902022],[6.6595719  6.29463789],[-0.83141632 -0.74560273]
