[7.6921976  4.49122594],[-1.16652876 -0.45388277],[1.66485573 3.80975054],[1.11843525 0.64459561],[4.29485484 5.35635924],[ 1.05238539 -0.38793477],[6.08431443 4.63101215],[-1.10078042  0.33204175],[2.49457873 6.21274615],[-4.27210813e-01 -3.65611544e-04],[4.8956489  2.58740499],[-1.03864193  0.10903496],[2.59891624 3.80658226],[0.9297509  0.79832582],[7.32287286 3.86115033],[-0.96180072  0.77727218],[4.05202413 5.71135572],[ 0.38644011 -1.10118537],[7.36778956 5.20208369],[ 0.34585736 -0.81510418]
[7.5755118  4.44741799],[-1.16906748 -0.42453914],[1.77680937 3.87289922],[1.12019876 0.61826099],[4.39971039 5.31739117],[ 1.04417709 -0.39163726],[5.97419549 4.66330679],[-1.0990765  0.316253 ],[2.45313292 6.21063811],[-0.40306197 -0.04402951],[4.79229241 2.60080251],[-1.02881602  0.1581279 ],[2.69225276 3.88527388],[0.93765038 0.77648382],[7.22606852 3.93761257],[-0.97332493  0.75280419],[4.09108972 5.60192211],[ 0.39193977 -1.09020817],[7.39959823 5.11899368],[ 0.29219855 -0.84400108]
[7.4583152  4.40615991],[-1.1741475  -0.40037354],[1.88903426 3.93360649],[1.12492382 0.59684647],[4.50345114 5.27781668],[ 1.03117408 -0.39914176],[5.86438821 4.6941372 ],[-1.09620141  0.30110144],[2.41440249 6.20416968],[-0.37084856 -0.08562078],[4.69008194 2.61916319],[-1.01498703  0.20904426],[2.78626284 3.96174861],[0.94262702 0.75333417],[7.12845641 4.01193754],[-0.97897266  0.7336162 ],[4.13046648 5.49340743],[ 0.39796921 -1.07762921],[7.42590247 5.03313584],[ 0.23392826 -0.87226355]
[7.34099384 4.36759596],[-1.17420068 -0.37301763],[2.00139546 3.99192272],[1.12345407 0.57093884],[4.60591197 5.23755033],[ 1.01752295 -0.4066659 ],[5.75496279 4.72351636],[-1.09112386  0.28775117],[2.37856692 6.19288537],[-0.34264654 -0.13796451],[4.5888665  2.64208228],[-1.0044866   0.25363815],[2.88091939 4.03613209],[0.9495153  0.73362979],[7.03007928 4.08411616],[-0.98852453  0.7099091 ],[4.17035756 5.38608027],[ 0.40011237 -1.0684811 ],[7.44623809 4.94458595],[ 0.17041436 -0.90011936]
[7.2234735  4.33147487],[-1.17470245 -0.34824436],[2.11389402 4.04801272],[1.1267234  0.55146657],[4.70708617 5.19663994],[ 1.00381436 -0.41365086],[5.64606426 4.7515758 ],[-1.08552266  0.27476744],[2.34568783 6.17613307],[-0.31434699 -0.19771529],[4.48918483 2.66981729],[-0.98895021  0.30083554],[2.97633298 4.10868997],[0.95794069 0.71703348],[6.93043664 4.15356384],[-1.00365542  0.67954317],[4.21055879 5.27981005],[ 0.40588927 -1.05504564],[7.45985714 4.85320838],[ 0.10524597 -0.92317903]
[7.10596583 4.29780433],[-1.17377375 -0.32375634],[2.22675826 4.10230938],[1.12993242 0.53408433],[4.8065405  5.15468149],[ 0.98517895 -0.4256573 ],[5.53801219 4.77863708],[-1.07405891  0.26809474],[2.31602324 6.15338774],[-0.27766145 -0.25720269],[4.39113022 2.70221662],[-0.97308268  0.34560701],[3.07245335 4.17953227],[0.96199652 0.69758367],[6.82982474 4.22047193],[-1.00899141  0.65820484],[4.25133506 5.17487917],[ 0.40852107 -1.04463372],[7.46722513 4.76006091],[ 0.04042379 -0.94056884]
[6.98880424 4.26678455],[-1.17017897 -0.29756671],[2.34003138 4.15506276],[1.1364378  0.52228187],[4.90427836 5.11166783],[ 0.97073889 -0.43343148],[5.43084754 4.80480223],[-1.06790662  0.25649283],[2.29011238 6.12435512],[-0.23741933 -0.32164785],[4.29487    2.73915083],[-0.95401858  0.39067192],[3.16874289 4.24824862],[0.96207545 0.67518843],[6.72849219 4.28503315],[-1.01430879  0.6362899 ],[4.2925756  5.07121213],[ 0.41899428 -1.02610201],[7.46798975 4.6653374 ],[-0.02412797 -0.95216549]
[6.8719387  4.23826209],[-1.16840347 -0.27437663],[2.45341968 4.20619923],[1.13485983 0.50412746],[5.00040632 5.0677269 ],[ 0.9526928  -0.44453026],[5.32440258 4.82990734],[-1.06170245  0.24486256],[2.26873214 6.08895142],[-0.18991555 -0.3874672 ],[4.20022239 2.78012928],[-0.93769351  0.4295    ],[3.26517019 4.31490199],[0.96331511 0.65490631],[6.62695873 4.34772532],[-1.01625411  0.61770851],[4.33441226 4.96893697],[ 0.41743293 -1.01950395],[7.4620581  4.56947108],[-0.09261017 -0.96242803]
[6.75499624 4.21169317],[-1.1674868  -0.25428726],[2.56683486 4.25577764],[1.13250608 0.4867695 ],[5.09481438 5.02276804],[ 0.9372277  -0.45285461],[5.21882274 4.85409468],[-1.04972405  0.2391453 ],[2.25247087 6.04691333],[-0.13547391 -0.45465553],[4.10764168 2.82526591],[-0.91652035  0.47010777],[3.36181026 4.37966438],[0.96565426 0.6367115 ],[6.52495531 4.4082649 ],[-1.02307354  0.59372624],[4.37616109 4.86744937],[ 0.41960152 -1.00808899],[7.44955673 4.47309395],[-0.15783186 -0.96486088]
[6.63832294 4.1872444 ],[-1.1661399  -0.23521268],[2.67979392 4.30343825],[1.12759988 0.46743046],[5.1874289  4.97674365],[ 0.91714336 -0.46562117],[5.11421268 4.87750322],[-1.04354117  0.2278712 ],[2.24211376 5.99823603],[-0.07311041 -0.52131545],[4.01725835 2.87438522],[-0.89315442  0.50977528],[3.45834775 4.44230627],[0.96426507 0.61541108],[6.42249559 4.46660195],[-1.02584416  0.5732438 ],[4.41794563 4.76694731],[ 0.41503436 -1.00275519],[7.43037328 4.37653725],[-0.22262645 -0.96251327]
