[2.31864775 4.55133475],[4.93877671 0.89660961],[0.63735868 8.43105787],[-2.18369651  1.81851772],[4.57433747 9.29941805],[-1.46844934 -4.47209365],[0.98282766 4.49585331],[ 0.39749486 -1.8240335 ],[9.41106139 9.74065174],[-0.68810105  1.99738055],[6.93005828 7.11165221],[-2.13075261  0.50978113],[7.49740966 2.40028493],[1.38987054 1.92413358],[7.89480989 4.72185321],[-0.65724028  3.89457483],[9.97190841 4.02011123],[1.11444362 0.88598162],[7.91688236 5.71154967],[3.48784401 2.10039248]
[6.02151878 6.08464705],[0.83903632 0.69077886],[2.34887412 9.12868042],[ 1.26562051 -0.44587057],[5.02651441 5.69903392],[ 0.64015671 -0.74456908],[4.24253927 4.15969938],[1.01823631 0.76989817],[6.42036984 9.45056778],[-0.78735137 -0.93382926],[3.78065202 7.0195982 ],[-0.70333391 -0.26401962],[7.37754254 6.13593471],[-0.56826029  1.03233683],[6.09428224 7.88468963],[-0.79102831  0.60957348],[8.65739194 6.81036503],[-1.12093355  0.55478084],[8.38528912 8.15392666],[-0.97961286  0.57054773]
[6.1043718  6.15425667],[0.8209026  0.70431636],[2.47448085 9.08303357],[ 1.24949143 -0.4639197 ],[5.09168914 5.62619888],[ 0.66276872 -0.71239302],[4.34312697 4.23783088],[0.99124369 0.79006062],[6.34270826 9.35640005],[-0.76487759 -0.94802321],[3.71121852 6.9925077 ],[-0.68274337 -0.27531646],[7.31982593 6.23823536],[-0.5859586   1.01372249],[6.01483853 7.94459669],[-0.79970275  0.58658301],[8.54480303 6.86443565],[-1.13195801  0.52530882],[8.28570196 8.20886241],[-1.01099967  0.52842834]
[6.18509557 6.22492168],[0.79145429 0.70684323],[2.59865344 9.03583124],[ 1.23422736 -0.47964146],[5.15908649 5.55663745],[ 0.68670251 -0.67700216],[4.44116462 4.31802754],[0.96864474 0.81267296],[6.26736741 9.26102213],[-0.73951282 -0.95664058],[3.64420081 6.96461247],[-0.65714182 -0.28218899],[7.26043643 6.33874914],[-0.60162573  0.9965994 ],[5.93471006 8.00234656],[-0.80269441  0.56854192],[8.43115591 6.9155348 ],[-1.13787316  0.49983282],[8.18337268 8.2597459 ],[-1.03777303  0.48629697]
[6.26311933 6.29609272],[0.76743417 0.71501819],[2.72149834 8.98733048],[ 1.22267144 -0.49014272],[5.22868033 5.49051629],[ 0.70535444 -0.64492224],[4.53677202 4.4002287 ],[0.94292278 0.83042462],[6.19449321 9.1648325 ],[-0.71678386 -0.96553407],[3.57949366 6.93574003],[-0.63382966 -0.29220708],[7.19963699 6.43766767],[-0.61615015  0.97980928],[5.85420967 8.05819361],[-0.80875279  0.5468412 ],[8.31718504 6.96436918],[-1.14397916  0.47437266],[8.07834652 8.30616956],[-1.06092707  0.44336213]
[6.33885304 6.36821317],[0.74655391 0.72674529],[2.84337233 8.93806728],[ 1.21148845 -0.49820182],[5.30011265 5.42767767],[ 0.72243578 -0.61239425],[4.63005082 4.48436496],[0.92333905 0.85269915],[6.12385791 9.06783538],[-0.695733  -0.9737937],[3.51756043 6.90626788],[-0.60427872 -0.2967628 ],[7.13718459 6.53467935],[-0.63145405  0.96177783],[5.7729248  8.11164617],[-0.81581983  0.52322979],[8.20272394 7.01075156],[-1.1436341   0.45506253],[7.97111797 8.34822897],[-1.08093774  0.40002288]
[6.41240214 6.44143244],[0.72314572 0.73640424],[2.96388332 8.88780269],[ 1.19466388 -0.51110036],[5.37368963 5.36863627],[ 0.74494758 -0.57221778],[4.72152464 4.57080988],[0.90343831 0.87321161],[6.05507346 8.96988242],[-0.67700618 -0.98193157],[3.45869493 6.87641295],[-0.57618257 -0.30363105],[7.07327919 6.62993316],[-0.64591204  0.94389674],[5.69100734 8.16277041],[-0.8210543   0.50060448],[8.088137   7.05507025],[-1.14772012  0.43158424],[7.86225175 8.38618358],[-1.09533894  0.35975378]
[6.48375246 6.51578344],[0.70259348 0.74939334],[3.08273658 8.83627206],[ 1.1805606  -0.52113953],[5.44931614 5.31352767],[ 0.76502421 -0.53213235],[4.81049241 4.65871318],[0.87527395 0.88392616],[5.98824032 8.871303  ],[-0.65720487 -0.98684844],[3.40239022 6.84555567],[-0.54928425 -0.31307393],[7.00789648 6.7233367 ],[-0.65972262  0.92603564],[5.60889489 8.21193074],[-0.82259715  0.48113292],[7.97346624 7.09736192],[-1.1464307   0.41369786],[7.75164926 8.41968217],[-1.11555798  0.31073181]
[6.55286913 6.59127817],[0.67742118 0.75824039],[3.2000775  8.78366415],[ 1.16846057 -0.52866993],[5.52673566 5.26233254],[ 0.78177496 -0.49297963],[4.89673833 4.74771159],[0.84960694 0.89575008],[5.92352909 8.77245919],[-0.64036644 -0.99296847],[3.34876624 6.81366983],[-0.52143225 -0.32312121],[6.94135449 6.81513427],[-0.67017757  0.91069853],[5.52646279 8.25894595],[-0.8273001   0.45778664],[7.85887958 7.13783882],[-1.14322742  0.39810064],[7.63958291 8.44869308],[-1.12536093  0.26965315]
[6.61950583 6.66772152],[0.65626304 0.77162179],[3.31628959 8.73044741],[ 1.15462206 -0.53671035],[5.60559889 5.21493855],[ 0.79740998 -0.4526139 ],[4.98063636 4.83804621],[0.82617262 0.9085176 ],[5.86040076 8.67301722],[-0.61981313 -0.99323544],[3.29779757 6.78056078],[-0.49494152 -0.3363382 ],[6.87368638 6.90527654],[-0.68531266  0.88994371],[5.44340687 8.30342453],[-0.83329809  0.43208313],[7.74442772 7.17659723],[-1.14487453  0.37794416],[7.52659276 8.47356787],[-1.13225498  0.2299988 ]
[6.68411295 6.7456093 ],[0.63549177 0.78574739],[3.43090962 8.67622574],[ 1.14084754 -0.54452078],[5.68628562 5.17198068],[ 0.8147469  -0.40768354],[5.06221538 4.92962182],[0.80530397 0.92264036],[5.79920373 8.57349844],[-0.60705532 -0.99975517],[3.24948048 6.74603278],[-0.46872877 -0.35187133],[6.80488204 6.99369136],[-0.69029642  0.87867177],[5.3600376 8.3455721],[-0.8342852  0.4105762],[7.62999925 7.21351778],[-1.14325873  0.36097792],[7.4133361  8.49489047],[-1.13652893  0.19276135]
