[5.43789295 1.81633312],[-1.56167376 -3.55592478],[9.05350995 6.70514605],[-2.46243412 -4.92482385],[0.21622598 8.18311529],[ 4.84086137 -3.95229892],[8.95451031 2.23292933],[-4.70766435  1.23746042],[3.25083639 8.04753335],[-3.19754649  2.37702519],[6.13606293 8.57415863],[ 2.7585082  -3.77124439],[2.7287606  3.04495899],[ 2.65819999 -4.41872647],[1.36078897 1.18427029],[-4.60936665 -1.20819751],[9.73806647 7.51423737],[-4.02287534  3.68049531],[3.39493903 5.85024387],[-1.30950974 -0.83157073]
[3.15926532 1.78532867],[-0.47672881  1.09706707],[5.77218962 4.31178441],[-1.14967858 -0.3075349 ],[3.53758378 5.46472949],[ 0.8155762  -0.80910841],[5.12491447 3.99547865],[-1.02211861  0.5321877 ],[1.65168582 6.8926744 ],[ 0.326875   -1.22557446],[6.03407684 4.86986822],[-0.73275809 -0.91435781],[5.57077753 2.54406964],[0.63358121 0.84460824],[0.92008843 3.3497129 ],[0.91465563 0.88040391],[5.87717619 7.07581887],[-0.98830558 -0.84608911],[2.39017808 3.30737242],[ 0.42206365 -0.84867476]
[3.11355672 1.89573907],[-0.43603914  1.11216135],[5.65718225 4.28147403],[-1.15121728 -0.29987559],[3.61856842 5.38388389],[ 0.80154572 -0.81035194],[5.02292568 4.04821877],[-1.01709839  0.52310151],[1.68619496 6.77065142],[ 0.36434016 -1.21313052],[5.95964474 4.77949466],[-0.75644262 -0.89395866],[5.63168371 2.63016607],[0.58745046 0.87986799],[1.01242427 3.43618177],[0.93393533 0.8513715 ],[5.77932697 6.99067561],[-0.96794012 -0.85568017],[2.43490644 3.22373045],[ 0.46980038 -0.82626507]
[3.07192977 2.00755904],[-0.39534402  1.12510994],[5.54240226 4.25221438],[-1.14404753 -0.28508718],[3.69779755 5.30257295],[ 0.78263342 -0.81623756],[4.92167402 4.10027859],[-1.00787294  0.51812036],[1.72422328 6.64987766],[ 0.39861297 -1.19940885],[5.88309648 4.69134163],[-0.77446154 -0.86933535],[5.68795369 2.71967141],[0.53859298 0.91049176],[1.1068503 3.5200546],[0.95306329 0.82506565],[5.68347344 6.90462667],[-0.95022361 -0.86608174],[2.48402078 3.14213217],[ 0.51109106 -0.80642704]
[3.03422948 2.12044483],[-0.35844555  1.13266546],[5.42823901 4.22430486],[-1.14022763 -0.27430088],[3.7752319  5.22078407],[ 0.76670323 -0.81885683],[4.82136004 4.1518579 ],[-0.99614298  0.51578134],[1.76551295 6.53048946],[ 0.42608009 -1.18866147],[5.80420593 4.60503996],[-0.80255555 -0.85615024],[5.73927845 2.81208078],[0.4862363  0.93568895],[1.20270041 3.60093617],[0.96586984 0.79495947],[5.58941486 6.81764355],[-0.93217552 -0.87452856],[2.53727337 3.06272475],[ 0.55293693 -0.78207625]
[3.00020889 2.23402224],[-0.32207816  1.13869637],[5.31462571 4.19759884],[-1.1334951  -0.26145225],[3.85115042 5.13882424],[ 0.75187382 -0.82009611],[4.7217321 4.2027102],[-0.99527245  0.50227904],[1.80958526 6.41241148],[ 0.45668565 -1.17114538],[5.72329145 4.52077261],[-0.81651996 -0.83027892],[5.78492433 2.90650073],[0.42949546 0.95523393],[1.29990616 3.67900377],[0.97708557 0.76562421],[5.49699923 6.72972889],[-0.91944115 -0.88681173],[2.59459918 2.98583617],[ 0.5945642  -0.75407116]
[2.96969343 2.34803162],[-0.29016575  1.13962091],[5.20141306 4.17185059],[-1.13103036 -0.25411375],[3.92535951 5.0565302 ],[ 0.73401475 -0.82402869],[4.62231013 4.25228498],[-0.99432512  0.48790805],[1.85638111 6.29587986],[ 0.48090774 -1.15723724],[5.64097302 4.43901002],[-0.83028771 -0.8056894 ],[5.82558874 3.00345878],[0.38240355 0.98193533],[1.39830249 3.7543136 ],[0.99022655 0.74040404],[5.4061327  6.64093031],[-0.89924952 -0.89026825],[2.65600675 2.91185699],[ 0.63153494 -0.72692311]
[2.94240203 2.46216484],[-0.25688774  1.14169559],[5.08855075 4.1468578 ],[-1.12271263 -0.24232009],[3.9978868  4.97396379],[ 0.71554195 -0.82822716],[4.52325724 4.30066471],[-0.99051114  0.47577394],[1.90557527 6.18085133],[ 0.50276901 -1.14310821],[5.55729234 4.35965045],[-0.84260474 -0.78104019],[5.86127372 3.102673  ],[0.33154685 1.00212559],[1.49777268 3.82696705],[1.00004023 0.71389439],[5.3167845  6.55135114],[-0.88883451 -0.90220372],[2.72112457 2.84079885],[ 0.67138791 -0.69303127]
[2.91821812 2.57627204],[-0.22565194  1.14161575],[4.97667731 4.123207  ],[-1.11573157 -0.23173998],[4.06860003 4.89103088],[ 0.69718802 -0.83190294],[4.42458117 4.34778938],[-0.98140702  0.46835477],[1.95693437 6.06733806],[ 0.52625775 -1.12508023],[5.47227225 4.28258127],[-0.85883188 -0.76164696],[5.8917605  3.20366486],[0.28024408 1.01923404],[1.59822922 3.8970746 ],[1.00710459 0.68657817],[5.22868043 6.46084317],[-0.87297585 -0.90746845],[2.79002573 2.77311858],[ 0.70459909 -0.6619726 ]
[2.89723436 2.69043025],[-0.1920914   1.14328262],[4.86542445 4.10049788],[-1.11048458 -0.2236805 ],[4.13748041 4.80775516],[ 0.68098655 -0.83300226],[4.32677125 4.39413678],[-0.97640538  0.4569411 ],[2.01042585 5.95549394],[ 0.54568258 -1.10935146],[5.38588315 4.20763714],[-0.86802181 -0.73655352],[5.91709538 3.30620353],[0.22860578 1.0331005 ],[1.69951497 3.96466395],[1.01585884 0.66273309],[5.14210519 6.36980955],[-0.85567116 -0.91014471],[2.86235398 2.70884096],[ 0.73784672 -0.62707575]
[2.87962579 2.80471832],[-0.16032977  1.14217928],[4.75463862 4.07847932],[-1.10589944 -0.21745682],[4.20448335 4.72413421],[ 0.66050979 -0.83791016],[4.22919383 4.43903528],[-0.9736885   0.44239119],[2.06576414 5.84521546],[ 0.5610364  -1.09592562],[5.29889213 4.13546621],[-0.87461901 -0.70986833],[5.93702557 3.40975651],[0.17186502 1.03932203],[1.80141964 4.02968628],[1.02388654 0.63970623],[5.05722304 6.27852212],[-0.84077406 -0.91420856],[2.93776744 2.64800066],[ 0.76684684 -0.5927365 ]
[2.8649822  2.91867276],[-0.13536603  1.13425891],[4.64456613 4.05729324],[-1.09314349 -0.20368346],[4.26977887 4.64038353],[ 0.64494718 -0.83751981],[4.13204184 4.48260119],[-0.96939316  0.42889081],[2.12274689 5.73647551],[ 0.57731211 -1.0799837 ],[5.21104269 4.06571283],[-0.88151645 -0.68454194],[5.95151447 3.5140311 ],[0.11720811 1.04502037],[1.90381173 4.09216773],[1.02433815 0.61047787],[4.97405184 6.1870965 ],[-0.82335276 -0.91484266],[3.01572204 2.59040613],[ 0.79574192 -0.5550639 ]
[2.85269211 3.03174835],[-0.10877711  1.12904394],[4.53548552 4.0372213 ],[-1.08833496 -0.19784226],[4.33346145 4.55663224],[ 0.62914272 -0.83701462],[4.03556577 4.52505602],[-0.96177237  0.41852649],[2.1814969  5.62952741],[ 0.5962172  -1.06037039],[5.12238299 3.99832195],[-0.8927754  -0.66458428],[5.96048764 3.61870022],[0.06224722 1.04782428],[2.00647621 4.15200057],[1.03205445 0.58960815],[4.8924753  6.09550227],[-0.80828361 -0.91697883],[3.09659715 2.5367931 ],[ 0.82335795 -0.5150257 ]
[2.84292848 3.14418064],[-0.08571937  1.12051521],[4.42713801 4.01793992],[-1.07690781 -0.18600081],[4.39569469 4.47307783],[ 0.61577391 -0.83379876],[3.93925367 4.56583312],[-0.96163027  0.39971268],[2.2420701  5.52451382],[ 0.61499563 -1.04005763],[5.03262077 3.93288906],[-0.9021815  -0.64399811],[5.96375431 3.72331906],[0.00570119 1.04673336],[2.10970813 4.2096216 ],[1.03479397 0.56528762],[4.81268711 6.00401279],[-0.7893056  -0.91452027],[3.18004341 2.48716772],[ 0.84635454 -0.47610415]
