[6.69147257 2.94984162],[-1.09326167  0.10065151],[7.53292715 3.64328807],[-1.03816319 -0.47266673],[5.31762476 4.20514877],[0.25164589 1.03851866],[2.20592178 4.53959225],[ 1.28055629 -0.3792015 ],[7.06478625 5.41547138],[-0.54880663 -1.0378221 ],[4.80243846 4.83496649],[-0.62078612 -0.73321795],[8.38640249 3.99494561],[ 0.69044478 -0.20284155],[7.62453482 2.70434694],[0.30710179 1.0880908 ],[4.21765215 1.85434227],[0.9321134  0.89106843],[7.78504196 7.9132234 ],[-0.7585251  -1.09005461]
[6.58259671 2.96133012],[-1.08452481  0.12856122],[7.42882756 3.59727283],[-1.04288708 -0.4469834 ],[5.34357656 4.30817775],[0.26523762 1.02005186],[2.33391919 4.50273514],[ 1.28051791 -0.35683259],[7.00942683 5.31177047],[-0.55529271 -1.03296568],[4.74175748 4.76050759],[-0.59064422 -0.75375111],[8.45451492 3.97463202],[ 0.67076862 -0.20432616],[7.65265617 2.81316918],[0.25590302 1.08868711],[4.31029753 1.94351337],[0.91823603 0.88963759],[7.71001135 7.8037457 ],[-0.74000124 -1.09704   ]
[6.47463752 2.97555427],[-1.07388245  0.15651505],[7.32445135 3.5539541 ],[-1.04405239 -0.41902621],[5.37125424 4.40974125],[0.28467234 1.0074544 ],[2.46178973 4.4679699 ],[ 1.2785656  -0.33700338],[6.95374911 5.20889826],[-0.55795822 -1.02420656],[4.68410863 4.68400608],[-0.56332077 -0.77721543],[8.52029076 3.95383254],[ 0.64534016 -0.21102607],[7.6755649  2.92191154],[0.20511551 1.08865432],[4.40147148 2.03241564],[0.90635133 0.88937698],[7.63706218 7.6938906 ],[-0.72229743 -1.10294466]
[6.3677554  2.99251142],[-1.06433216  0.18178356],[7.22002693 3.51344996],[-1.04361602 -0.39040162],[5.40060788 4.50977883],[0.30592452 0.99669126],[2.58922032 4.43488825],[ 1.27238016 -0.32263204],[6.898245   5.10732062],[-0.5530767 -1.0084745],[4.62950811 4.60547771],[-0.52945495 -0.7941161 ],[8.58349001 3.93235378],[ 0.61868102 -0.21841555],[7.69407853 3.03120283],[0.16371972 1.09518643],[4.49186708 2.12166655],[0.89983582 0.89379422],[7.56573023 7.58340432],[-0.70808649 -1.11012087]
[6.26167295 3.01173152],[-1.05582342  0.20374614],[7.11573581 3.47586439],[-1.04429685 -0.36353979],[5.43160104 4.60823709],[0.31568574 0.97441827],[2.71617144 4.40333377],[ 1.2647094  -0.31073787],[6.8432362  5.00727699],[-0.54806264 -0.9934747 ],[4.57842161 4.525379  ],[-0.49228725 -0.80784777],[8.64413516 3.91028575],[ 0.5912471  -0.22581081],[7.70818711 3.14074821],[0.1200632  1.09689466],[4.58145241 2.21116771],[0.89301469 0.89725893],[7.49603452 7.47252111],[-0.68656059 -1.10809495]
[6.15680466 3.03343314],[-1.04142519  0.23019788],[7.01113092 3.44064188],[-1.04573757 -0.33901242],[5.46355072 4.70449798],[0.32517801 0.95280332],[2.8423083 4.3728242],[ 1.26091196 -0.29659986],[6.7882747  4.90826662],[-0.54958279 -0.98512547],[4.5307701  4.44362342],[-0.45970531 -0.82610695],[8.70168276 3.8871564 ],[ 0.55980302 -0.2365501 ],[7.7182678  3.25064551],[0.07851739 1.0975116 ],[4.67020449 2.30083374],[0.88006157 0.8939923 ],[7.42809231 7.36150264],[-0.67350475 -1.113039  ]
[6.05333047 3.05768312],[-1.03114488  0.25141104],[6.90654137 3.40798485],[-1.04733822 -0.31568273],[5.49681033 4.79897523],[0.34209837 0.93871433],[2.96814349 4.34381789],[ 1.25566883 -0.28379979],[6.73329041 4.81021824],[-0.55280426 -0.97846237],[4.48625053 4.35994158],[-0.42848812 -0.84521686],[8.75605888 3.86296894],[ 0.53067079 -0.24407179],[7.72401522 3.36031613],[0.03562401 1.09457906],[4.75765901 2.39014382],[0.86798884 0.89107992],[7.36118553 7.2498395 ],[-0.66178181 -1.11702439]
[5.95077575 3.08383884],[-1.01714987  0.27422695],[6.80170911 3.37749793],[-1.04826601 -0.29333237],[5.53183835 4.89208043],[0.35768269 0.92261837],[3.09339908 4.31600666],[ 1.24863415 -0.27337404],[6.67780062 4.7126857 ],[-0.55813376 -0.97328162],[4.44519883 4.27471169],[-0.39385214 -0.86050785],[8.80774687 3.83832246],[ 0.50254822 -0.24919274],[7.72561535 3.46971593],[-0.00251808  1.0939412 ],[4.84383161 2.47906468],[0.85768266 0.88947382],[7.29575814 7.13815589],[-0.6480438  -1.11767995]
[5.84960327 3.11219907],[-1.00411497  0.29487573],[6.69700573 3.34941485],[-1.04594641 -0.26874459],[5.5683709  4.98350932],[0.37294736 0.90589435],[3.21785357 4.28908545],[ 1.24218445 -0.26338901],[6.62200937 4.61592277],[-0.55873749 -0.96305963],[4.40776173 4.18813019],[-0.35354149 -0.86970819],[8.85632017 3.81293382],[ 0.46859455 -0.25867579],[7.72320446 3.57872047],[-0.04532483  1.0861374 ],[4.92883551 2.56766536],[0.84209193 0.88217316],[7.23177297 7.02653664],[-0.62941946 -1.11227287]
[5.75002908 3.14286874],[-0.98744416  0.31827519],[6.59261227 3.32382552],[-1.04400589 -0.24525928],[5.60622251 5.07304764],[0.38387512 0.88469695],[3.34180569 4.2632975 ],[ 1.23952938 -0.24959026],[6.56597243 4.5200023 ],[-0.5619222  -0.95518124],[4.37438287 4.10065598],[-0.31407423 -0.87968202],[8.90123862 3.78641594],[ 0.43106193 -0.27013653],[7.71692157 3.68722885],[-0.08057892  1.08331154],[5.01277249 2.65600997],[0.83573874 0.8837317 ],[7.16947801 6.91531862],[-0.61433488 -1.10979998]
[5.6520133  3.17571998],[-0.9720447   0.33934706],[6.48799333 3.30008851],[-1.04922032 -0.23084782],[5.64534467 5.16063806],[0.39999864 0.86851041],[3.46555115 4.23899541],[ 1.23559564 -0.23618393],[6.50954817 4.42482165],[-0.56527651 -0.94708883],[4.34467203 4.01193833],[-0.28036202 -0.89462941],[8.94224803 3.75868873],[ 0.38930033 -0.28392233],[7.70718572 3.79537212],[-0.11445489  1.07871938],[5.09563818 2.74405682],[0.82284958 0.87842303],[7.10882287 6.80450925],[-0.59934943 -1.10684113]
[5.55582641 3.2109281 ],[-0.95431806  0.36203738],[6.3833929  3.27823435],[-1.04379002 -0.20732674],[5.68585568 5.24636071],[0.4118441  0.84762376],[3.58869947 4.21583142],[ 1.22555549 -0.22912437],[6.45331804 4.33097324],[-0.56107816 -0.9317209 ],[4.31853511 3.92199081],[-0.24056997 -0.90238514],[8.97872329 3.7293333 ],[ 0.33925368 -0.30376421],[7.69384878 3.90270761],[-0.15483892  1.06527759],[5.17738474 2.83172762],[0.80838037 0.87125038],[7.04931052 6.69369998],[-0.59168054 -1.10990478]
[5.46117162 3.24810195],[-0.93698669  0.38305618],[6.27961407 3.25900748],[-1.03435179 -0.17973055],[5.7279719 5.3303899],[0.43006114 0.83239945],[3.71112706 4.19361781],[ 1.22096037 -0.21706625],[6.39725722 4.23840136],[-0.56005744 -0.91970527],[4.29662725 3.83153526],[-0.19982998 -0.90882669],[9.01032511 3.69825513],[ 0.29269049 -0.31743156],[7.67643999 4.00860747],[-0.19610763  1.04973941],[5.25777204 2.91875936],[0.79951015 0.86948071],[6.99075304 6.58284803],[-0.57819996 -1.10576435]
[5.36804849 3.28711748],[-0.92619464  0.39623844],[6.17643596 3.24218423],[-1.03070447 -0.15838188],[5.77169627 5.41264279],[0.44422103 0.8123828 ],[3.83277788 4.1722856 ],[ 1.21214931 -0.20973352],[6.34146408 4.14718639],[-0.55542576 -0.90429276],[4.27881276 3.74049764],[-0.15563915 -0.91102493],[9.03722652 3.66592207],[ 0.24424085 -0.32978863],[7.65479349 4.11280023],[-0.23433003  1.03624397],[5.33690724 3.00523858],[0.78252969 0.85942355],[6.93362087 6.47250903],[-0.5646599  -1.10114271]
[5.2762483  3.32760846],[-0.90903693  0.41422526],[6.07355708 3.22737455],[-1.02706177 -0.13820497],[5.81673683 5.49276755],[0.45706936 0.79054783],[3.95363952 4.15174001],[ 1.20810639 -0.19801274],[6.28570796 4.0570864 ],[-0.55796033 -0.89597121],[4.265445   3.64928857],[-0.11010451 -0.91140047],[9.05869216 3.63194555],[ 0.18345357 -0.35070716],[7.62968345 4.21588084],[-0.26843011  1.02433428],[5.41453595 3.09090111],[0.77175686 0.85549347],[6.87772112 6.36254363],[-0.55361505 -1.098338  ]
[5.18617004 3.36985495],[-0.89324621  0.42983471],[5.97149092 3.21501326],[-1.01632917 -0.11112854],[5.86306467 5.57068505],[0.47067163 0.76889811],[4.07416221 4.13248673],[ 1.20199844 -0.1874493 ],[6.22982566 3.96795423],[-0.56033371 -0.88723464],[4.25662446 3.55806231],[-0.06535084 -0.91196889],[9.07403016 3.59604654],[ 0.12287772 -0.36695139],[7.60104937 4.31754993],[-0.30143696  1.0113934 ],[5.49108591 3.17616079],[0.76144177 0.851864  ],[6.82265317 6.25264542],[-0.54706143 -1.09877691]
