[5.26283612 0.15010231],[ 1.92358535 -3.31195126],[7.04923577 2.62441857],[ 4.82781865 -1.25664924],[9.77940486 3.86871174],[3.03033044 3.61680912],[8.24474542 4.32860766],[-4.81642792 -2.52503867],[0.75096653 1.62020746],[ 2.62130074 -0.90069741],[0.3989878  8.24807149],[ 2.39335689 -2.81026122],[9.90083711 7.4516995 ],[1.13612151 4.49633442],[2.56831028 2.86019255],[-1.55392484  0.26245726],[5.20090981 5.3857102 ],[-1.90480135 -2.57928119],[4.17524410e-03 7.72668216e+00],[-1.6246001   4.53658037]
[6.89845999 1.23212014],[-0.11721722  1.29684761],[8.39496582 3.9877741 ],[-0.7664943   0.94278919],[7.94350703 6.05454803],[-1.26372157 -0.07236023],[4.42958256 3.67141609],[-0.95744374  0.23993962],[4.56247783 2.89002668],[0.83845763 0.8343553 ],[3.70878095 5.30713052],[ 0.98508789 -0.66511649],[7.25630629 7.83651565],[-0.98916735 -0.87525621],[2.30193318 5.10318567],[1.00156441 0.66082447],[3.7346798  2.50308528],[-0.01863166 -0.6654873 ],[2.55343818 8.0377035 ],[ 1.03274665 -0.86949184]
[6.88484353 1.36137523],[-0.15512654  1.28756474],[8.31598731 4.08040725],[-0.81124171  0.91058578],[7.81762322 6.04595975],[-1.25593566 -0.1010532 ],[4.33473417 3.69676274],[-0.9400504   0.26635354],[4.64545374 2.97403284],[0.81950003 0.84403326],[3.8071204  5.24121615],[ 0.97974871 -0.65516437],[7.15876757 7.74862346],[-0.96622502 -0.88670828],[2.40332994 5.16717519],[1.02616747 0.61945058],[3.73458552 2.43738821],[ 0.01771077 -0.64758725],[2.65575566 7.95014068],[ 1.0098113  -0.88542237]
[6.86774942 1.48983687],[-0.1846201   1.28292533],[8.23279975 4.16977487],[-0.85009566  0.87825113],[7.69239456 6.03442699],[-1.24946565 -0.13036068],[4.24191973 3.72503623],[-0.91794488  0.29746644],[4.72629099 3.05872187],[0.79846751 0.85081312],[3.90492793 5.17629369],[ 0.97532192 -0.64437752],[7.06306636 7.65925873],[-0.94639597 -0.89875319],[2.50691894 5.22694709],[1.04585739 0.57692666],[3.73818002 2.3735053 ],[ 0.05766941 -0.62671223],[2.75579525 7.86104048],[ 0.98964203 -0.89777969]
[6.84764255 1.61756478],[-0.21706635  1.27147884],[8.14637158 4.25629143],[-0.87842922  0.85135373],[7.56769226 6.01984667],[-1.2430485  -0.15962503],[4.15105116 3.75613936],[-0.89748767  0.32649929],[4.80533496 3.14435798],[0.78269196 0.86202416],[4.00236245 5.11252584],[ 0.97231321 -0.63202808],[6.96942959 7.568891  ],[-0.92484064 -0.90669357],[2.61236679 5.28253793],[1.0646053  0.53700345],[3.74597759 2.31187557],[ 0.10018071 -0.60411094],[2.85402715 7.77095804],[ 0.9723263  -0.90641626]
[6.82494131 1.74460756],[-0.24008562  1.26563813],[8.05716978 4.33996433],[-0.90584438  0.82125256],[7.44419984 6.00298824],[-1.22959614 -0.17989213],[4.06234227 3.79024674],[-0.87724548  0.3549109 ],[4.88264769 3.23092053],[0.7642566  0.86975455],[4.0993525  5.04985727],[ 0.96543424 -0.62345896],[6.87763582 7.47752681],[-0.90945688 -0.91864224],[2.71987621 5.33452436],[1.08434874 0.50230032],[3.75814373 2.25258839],[ 0.14397469 -0.58088251],[2.95021717 7.6797354 ],[ 0.95326338 -0.91614237]
[6.80003104 1.87097684],[-0.25960927  1.25971125],[7.96517486 4.42039968],[-0.93800207  0.78294419],[7.32159833 5.98370576],[-1.22363574 -0.20686231],[3.97556452 3.82705295],[-0.85817243  0.38118055],[4.95807455 3.31817501],[0.7455087  0.87642661],[4.19548242 4.98785836],[ 0.95866485 -0.61505363],[6.7876978  7.38538537],[-0.88848321 -0.92303281],[2.82903636 5.3829154 ],[1.10199489 0.46937747],[3.77490139 2.19581125],[ 0.19010897 -0.55577216],[3.04485267 7.58792452],[ 0.93693262 -0.92250775]
[6.77269515 1.99617071],[-0.28773016  1.24333097],[7.87026736 4.49714661],[-0.95977184  0.7519166 ],[7.19973306 5.96187232],[-1.21182993 -0.22780826],[3.89077945 3.866518  ],[-0.83741732  0.40803186],[5.03177272 3.40620442],[0.72805846 0.88361014],[4.2908616  4.92662276],[ 0.95134481 -0.60726178],[6.69972434 7.29276231],[-0.87023029 -0.92837274],[2.93975051 5.42801233],[1.11297805 0.43385046],[3.79635329 2.14161644],[ 0.23982686 -0.52719941],[3.13788784 7.4955352 ],[ 0.92497917 -0.9240028 ]
[6.7431041  2.12019583],[-0.30915831  1.23180311],[7.77336402 4.57085112],[-0.97790128  0.72222766],[7.07893504 5.93788505],[-1.20474305 -0.25248323],[3.8078434  3.90837644],[-0.82055702  0.42956866],[5.10350182 3.49469508],[0.70845257 0.88799971],[4.38576577 4.86643425],[ 0.94552563 -0.59770081],[6.61308889 7.19920376],[-0.86040496 -0.94041479],[3.05153537 5.46970383],[1.12210256 0.39985828],[3.82290631 2.09041214],[ 0.29032215 -0.49769107],[3.22958977 7.40287962],[ 0.91079923 -0.9273198 ]
[6.71111993 2.24277061],[-0.32802552  1.22180935],[7.67475055 4.64159308],[-0.99469901  0.69197015],[6.95918957 5.91179822],[-1.18920544 -0.26791589],[3.72689696 3.9526153 ],[-0.79663998  0.45676128],[5.17344167 3.58376011],[0.68988721 0.89273099],[4.47995563 4.80706884],[ 0.94061226 -0.58720234],[6.52767714 7.104766  ],[-0.84599651 -0.94623878],[3.16388648 5.50779065],[1.12384649 0.36102437],[3.85442984 2.04211329],[ 0.34137725 -0.46686851],[3.31962888 7.30966518],[ 0.89067772 -0.9362234 ]
[6.67740606 2.36438221],[-0.34796707  1.2084376 ],[7.57436438 4.70912223],[-1.01119797  0.66015927],[6.84083606 5.88409305],[-1.17762715 -0.28573411],[3.64856204 3.99974111],[-0.77069668  0.48494102],[5.24132875 3.67307597],[0.66720384 0.89284413],[4.57355034 4.7486639 ],[ 0.9312766  -0.58095007],[6.44370338 7.0098157 ],[-0.83310255 -0.95212692],[3.27646978 5.54214889],[1.12413841 0.32270275],[3.89134786 1.99724483],[ 0.39788278 -0.42932192],[3.40808099 7.21600215],[ 0.8807081  -0.93467229]
[6.64157862 2.48449436],[-0.36671002  1.19549925],[7.47248547 4.77354956],[-1.02510774  0.62942415],[6.72408134 5.85513854],[-1.15864489 -0.29421141],[3.5727453  4.04954501],[-0.74483362  0.51168014],[5.30696983 3.76240906],[0.64597469 0.89409682],[4.66641257 4.69108601],[ 0.925931   -0.57063258],[6.36151904 6.91483845],[-0.81105692 -0.94771002],[3.38909744 5.57276126],[1.12986084 0.2914961 ],[3.93381959 1.95612692],[ 0.45344376 -0.39072688],[3.49552332 7.12249033],[ 0.86902102 -0.93466014]
[6.60410116 2.60345511],[-0.38403167  1.18232464],[7.36965431 4.83529057],[-1.03021324  0.6066357 ],[6.60876248 5.82495218],[-1.14544261 -0.3070992 ],[3.49951951 4.10195237],[-0.71941019  0.53646548],[5.37079493 3.8521503 ],[0.6327381 0.9027449],[4.75867336 4.63448284],[ 0.9203799 -0.5602825],[6.2814091  6.82021608],[-0.79399023 -0.94740549],[3.50210466 5.60020181],[1.13018248 0.25754356],[3.98197145 1.91912771],[ 0.5099903  -0.34828651],[3.58163495 7.02882799],[ 0.8538376 -0.9379147]
[6.56506025 2.72119823],[-0.3980833   1.17105879],[7.26607522 4.89448563],[-1.04068552  0.5777757 ],[6.4948     5.79356731],[-1.13440673 -0.32111108],[3.42930439 4.15722946],[-0.68550864  0.56819933],[5.43305817 3.9424726 ],[0.61085902 0.90198575],[4.85034229 4.57888885],[ 0.91555954 -0.54894209],[6.20285632 6.72552607],[-0.77617575 -0.94537326],[3.615255   5.62446457],[1.13278839 0.22815736],[4.036121   1.88690121],[ 0.57472411 -0.29372418],[3.66609496 6.93472264],[ 0.83842021 -0.94111726]
[6.52450683 2.83764656],[-0.41507245  1.15577303],[7.16178183 4.95108768],[-1.0456192   0.55373793],[6.38202718 5.76089011],[-1.12066269 -0.33187655],[3.36243838 4.2155563 ],[-0.65398764  0.59585805],[5.49350087 4.03306648],[0.59750816 0.90921271],[4.94204283 4.52498582],[ 0.91537003 -0.53207863],[6.12571418 6.63071297],[-0.76480658 -0.94882926],[3.72811551 5.64532592],[1.12709419 0.19186384],[4.09669459 1.86033755],[ 0.63746647 -0.23583468],[3.74920374 6.84049543],[ 0.82179845 -0.94532675]
