[6.23597982 5.40889614],[-1.18219996  0.04870158],[3.93665096 2.40626348],[-0.89127886  0.53705402],[4.60526156 5.35119303],[-0.2500504  0.9450092],[3.85651479 6.12601264],[ 0.74609956 -0.92555146],[2.43145294 7.88759169],[ 0.37736722 -1.26474818],[5.0610967  5.36934468],[0.71212153 0.65616362],[7.2150768  4.17594879],[-0.42095034 -0.93633654],[6.64239516 6.94675669],[-0.32169541  0.41945105],[3.72937096 0.90139959],[0.67591306 1.13278245],[2.62591076 2.66571143],[-0.53707156  0.8130614 ]
[6.11824584 5.41295964],[-1.17385006  0.03152856],[3.84885337 2.46265586],[-0.86777532  0.58674657],[4.58060919 5.44547254],[-0.24339109  0.94008899],[3.93088966 6.03395194],[ 0.73871019 -0.91832941],[2.47045468 7.76182056],[ 0.40396749 -1.24897629],[5.13203641 5.43440826],[0.70715933 0.64570497],[7.16967687 4.08311364],[-0.48583966 -0.91884435],[6.60648458 6.9873656 ],[-0.39779211  0.39134858],[3.79575929 1.01537487],[0.65059857 1.14494888],[2.57434365 2.74944093],[-0.48797588  0.86644874]
[6.00146932 5.4155087 ],[-1.1636438   0.01762631],[3.7635654  2.52391258],[-0.84185333  0.63365756],[4.55627156 5.53889115],[-0.24393765  0.92769671],[4.00398732 5.94209714],[ 0.72487346 -0.91706881],[2.5118335  7.63747064],[ 0.42231864 -1.23868351],[5.20268819 5.4986681 ],[0.70530003 0.63904179],[7.11790759 3.992261  ],[-0.54934896 -0.89779649],[6.56278148 7.02494069],[-0.47640056  0.35966212],[3.85955104 1.13036619],[0.62672435 1.15585516],[2.52838061 2.83877947],[-0.43313985  0.9171291 ]
[5.88510126 5.4160585 ],[-1.16317049 -0.00618888],[3.68090914 2.58964589],[-0.81049395  0.68096134],[4.53169517 5.63091052],[-0.24466988  0.9157048 ],[4.07596152 5.85064673],[ 0.71416835 -0.91231771],[2.55494469 7.51421985],[ 0.44164025 -1.22419749],[5.27298135 5.56212597],[0.69767597 0.62734186],[7.06037637 3.90417215],[-0.60364885 -0.86633358],[6.51127117 7.05927958],[-0.55756883  0.322696  ],[3.92064896 1.24602555],[0.59636878 1.1582111 ],[2.48767574 2.93257789],[-0.38003642  0.9585727 ]
[5.76917884 5.41460603],[-1.15337883 -0.02080931],[3.60163544 2.66012205],[-0.77403464  0.72873842],[4.50714221 5.72183722],[-0.24396246  0.90521251],[4.14703792 5.75985662],[ 0.70515597 -0.90564591],[2.60018095 7.39268572],[ 0.4614788  -1.20787451],[5.34230135 5.6242359 ],[0.6879769  0.61422482],[6.99738184 3.81923359],[-0.65684843 -0.833053  ],[6.45142675 7.08948157],[-0.64185661  0.27777371],[3.97897901 1.36211333],[0.57221458 1.16516552],[2.45225467 3.03014914],[-0.32797846  0.99218766]
[5.65431664 5.41183901],[-1.14619089 -0.03659573],[3.52600218 2.73514252],[-0.74053792  0.76900078],[4.48273819 5.81178252],[-0.24534008  0.8925179 ],[4.21669594 5.66924302],[ 0.69046212 -0.90409483],[2.64756101 7.27299501],[ 0.4829954  -1.18883571],[5.41063432 5.6850512 ],[0.67769154 0.60121451],[6.9289759  3.73755413],[-0.71090609 -0.8002302 ],[6.3833246  7.11502547],[-0.7175175   0.23448591],[4.03515281 1.47903692],[0.55156576 1.17317163],[2.42245646 3.13117272],[-0.27095145  1.02423678]
[5.54017565 5.40751961],[-1.13732073 -0.05025473],[3.45366527 2.8139146 ],[-0.70288219  0.80903164],[4.45768351 5.89998137],[-0.25552734  0.87197484],[4.28532625 5.57924207],[ 0.68089748 -0.89714263],[2.69669231 7.1548914 ],[ 0.50241484 -1.17029368],[5.47797114 5.74463387],[0.66962689 0.59115565],[6.85537216 3.65936583],[-0.76008938 -0.7626016 ],[6.30778159 7.13595746],[-0.79193978  0.18394215],[4.08931287 1.59668558],[0.52801123 1.17598009],[2.39842126 3.23515791],[-0.21011296  1.05417091]
[5.42686445 5.40182112],[-1.12960394 -0.06440683],[3.38556068 2.89693775],[-0.65937511  0.85053742],[4.43207279 5.98663293],[-0.25675511  0.86096429],[4.3526423  5.48960137],[ 0.66840235 -0.89264578],[2.74766567 7.03859015],[ 0.51693548 -1.1556091 ],[5.54431247 5.80306043],[0.6569397  0.57724675],[6.77726999 3.58533688],[-0.80057803 -0.71678737],[6.22508056 7.15162087],[-0.86062581  0.12901443],[4.14095469 1.71440669],[0.50363888 1.17706332],[2.38047907 3.34185002],[-0.15158343  1.07601026]
[5.31424059 5.39462574],[-1.11990017 -0.07633773],[3.32153825 2.98363119],[-0.6216172   0.88217954],[4.40592078 6.07177417],[-0.26943489  0.83893604],[4.41856459 5.40028898],[ 0.65132921 -0.89222261],[2.80034256 6.92406453],[ 0.53248044 -1.13882438],[5.60949857 5.86024887],[0.64444166 0.56431028],[6.69514505 3.51588174],[-0.84113637 -0.67176929],[6.13584811 7.16158205],[-0.92036994  0.07195492],[4.19021386 1.83224053],[0.47998694 1.17785946],[2.36815863 3.45028565],[-0.09617435  1.09068924]
[5.20272907 5.38644495],[-1.10955258 -0.08638754],[3.26133305 3.07334372],[-0.58563148  0.90839894],[4.37858545 6.15485506],[-0.27741407  0.82263969],[4.4831534  5.31141625],[ 0.63947008 -0.88616019],[2.85459188 6.81129827],[ 0.55011109 -1.11889871],[5.67313666 5.91588278],[0.63087919 0.55105966],[6.60894354 3.4508568 ],[-0.88321122 -0.62937457],[6.04132469 7.16598714],[-0.96899578  0.01552896],[4.23725732 1.95024975],[0.46119281 1.18233143],[2.36146055 3.56009149],[-0.03650822  1.10608766]
