[2.05895724 2.70516619],[ 0.8979555  -0.55621435],[0.53749773 6.95887876],[ 0.77119138 -1.1007357 ],[5.60161983 1.76302208],[-0.91300362  0.91238856],[5.000421   6.33055637],[-0.92646465 -0.84725102],[0.68432498 4.91343313],[1.01581302 0.60372872],[1.51053935 1.81733174],[0.00351538 1.15284931],[5.54790296 2.84237387],[-1.14042693  0.4895646 ],[2.09956419 5.71030627],[-0.40364778 -1.02638384],[7.5426443  5.45870494],[-1.07046504 -0.80442485],[3.98072598 2.25414802],[0.72489912 0.86687763]
[2.14989727 2.65155087],[ 0.92051698 -0.51586033],[0.61509814 6.84959289],[ 0.78002079 -1.08567388],[5.51070973 1.85413861],[-0.90736903  0.907733  ],[4.90834939 6.24530917],[-0.91535338 -0.85784337],[0.78715077 4.97141128],[1.04316051 0.55911306],[1.51322885 1.93336238],[0.05233843 1.16879733],[5.43444489 2.89165819],[-1.12795732  0.49691216],[2.06141863 5.6068647 ],[-0.36137981 -1.04393384],[7.43482253 5.379749  ],[-1.0857429  -0.77507107],[4.05135071 2.341687  ],[0.68927115 0.88530095]
[2.24292528 2.60196149],[ 0.94050374 -0.4750015 ],[0.69346733 6.74173315],[ 0.78363626 -1.07506071],[5.42024611 1.94465895],[-0.90284459  0.90170284],[4.81767967 6.15935772],[-0.89772779 -0.86063263],[0.89286181 5.02532057],[1.06978054 0.51863729],[1.52063673 2.05055203],[0.09737822 1.1760812 ],[5.32224051 2.94167964],[-1.1171962   0.50233044],[2.02738618 5.50173376],[-0.31867301 -1.05753379],[7.32561335 5.30369221],[-1.09831469 -0.74650368],[4.11822091 2.43081237],[0.64919494 0.89806262]
[2.33778603 2.55643688],[ 0.95737213 -0.43442172],[0.77226354 6.63504919],[ 0.79269676 -1.05822123],[5.33020294 2.03453282],[-0.89574459  0.89802496],[4.7288727 6.0732913],[-0.87952994 -0.86160231],[1.00100582 5.07519254],[1.08881318 0.47532427],[1.53279458 2.16851892],[0.14472516 1.18170766],[5.21123093 2.99234793],[-1.10592383  0.50789385],[1.99781674 5.39557239],[-0.27471218 -1.0671813 ],[7.21507465 5.23025105],[-1.11214421 -0.72260881],[4.18142259 2.52149456],[0.61340198 0.91390348]
[2.43463906 2.51543248],[ 0.97812284 -0.3867479 ],[0.85216385 6.53024795],[ 0.80457513 -1.03851959],[5.24087425 2.12403338],[-0.89012749  0.89266801],[4.64131582 5.98661342],[-0.87088502 -0.87104322],[1.11072502 5.12059135],[1.10549543 0.43331339],[1.5492181  2.28646451],[0.18423618 1.17758464],[5.10071094 3.04286316],[-1.10388962  0.50262304],[1.97235627 5.28832011],[-0.23378049 -1.0765807 ],[7.10326621 5.15914118],[-1.12324494 -0.69935041],[4.24090704 2.61356712],[0.57630948 0.92734401]
[2.53329943 2.47908215],[ 0.99479905 -0.34001752],[0.93282793 6.42700819],[ 0.80756796 -1.02729944],[5.15218085 2.21306272],[-0.8831966   0.88844437],[4.55489734 5.89931625],[-0.85699605 -0.87423183],[1.22174896 5.16160703],[1.11529822 0.38790506],[1.5693259  2.40370232],[0.2183807  1.16786199],[4.99088695 3.09327945],[-1.09276243  0.50552991],[1.95110824 5.18039338],[-0.19061033 -1.08092334],[6.99043479 5.09029237],[-1.13245565 -0.67725539],[4.29671027 2.70695745],[0.54252248 0.94298806]
[2.63314498 2.44704476],[ 1.00594605 -0.29650927],[1.01381133 6.32494363],[ 0.81382464 -1.01221863],[5.06438391 2.30186427],[-0.87239289  0.88791741],[4.47018301 5.81206185],[-0.83884102 -0.87225098],[1.33379845 5.19828923],[1.12274482 0.3433875 ],[1.59286699 2.52000427],[0.2529108  1.15869808],[4.88214982 3.14395531],[-1.08282275  0.50709644],[1.93398361 5.07197502],[-0.15130138 -1.08631323],[6.87708281 5.02393297],[-1.13517553 -0.65093266],[4.34972397 2.8024022 ],[0.51706767 0.9648006 ]
[2.73406762 2.41944656],[ 1.01156203 -0.25615923],[1.09536255 6.22434319],[ 0.81797454 -0.99895166],[4.97772521 2.39066166],[-0.86134478  0.88744804],[4.3867933  5.72455693],[-0.82792226 -0.87666065],[1.44625607 5.23029616],[1.12905711 0.29989736],[1.61999573 2.63550949],[0.28744153 1.14916514],[4.77425697 3.19460947],[-1.07272726  0.50823711],[1.92103731 4.96340099],[-0.10660689 -1.08389322],[6.76341166 4.96005584],[-1.13502881 -0.62365696],[4.39975526 2.8994839 ],[0.48207567 0.97511873]
[2.83537572 2.39577389],[ 1.01569047 -0.2159405 ],[1.17728553 6.12504469],[ 0.81988456 -0.98756336],[4.89204249 2.47927443],[-0.85123066  0.88586525],[4.30466527 5.63682081],[-0.81519155 -0.87847998],[1.55934221 5.25809213],[1.13463796 0.25865321],[1.65059591 2.75007351],[0.32289855 1.14040496],[4.66731049 3.24529399],[-1.06232555  0.50933657],[1.91224234 4.85485736],[-0.06529697 -1.0825107 ],[6.64958989 4.89866511],[-1.13948753 -0.60259553],[4.44639581 2.9976369 ],[0.44808178 0.98501533]
[2.9377061  2.37686116],[ 1.0280555  -0.16459232],[1.25953087 6.02703139],[ 0.82163886 -0.97601165],[4.80730752 2.56765615],[-0.84272587  0.88249875],[4.2236915  5.54882106],[-0.80231529 -0.87941309],[1.6729417  5.28187621],[1.137933   0.21816078],[1.68418725 2.86322773],[0.34826253 1.12236354],[4.56166709 3.29636051],[-1.04965753  0.51292438],[1.90763718 4.74661248],[-0.02559315 -1.08066991],[6.53530754 4.83926038],[-1.14433222 -0.58411795],[4.48960711 3.09668112],[0.41302819 0.99251902]
