[2.93795849 4.31802001],[ 0.86730768 -0.78936613],[4.42674247 4.44906804],[0.45695766 0.94307316],[4.25541785 1.28662696],[0.73673215 1.01966731],[1.78146972 4.61525194],[1.22145725 0.33577652],[6.71731889 3.35914024],[0.60382356 0.68506162],[6.08273456 6.07346364],[-0.93003869  0.42771789],[7.67773823 3.83515745],[-1.16708561  0.47951709],[5.70577105 2.97679786],[ 0.23689801 -0.82920731],[5.16126199 5.32159594],[-0.87144674 -0.71839719],[4.62063371 6.07338989],[ 0.61244649 -1.02618631]
[3.02555032 4.24046684],[ 0.88643902 -0.75956121],[4.47316949 4.54293872],[0.47104973 0.93361911],[4.3278428  1.38930022],[0.71023295 1.03171499],[1.90409471 4.64764344],[1.22760377 0.30931947],[6.7760994  3.42943826],[0.57186688 0.72096439],[5.9884165  6.11364578],[-0.95335091  0.37825431],[7.56082358 3.8819276 ],[-1.17006238  0.45688185],[5.72896763 2.89454442],[ 0.22249203 -0.82029076],[5.07526675 5.24962026],[-0.84956493 -0.72212331],[4.68074461 5.97045937],[ 0.5897876  -1.03230352]
[3.11487401 4.16577856],[ 0.9006062 -0.7334636],[4.52089973 4.63570902],[0.48259129 0.9207573 ],[4.39771851 1.49313631],[0.68934192 1.04653282],[2.02716659 4.67739476],[1.23177969 0.28425552],[6.83137863 3.50303483],[0.53231818 0.74956124],[5.89202082 6.14894444],[-0.97599105  0.32560951],[7.44372644 3.92651417],[-1.17230128  0.43432166],[5.75078318 2.8132809 ],[ 0.21459797 -0.80422562],[4.99135296 5.17718527],[-0.83134233 -0.7291429 ],[4.73878282 5.86713636],[ 0.57255642 -1.03259454]
[3.20592205 4.09407121],[ 0.91825952 -0.70257225],[4.56952887 4.72691931],[0.49102005 0.90446054],[4.46554717 1.59833895],[0.66983256 1.05959588],[2.15024675 4.70436154],[1.22761261 0.25310764],[6.88254055 3.57934447],[0.49224479 0.77791354],[5.79368967 6.17910424],[-0.99114813  0.27655621],[7.32671779 3.96914279],[-1.16841312  0.41779973],[5.77152423 2.73334779],[ 0.20039111 -0.79414159],[4.90929119 5.10408803],[-0.81106434 -0.73389639],[4.79556511 5.76422675],[ 0.56214417 -1.02668999]
[3.29861383 4.02539526],[ 0.93436914 -0.67193073],[4.61904817 4.81653198],[0.50043695 0.8888081 ],[4.53100894 1.70429765],[0.63892355 1.05886289],[2.27317868 4.72856589],[1.22729517 0.22773587],[6.92968333 3.65847884],[0.45278504 0.80679232],[5.69405298 6.20440947],[-1.00196826  0.22872357],[7.21016259 4.0102032 ],[-1.16004624  0.40635152],[5.79108263 2.65469138],[ 0.19031249 -0.77940574],[4.82939544 5.03066657],[-0.78937895 -0.73700951],[4.85093945 5.66152529],[ 0.54522085 -1.02740329]
[3.39241974 3.95933722],[ 0.94359443 -0.64726458],[4.66932808 4.90438436],[0.50709174 0.87014719],[4.59376642 1.81049068],[0.61547604 1.06392493],[2.3960259  4.75029247],[1.22732829 0.20493081],[6.97291215 3.74050434],[0.41245192 0.83422886],[5.59331491 6.22476105],[-1.0133611   0.17724242],[7.09468622 4.05045415],[-1.15109635  0.39720669],[5.80936499 2.57727276],[ 0.17885911 -0.76535343],[4.75130793 4.95657898],[-0.77150929 -0.74383855],[4.90480144 5.55893982],[ 0.53178773 -1.0245248 ]
[3.48737407 3.89602024],[ 0.95538244 -0.61902026],[4.72059132 4.99066669],[0.51745121 0.85467855],[4.65419691 1.91711764],[0.59523858 1.07025107],[2.51854259 4.76949295],[1.22240762 0.17876569],[7.01152051 3.82466796],[0.36328207 0.85255331],[5.49149814 6.23985064],[-1.02101949  0.12610392],[6.97983486 4.08954547],[-1.1464663   0.38411107],[5.82675379 2.50152786],[ 0.16716737 -0.75119933],[4.67515914 4.8819645 ],[-0.74958149 -0.74653207],[4.95726575 5.45659061],[ 0.51953213 -1.0204667 ]
[3.58385692 3.83594278],[ 0.97418565 -0.58228239],[4.77283385 5.07531856],[0.52751825 0.83839396],[4.71279721 2.02444775],[0.5781444 1.0773174],[2.64023777 4.7857757 ],[1.21450932 0.14988202],[7.04577919 3.91119291],[0.32146681 0.87723094],[5.38898863 6.24976086],[-1.02859429  0.07203713],[6.86548665 4.12737219],[-1.14178424  0.37103678],[5.84296519 2.42722684],[ 0.15498036 -0.73679895],[4.60101642 4.80689607],[-0.73072485 -0.75226435],[5.00863777 5.35476132],[ 0.50546004 -1.01853366]
[3.68195659 3.77936416],[ 0.9856755 -0.5512417],[4.82579764 5.15803777],[0.53543746 0.81962158],[4.76930194 2.13200552],[0.55550704 1.07715534],[2.76133888 4.79940149],[1.2103617  0.12578109],[7.07530917 3.99958883],[0.27216336 0.89349767],[5.28611965 6.25451093],[-1.02845481  0.02297762],[6.751503   4.16376805],[-1.13830545  0.35636557],[5.8577603  2.35421764],[ 0.14032914 -0.72381872],[4.52863334 4.73112889],[-0.71447123 -0.76058445],[5.05848669 5.2530307 ],[ 0.49175796 -1.01581963]
[3.78048666 3.72518974],[ 0.98698071 -0.53014617],[4.87937587 5.23868178],[0.53645842 0.79361454],[4.82376584 2.23969188],[0.53344829 1.07602608],[2.88218026 4.81088461],[1.20552057 0.10306917],[7.10007405 4.08971543],[0.22405654 0.90966412],[5.18333813 6.25431715],[-1.02636743 -0.02630759],[6.63794459 4.19875841],[-1.13418565  0.34205014],[5.87103096 2.28250488],[ 0.12317534 -0.71215021],[4.45784728 4.65450262],[-0.69958374 -0.77023732],[5.10715166 5.15176021],[ 0.4842987 -1.0069747]
