[1.01472531 2.92295678],[3.31733621 4.45997942],[5.1946151  7.49854447],[4.38816143 3.72606525],[8.61310337 3.28205537],[ 3.57117023 -0.91893295],[2.11905001 0.18511143],[4.72514966 0.01155988],[9.73378549 8.75994939],[ 0.77237662 -4.94982381],[0.44013303 2.53463443],[-1.95814408  2.6096809 ],[1.90586656 2.07059405],[4.26661693 1.46817922],[7.38692549 8.77811961],[1.46847092 3.82697473],[9.58401556 6.57337956],[3.43280693 1.0710327 ],[9.86255863 8.37550144],[3.01390997 1.94773018]
[5.44325315 5.59593146],[1.14986694 0.34702901],[8.62567209 6.76790766],[ 0.36163307 -1.00008582],[9.39346232 5.51238404],[-0.8176174   0.85700031],[6.0014509  3.52696594],[0.65765344 1.07077303],[7.35066954 4.96969196],[-0.91863499 -0.46994903],[3.48415316 5.57974616],[1.29765559 0.25063752],[6.21589457 4.88258205],[0.89269423 0.75470717],[7.75965173 8.01427657],[-0.17479013 -1.21713622],[9.04114955 6.24939825],[-1.1479634  -0.36480853],[9.19191294 6.96841651],[-0.94854407 -0.79017683]
[5.55790849 5.63008445],[1.14453828 0.33739221],[8.65993071 6.6674345 ],[ 0.32134572 -1.01134231],[9.3106303  5.59665376],[-0.83612718  0.83098291],[6.06686569 3.63377788],[0.65432294 1.0690295 ],[7.25901652 4.92393076],[-0.91422055 -0.44505767],[3.61364081 5.60402286],[1.29543246 0.23852294],[6.3048263  4.95782599],[0.88659005 0.75078307],[7.74223276 7.89314583],[-0.17494248 -1.20695519],[8.92662315 6.21309583],[-1.14617909 -0.36510659],[9.09723305 6.89012125],[-0.94456693 -0.77537153]
[5.67210475 5.6633798 ],[1.13823619 0.3274381 ],[8.69056584 6.56632036],[ 0.29085527 -1.01146231],[9.22626265 5.6785472 ],[-0.85126889  0.80658393],[6.13197984 3.7403947 ],[0.64426841 1.05958395],[7.16790021 4.88076477],[-0.91043032 -0.42070603],[3.74310622 5.62740625],[1.29449719 0.23024987],[6.39353916 5.03306766],[0.88388241 0.75024868],[7.72422755 7.77248859],[-0.18445069 -1.20525979],[8.81252226 6.17693841],[-1.13735436 -0.35957059],[9.00304161 6.81336716],[-0.94077146 -0.76134576]
[5.78551959 5.69552769],[1.13109212 0.31656274],[8.71771132 6.46479347],[ 0.25148086 -1.01928597],[9.14030673 5.75784874],[-0.86827524  0.77878716],[6.19577714 3.84577779],[0.63339891 1.04982885],[7.07707633 4.83993111],[-0.90761259 -0.39754146],[3.8720413  5.64959226],[1.28825763 0.21757448],[6.48157896 5.10784383],[0.87983786 0.74818492],[7.70546989 7.65225724],[-0.19181104 -1.20040164],[8.6990574  6.14105038],[-1.12913023 -0.35535055],[8.90898669 6.73773473],[-0.94032686 -0.75142951]
[5.89876201 5.72718888],[1.13071029 0.31384389],[8.74073081 6.36241386],[ 0.21067634 -1.02631249],[9.05262219 5.83426853],[-0.88125296  0.75357691],[6.25862987 3.95032739],[0.62394962 1.04143435],[6.9862137  4.80107248],[-0.91160729 -0.38185787],[4.00037377 5.67057625],[1.27871612 0.2022909 ],[6.5689086  5.18210082],[0.86854758 0.73868771],[7.68605491 7.53263201],[-0.19393445 -1.18978352],[8.58648564 6.10564966],[-1.11994687 -0.35030067],[8.81535198 6.66344148],[-0.93495776 -0.73712983]
[6.01134728 5.75798347],[1.1232138 0.3043017],[8.75978594 6.25953613],[ 0.17194999 -1.02948279],[8.9635676 5.9080331],[-0.89665061  0.72468001],[6.3206177  4.05411171],[0.61525107 1.03363947],[6.89522042 4.76400475],[-0.91129017 -0.36271293],[4.12790947 5.69018213],[1.2715174  0.18946012],[6.65550082 5.25578874],[0.86123308 0.7329867 ],[7.66658468 7.41416394],[-0.19609753 -1.18016942],[8.4748153  6.07073251],[-1.11288608 -0.34749679],[8.72172566 6.590014  ],[-0.93790565 -0.73192517]
[6.12310689 5.78774688],[1.11397929 0.2929494 ],[8.77495695 6.15639973],[ 0.12854132 -1.03578112],[8.87344679 5.97932538],[-0.90506432  0.701739  ],[6.38203783 4.15739906],[0.61359121 1.03236616],[6.80436107 4.72891736],[-0.90500286 -0.33813568],[4.25473829 5.70853403],[1.26606556 0.17881363],[6.74134662 5.32888256],[0.85730756 0.73051128],[7.64694438 7.29668671],[-0.19760065 -1.17033272],[8.36400429 6.03623992],[-1.10557766 -0.34467788],[8.62821188 6.51747398],[-0.93136925 -0.71792019]
[6.23437543 5.81682879],[1.11486625 0.29245096],[8.78583923 6.05279955],[ 0.08641353 -1.038553  ],[8.78242743 6.04822158],[-0.91763367  0.67372002],[6.44320194 4.2604189 ],[0.60710226 1.02543181],[6.71415709 4.69631875],[-0.89647891 -0.31114265],[4.38089765 5.72574289],[1.25612941 0.16426855],[6.8268453  5.40177614],[0.85063623 0.72530438],[7.62694082 7.17998661],[-0.2012075  -1.16241821],[8.25365421 6.00170153],[-1.09850088 -0.34321943],[8.53528099 6.44624998],[-0.92921057 -0.70862559]
[6.34505359 5.84523869],[1.10003682 0.27679078],[8.79221441 5.94876638],[ 0.04813131 -1.03501831],[8.69005574 6.11415964],[-0.93006675  0.64459269],[6.50345996 4.36249418],[0.59957854 1.01756514],[6.62474175 4.66638102],[-0.89265989 -0.28847444],[4.50626547 5.74168958],[1.25389901 0.15767217],[6.91115703 5.47361503],[0.83799025 0.7138215 ],[7.60672735 7.06422264],[-0.20331126 -1.15319454],[8.14457942 5.96790239],[-1.08681229 -0.33651082],[8.44249548 6.37585248],[-0.92508708 -0.69798637]
[6.45415892 5.87191011],[1.08425796 0.25852583],[8.79495594 5.84530599],[ 0.0100763  -1.03065352],[8.59654961 6.17723714],[-0.93829826  0.61858085],[6.56325821 4.46405462],[0.59698305 1.01414765],[6.5357661  4.63875955],[-0.88536979 -0.26246465],[4.63105166 5.75669   ],[1.24335203 0.14367781],[6.99429386 5.54438128],[0.82884528 0.70556836],[7.58657573 6.94961552],[-0.20226882 -1.14153337],[8.03623547 5.93431816],[-1.07774915 -0.33297386],[8.34988046 6.30625116],[-0.92660524 -0.69357631]
