[5.06792042 8.14575038],[-1.12270141 -4.06789974],[2.45271893 4.719974  ],[0.5169978  4.41759902],[2.18021442 6.49028597],[ 3.7759439  -1.05813262],[3.75623916 0.30897493],[3.06562132 0.19433446],[8.06733921 5.4001233 ],[-0.11104407  4.39766027],[8.61734526 3.33119452],[-4.39517649 -2.03457717],[8.74732991 9.62090347],[-0.34417122 -4.75046409],[0.2309229  0.75553173],[0.51289128 4.16508387],[0.29915851 9.5471252 ],[-1.91795299 -2.76464632],[5.9687798  6.13141238],[-3.34946613  4.68677082]
[4.07962539 4.10946505],[-0.18776499 -0.82283307],[4.86976344 7.49047846],[ 0.94969852 -0.01558709],[6.03533683 5.1181426 ],[ 0.72810095 -0.36629481],[5.58035278 3.99260295],[-0.22584878  1.17991857],[4.94321382 7.28923398],[-1.06813351 -0.37637682],[4.40035807 4.43166018],[-0.75997985  0.8309981 ],[5.88622168 5.87693043],[-1.02153003 -0.59185813],[2.97460133 4.77722911],[0.89900218 0.76679403],[2.26929649 5.85762883],[ 1.0826284  -0.54597002],[2.74380708 7.22668045],[-0.70218794 -0.65613869]
[4.06120939 4.02813234],[-0.18160115 -0.80485759],[4.96467645 7.48668929],[ 0.95275306 -0.05552854],[6.10693717 5.08115856],[ 0.70924217 -0.36799319],[5.55707155 4.11026956],[-0.24025535  1.17252953],[4.83728625 7.25012828],[-1.05147717 -0.40667772],[4.32533482 4.51509667],[-0.73894596  0.83913997],[5.78395606 5.81832185],[-1.02233222 -0.57903852],[3.06481414 4.85379091],[0.90097886 0.76026112],[2.37782088 5.80420482],[ 1.08571854 -0.52461346],[2.67520357 7.15862711],[-0.66870556 -0.70377909]
[4.04305986 3.94825632],[-0.18428255 -0.79542346],[5.05964277 7.47879374],[ 0.94452112 -0.10414625],[6.17707503 5.04446343],[ 0.69200268 -0.36731292],[5.53172009 4.226516  ],[-0.2648888   1.15426246],[4.73315409 7.20814257],[-1.02978806 -0.4314859 ],[4.25279673 4.5996822 ],[-0.71166302  0.85254884],[5.68196687 5.76131233],[-1.01612419 -0.55985009],[3.15470747 4.92919777],[0.89643113 0.747447  ],[2.48637439 5.75264196],[ 1.08497351 -0.5070467 ],[2.61015501 7.08599146],[-0.6327889  -0.74940589]
[4.02456851 3.86930312],[-0.18484246 -0.78286789],[5.15378236 7.46610632],[ 0.939592   -0.14795468],[6.24507465 5.00744347],[ 0.66937192 -0.37167973],[5.50438951 4.34138097],[-0.28391681  1.14073032],[4.6310955  7.16362386],[-1.01093047 -0.45835212],[4.1826604  4.68523269],[-0.69452716  0.85489996],[5.58061942 5.70624088],[-1.01340913 -0.54429475],[3.243992  5.0031711],[0.89091694 0.73372072],[2.59476831 5.70274223],[ 1.08261488 -0.49127765],[2.5491431  7.00923218],[-0.58974791 -0.78799153]
[4.00615345 3.79176159],[-0.1845702  -0.76901533],[5.24721997 7.44893717],[ 0.92960668 -0.19461067],[6.31107436 4.97027299],[ 0.65055881 -0.37170328],[5.47529391 4.45497215],[-0.30063613  1.12831895],[4.53058433 7.11607158],[-0.99736395 -0.49077157],[4.11406715 4.77082257],[-0.67591552  0.8582219 ],[5.4792996  5.65242926],[-1.01057281 -0.52968499],[3.33290938 5.07596306],[0.8881584  0.72287307],[2.70326829 5.65477578],[ 1.08440946 -0.47096035],[2.49246731 6.92865588],[-0.54384621 -0.82348264]
[3.98767151 3.71554426],[-0.18106065 -0.75131178],[5.33962529 7.4271714 ],[ 0.91924451 -0.23952293],[6.37512603 4.93306427],[ 0.63144013 -0.37139492],[5.44440911 4.56716752],[-0.31609321  1.11623187],[4.43176752 7.06560425],[-0.97847972 -0.51799746],[4.04717836 4.85655733],[-0.66307236  0.85520871],[5.37821106 5.59998718],[-1.01043732 -0.51859751],[3.42163758 5.14776646],[0.88397144 0.71077248],[2.81205504 5.60898223],[ 1.08666876 -0.44943839],[2.44072574 6.84488618],[-0.49249544 -0.85329541]
[3.96938129 3.64095029],[-0.18380302 -0.73952896],[5.43075766 7.40079134],[ 0.90225052 -0.28885578],[6.43724295 4.8959008 ],[ 0.60812707 -0.37456011],[5.41179121 4.67791768],[-0.33198326  1.10284366],[4.33482582 7.01240356],[-0.96073481 -0.54630666],[3.98179557 4.94219216],[-0.64358372  0.85837877],[5.27733969 5.54881266],[-1.0092425  -0.50734628],[3.50992775 5.21834087],[0.88180424 0.70069203],[2.92051843 5.56478467],[ 1.08320828 -0.43404194],[2.39398817 6.75802633],[-0.44305333 -0.88443669]
[3.95117593 3.56791909],[-0.17998388 -0.72072338],[5.51999771 7.36937488],[ 0.8824051  -0.33923363],[6.4966862  4.85810181],[ 0.58378585 -0.37827733],[5.37797822 4.78763947],[-0.34181004  1.09374074],[4.2397341  6.95644469],[-0.94156043 -0.57323757],[3.91839377 5.02814004],[-0.62323811  0.86167225],[5.17654198 5.49865977],[-1.00642287 -0.49564462],[3.59804844 5.28795987],[0.87780532 0.68889396],[3.02869588 5.52217501],[ 1.07986478 -0.41869928],[2.35209376 6.66801136],[-0.39361661 -0.91433018]
[3.93341296 3.49683457],[-0.17512762 -0.70074122],[5.60699056 7.33275269],[ 0.85956218 -0.39066365],[6.55396601 4.82024063],[ 0.5633037  -0.37731521],[5.34333712 4.89650091],[-0.35200432  1.08229241],[4.14681757 6.89806155],[-0.91741133 -0.59494518],[3.85731263 5.11465786],[-0.59868299  0.8682378 ],[5.07626462 5.44987747],[-0.99985141 -0.4807419 ],[3.68563945 5.35626334],[0.8745602  0.67771434],[3.13665457 5.48121073],[ 1.07907579 -0.40074688],[2.31526088 6.57519736],[-0.34452758 -0.94302711]
[3.91604639 3.42767005],[-0.17381705 -0.68406492],[5.69173486 7.29115167],[ 0.83539882 -0.44085191],[6.60899014 4.78231439],[ 0.53606912 -0.38221317],[5.3075979  5.00408138],[-0.36614404  1.0659186 ],[4.05620746 6.83741443],[-0.89384709 -0.61696   ],[3.79846621 5.20156502],[-0.57939374  0.86870766],[4.97656566 5.40248692],[-0.99454083 -0.46760264],[3.77297371 5.42351396],[0.87352537 0.66873495],[3.24447579 5.44199767],[ 1.07897228 -0.38185208],[2.28341505 6.47970319],[-0.29188996 -0.96598502]
[3.89878982 3.36018132],[-0.16964603 -0.66399094],[5.77363202 7.2442258 ],[ 0.80559247 -0.49413719],[6.66139619 4.74404712],[ 0.51145176 -0.38359431],[5.27014853 5.10974083],[-0.37921008  1.05082971],[3.96835694 6.77499204],[-0.86517612 -0.63335363],[3.74151495 5.2884591 ],[-0.56070559  0.86799804],[4.87766469 5.35665951],[-0.98297436 -0.44841871],[3.86000301 5.4896677 ],[0.86558001 0.6527697 ],[3.35224407 5.40465814],[ 1.07675686 -0.36461342],[2.25670802 6.38189971],[-0.24295882 -0.99016198]
