[8.84024801 7.6767796 ],[-1.25788438 -0.00163552],[2.46795586 6.46005646],[ 1.09826628 -0.67316342],[8.96493453 5.79403704],[-0.77047082 -0.86951677],[4.85237433 5.71084029],[1.06889246 0.42830291],[7.81170353 3.33939821],[0.02237739 1.23005517],[4.70224293 7.48016798],[ 1.13460531 -0.00994709],[3.3193464  4.74402615],[ 0.73529739 -0.74898104],[4.80086308 4.28491011],[-0.5750428  0.9344202],[6.00695502 4.44989193],[-0.96988278 -0.21418483],[7.01678249 8.99997568],[-1.06801265 -0.48708128]
[8.71449072 7.67445114],[-1.25678167 -0.04444501],[2.57838564 6.39423171],[ 1.11083435 -0.64270798],[8.88536912 5.70868689],[-0.81775254 -0.83493515],[4.9586418  5.75302597],[1.05716205 0.416016  ],[7.81146112 3.4623518 ],[-0.02634894  1.22895201],[4.81548851 7.47719918],[ 1.13170885 -0.04749438],[3.39551866 4.67089735],[ 0.78685247 -0.71355205],[4.74537361 4.37944613],[-0.536671    0.95395077],[5.90955149 4.43004128],[-0.9768064  -0.18181796],[6.91036165 8.94805682],[-1.05575204 -0.54659686]
[8.58906422 7.66806519],[-1.2507965  -0.08223745],[2.68984509 6.33127085],[ 1.11783958 -0.61703783],[8.8015007  5.62707998],[-0.86194359 -0.8001068 ],[5.06388921 5.79411554],[1.04676854 0.40476425],[7.80641571 3.58501395],[-0.07665953  1.22145069],[4.92854    7.47076224],[ 1.12712614 -0.08294614],[3.47633692 4.60118618],[ 0.83099982 -0.6779755 ],[4.69356719 4.47567092],[-0.49806977  0.97151036],[5.81193001 4.41382786],[-0.97428035 -0.1411777 ],[6.80567694 8.8907091 ],[-1.03278517 -0.59484177]
[8.46427562 7.65797874],[-1.24722119 -0.12167883],[2.80203416 6.27092663],[ 1.12531563 -0.59047316],[8.71346963 5.54905827],[-0.89933596 -0.76159457],[5.16854042 5.83453624],[1.04451512 0.40216486],[7.79656046 3.70696186],[-0.11759616  1.21940744],[5.0407335  7.46049979],[ 1.12032547 -0.11829362],[3.56191202 4.53573465],[ 0.87737126 -0.63301766],[4.64575922 4.57366413],[-0.45923475  0.98691196],[5.71430205 4.40137835],[-0.97692185 -0.10675865],[6.70349567 8.828838  ],[-1.00986585 -0.64128054]
[8.33981539 7.64389822],[-1.24286496 -0.16081629],[2.91494201 6.21323452],[ 1.13345228 -0.56269784],[8.62184815 5.47487364],[-0.93226652 -0.72186942],[5.27257347 5.87434208],[1.03505998 0.39287006],[7.78281251 3.82864325],[-0.15331927  1.21711828],[5.15238171 7.44699786],[ 1.11341806 -0.15044862],[3.65175926 4.47474892],[ 0.91673616 -0.58850124],[4.6016408  4.67291125],[-0.42388989  0.99703063],[5.6165439  4.39242408],[-0.97705508 -0.07140999],[6.60391528 8.76272843],[-0.98427694 -0.68306709]
[8.21587956 7.62598305],[-1.23696284 -0.19850706],[3.02852493 6.15821154],[ 1.13939364 -0.53653848],[8.52708223 5.40464854],[-0.96463885 -0.68487858],[5.37563022 5.91318259],[1.02464494 0.38247855],[7.76533642 3.94967902],[-0.19769174  1.20180939],[5.26305195 7.43011711],[ 1.10395862 -0.18277749],[3.7454466 4.4184242],[ 0.95265598 -0.54139999],[4.56146125 4.77348147],[-0.37968921  1.01391386],[5.51907158 4.38724625],[-0.97127046 -0.03122883],[6.50656025 8.6921879 ],[-0.96043939 -0.72490972]
[8.09261799 7.60438047],[-1.22638148 -0.23137901],[3.14242941 6.10554482],[ 1.13911963 -0.51657481],[8.42958631 5.33846393],[-0.98857867 -0.64266211],[5.477735   5.95106843],[1.01584541 0.3736306 ],[7.74366307 4.06931662],[-0.23535972  1.19080598],[5.37269144 7.41005077],[ 1.0876634  -0.21954652],[3.84244738 4.36679992],[ 0.98775473 -0.48975588],[4.52532081 4.87524749],[-0.34145715  1.02280418],[5.42209856 4.38596534],[-0.96794353  0.00552205],[6.41172556 8.61770857],[-0.93558453 -0.76357074]
[7.9706118  7.57976692],[-1.21495411 -0.26178508],[3.25637413 6.05491612],[ 1.14085138 -0.49487868],[8.32959038 5.27623293],[-1.01210938 -0.60331199],[5.57875193 5.98785139],[1.00619062 0.36363677],[7.71807852 4.18757461],[-0.27427349  1.17589108],[5.48090742 7.38658383],[ 1.07402754 -0.25200051],[3.94262646 4.32027783],[ 1.01358385 -0.44220222],[4.49319162 4.97799788],[-0.30111365  1.03192539],[5.32538883 4.38820193],[-0.96493855  0.04023104],[6.31934871 8.53944876],[-0.91117828 -0.80039294]
[7.85006596 7.55252557],[-1.19869358 -0.28541327],[3.37078462 6.0067866 ],[ 1.145491   -0.46954646],[8.22724174 5.21776996],[-1.03484412 -0.56660676],[5.67902935 6.02387211],[0.99986362 0.35731617],[7.68916695 4.30474708],[-0.30027468  1.17036883],[5.58765341 7.35985245],[ 1.06284121 -0.28026531],[4.04501607 4.2783329 ],[ 1.03536822 -0.39490951],[4.46485156 5.08133869],[-0.26361524  1.03684601],[5.22928623 4.39414549],[-0.95779021  0.07770378],[6.22975971 8.45797927],[-0.88329139 -0.8311819 ]
[7.73063038 7.52245931],[-1.1890148  -0.31483713],[3.48501948 5.96053843],[ 1.14106332 -0.45379856],[8.12303092 5.16322609],[-1.05062346 -0.52601678],[5.77881043 6.05943292],[0.99414121 0.35240417],[7.65750854 4.42101034],[-0.33089764  1.15643555],[5.69336662 7.33051766],[ 1.0511554  -0.30628235],[4.14957664 4.2413039 ],[ 1.0570329  -0.34385932],[4.44010286 5.1849601 ],[-0.23074247  1.03613567],[5.13376923 4.40362914],[-0.9533271   0.11077718],[6.14322564 8.37382888],[-0.85129883 -0.85524528]
