[7.18837149 2.88773093],[-0.45728018  1.05656923],[2.51225306 4.95946554],[0.81798935 0.75933653],[2.10388826 6.10375124],[0.88393792 0.57099663],[4.48224856 4.63520882],[ 0.46027863 -0.93690331],[2.30536973 4.13923328],[-0.50145191  0.76616127],[5.1769659  4.64048139],[-1.11361626  0.23308699],[6.20068805 3.85228641],[-0.03653941  1.08109832],[2.40410404 1.87360393],[-0.62633366  0.56946901],[5.51377057 7.62352239],[-0.02715067 -1.28367928],[3.23881591 5.54980552],[-0.91979715  0.05125211]
[7.13984922 2.99387891],[-0.51041231  1.06635108],[2.59485028 5.03388855],[0.83094673 0.7265234 ],[2.19410988 6.15854131],[0.91857071 0.5235178 ],[4.52746058 4.54179594],[ 0.44466279 -0.9305232 ],[2.25699554 4.21695671],[-0.46583717  0.78814566],[5.06590842 4.66342789],[-1.10718796  0.22631306],[6.19422604 3.96018109],[-0.09293645  1.07611628],[2.34277613 1.93471832],[-0.59917437  0.6523315 ],[5.50943115 7.4955977 ],[-0.05884575 -1.27425299],[3.14702001 5.5535825 ],[-0.91170651  0.02865784]
[7.08604401 3.10028394],[-0.5659341   1.05938329],[2.67874535 5.10513853],[0.84670975 0.69863352],[2.28771314 6.20867929],[0.94986131 0.47628953],[4.57104015 4.44898821],[ 0.42635295 -0.92597615],[2.21244613 4.2970227 ],[-0.42431515  0.81359027],[4.95544663 4.68567186],[-1.10311528  0.21750302],[6.18241492 4.06773666],[-0.14096546  1.07655346],[2.28454098 2.00402494],[-0.5638169   0.73373189],[5.5017909  7.36844344],[-0.09610143 -1.27072174],[3.05607049 5.5551296 ],[-0.90553411  0.00396468]
[7.02710923 3.20583393],[-0.61295659  1.04964762],[2.76410732 5.17359827],[0.85970967 0.67012613],[2.38435612 6.25419317],[0.98242192 0.43431306],[4.61288129 4.35677612],[ 0.40870401 -0.91986066],[2.17187039 4.37932561],[-0.3873807   0.83188402],[4.84548156 4.70712271],[-1.09753055  0.21025938],[6.16601506 4.17532852],[-0.18464251  1.07692489],[2.23002625 2.0811198 ],[-0.52463871  0.80809115],[5.49082226 7.24206301],[-0.12510263 -1.25898348],[2.96611801 5.55457927],[-0.89421166 -0.0156418 ]
[6.96347886 3.30994286],[-0.65817875  1.03258973],[2.85062213 5.23915959],[0.87329476 0.6441954 ],[2.48360697 6.295078  ],[1.00394083 0.38543442],[4.65306027 4.265322  ],[ 0.39578374 -0.90826765],[2.13524886 4.46359423],[-0.34462555  0.85348393],[4.73617427 4.72796577],[-1.08874039  0.20660085],[6.14500545 4.28250807],[-0.23517149  1.06655224],[2.17990073 2.16554523],[-0.47582916  0.88043485],[5.47703395 7.11688148],[-0.15252208 -1.24674523],[2.87720305 5.55196816],[-0.88283272 -0.0353184 ]
[6.89571847 3.41234675],[-0.69866338  1.01273014],[2.93860401 5.30234761],[0.88565032 0.61928247],[2.58513679 6.33141535],[1.02708789 0.3425762 ],[4.69188045 4.17498199],[ 0.38041271 -0.89875149],[2.10311406 4.5500808 ],[-0.30075636  0.87312735],[4.6276449  4.74837349],[-1.08131191  0.20215919],[6.11905212 4.38861357],[-0.28434016  1.05460904],[2.13470188 2.25665298],[-0.4286969  0.9393307],[5.46065292 6.99302113],[-0.17604356 -1.23175089],[2.78949925 5.54746465],[-0.86913398 -0.05266328]
[6.82459208 3.51312257],[-0.72552433  1.00010187],[3.02775142 5.36308057],[0.89859705 0.59707721],[2.68870696 6.36343105],[1.04307259 0.29728138],[4.72898058 4.08544869],[ 0.36437167 -0.88901428],[2.07523549 4.63826973],[-0.25505681  0.8918999 ],[4.51993396 4.76843664],[-1.07187159  0.20031552],[6.08826953 4.49346589],[-0.33100024  1.04211091],[2.09441311 2.35329975],[-0.37831914  0.99064905],[5.44186607 6.87054456],[-0.19942312 -1.21766109],[2.70317344 5.54124117],[-0.85680985 -0.07125761]
[6.75063781 3.61222207],[-0.75418206  0.98054408],[3.11804921 5.42156329],[0.90617854 0.57170398],[2.79362121 6.39086878],[1.05106776 0.24804751],[4.76480017 3.99722809],[ 0.34725228 -0.88002934],[2.05187724 4.72813508],[-0.21215218  0.9049336 ],[4.41342574 4.78863461],[-1.05974201  0.20247652],[6.0530781  4.59714486],[-0.37447582  1.02918517],[2.05921546 2.45463686],[-0.32509682  1.0350946 ],[5.42075902 6.74944558],[-0.22401764 -1.20556568],[2.61812257 5.53319173],[-0.84439983 -0.0899381 ]
[6.67378434 3.70913477],[-0.78416853  0.95586446],[3.20922338 5.47772494],[0.9155996  0.55020946],[2.89907189 6.41326411],[1.06092662 0.20358773],[4.79900674 3.91004887],[ 0.33269887 -0.86767812],[2.03317349 4.81951879],[-0.16345036  0.92073675],[4.30774814 4.80870283],[-1.05413186  0.19848845],[6.01344992 4.69927438],[-0.41894092  1.01206802],[2.0292105  2.55985508],[-0.27485874  1.06817467],[5.39700114 6.62938129],[-0.25169564 -1.19617199],[2.53443763 5.52338731],[-0.82974007 -0.10655683]
[6.5945293  3.80401368],[-0.80123774  0.94088433],[3.3014275  5.53193757],[0.92982133 0.53581867],[3.00569227 6.43162512],[1.0728299  0.16594972],[4.83156355 3.8239576 ],[ 0.32100963 -0.85161538],[2.01931732 4.91230199],[-0.11596358  0.93215345],[4.20254433 4.8282642 ],[-1.04910058  0.1934925 ],[5.9697355  4.79988386],[-0.45759324  0.99726493],[2.00456872 2.66834597],[-0.21997213  1.09860479],[5.37047012 6.51028443],[-0.28165831 -1.18836545],[2.45186396 5.51154108],[-0.82142586 -0.13019403]
