[6.67707781 3.95141861],[-0.11074396 -1.04454781],[3.70770055 2.79967108],[1.03373648 0.67579603],[2.59924864 4.0593356 ],[0.1532725  0.88774127],[5.73246517 5.515579  ],[-0.00367747 -1.18568763],[3.73599975 6.55601001],[0.93302192 0.16438427],[9.05916904 3.39203586],[-1.02009591  0.75930214],[7.16045685 2.33797804],[-1.10228782 -0.20530673],[8.7486748 4.8939428],[-0.79871599  0.63713207],[6.40271453 4.54524258],[-1.00591714  0.43469484],[1.50409471 2.60539779],[1.13068113 0.73426065]
[6.66458478 3.84761073],[-0.14123432 -1.03357008],[3.81054438 2.86696266],[1.02745083 0.6744578 ],[2.61857481 4.14902594],[0.23011825 0.90197401],[5.7320045  5.39773328],[-0.00646172 -1.1722822 ],[3.83165648 6.56916412],[0.97988158 0.09992467],[8.95583464 3.46632732],[-1.04617106  0.72622871],[7.04943068 2.31961343],[-1.11713634 -0.16179606],[8.66507244 4.95632472],[-0.87199886  0.60910184],[6.30208872 4.58771303],[-1.00737533  0.41391652],[1.61744358 2.67756447],[1.13699725 0.71037627]
[6.6492866  3.74518993],[-0.16629417 -1.01648398],[3.91295978 2.93437258],[1.02019999 0.67315176],[2.64563194 4.2398954 ],[0.30853167 0.91206636],[5.7310719  5.28102478],[-0.00873389 -1.15851103],[3.93171104 6.57602262],[1.01745739 0.03513576],[8.85028487 3.53751924],[-1.0652255   0.69673883],[6.93717843 2.30562805],[-1.12732096 -0.11815125],[8.57459156 5.01556278],[-0.93481115  0.57597971],[6.20135697 4.62812586],[-1.00921896  0.3923278 ],[1.73138931 2.7474705 ],[1.14196601 0.68834178]
[6.63074986 3.64380606],[-0.20044692 -1.006901  ],[4.01447992 3.00150196],[1.01240494 0.67172753],[2.68036712 4.33135602],[0.38581958 0.91613796],[5.73002482 5.16575861],[-0.01396748 -1.14858569],[4.03547257 6.57685549],[ 1.05307548 -0.02118369],[8.74285808 3.60565492],[-1.08156005  0.66738065],[6.82410412 2.29598117],[-1.13121845 -0.07241114],[8.47848647 5.07144626],[-0.98514779  0.54174441],[6.10047563 4.66638665],[-1.00917597  0.37203958],[1.846034   2.81554484],[1.14932255 0.67201241]
[6.60960211 3.54421522],[-0.22571934 -0.98809989],[4.11534582 3.06864835],[1.00319445 0.66958072],[2.72229377 4.42249545],[0.45289935 0.90652753],[5.72853293 5.05156847],[-0.01715997 -1.13644959],[4.14193977 6.57174288],[ 1.07335681 -0.08228023],[8.63359628 3.67054309],[-1.10414985  0.629461  ],[6.71093622 2.29106058],[-1.13125179 -0.02572248],[8.37754713 5.12350864],[-1.033749    0.49752999],[5.99954143 4.70253774],[-1.01149618  0.34888204],[1.96104992 2.8817613 ],[1.15228201 0.65401464]
[6.58562446 3.44624689],[-0.25107926 -0.96849141],[4.21546081 3.13577612],[0.99672806 0.6707408 ],[2.77083259 4.5124684 ],[0.51990025 0.89473676],[5.72648137 4.93837249],[-0.02380182 -1.12734973],[4.25002414 6.56060407],[ 1.08672561 -0.14048975],[8.52249064 3.73193259],[-1.11713464  0.59903191],[6.59806988 2.29098707],[-1.12655774  0.02326254],[8.27231282 5.17119432],[-1.07192713  0.45365663],[5.89854495 4.73650422],[-1.00852827  0.33040557],[2.07628949 2.94623097],[1.15014645 0.6333492 ]
[6.55922145 3.35036424],[-0.27870912 -0.95084501],[4.31452175 3.20263165],[0.98237616 0.66423936],[2.82621807 4.60131444],[0.58415837 0.87847518],[5.72388132 4.82621768],[-0.0294393 -1.1169233],[4.35896348 6.54363337],[ 1.09084499 -0.19872831],[8.41057685 3.79074006],[-1.12123687  0.5770582 ],[6.4858773  2.29591275],[-1.11926662  0.07282927],[8.16383451 5.21465466],[-1.09397741  0.41831906],[5.79819524 4.7689954 ],[-0.99946243  0.31855234],[2.19125294 3.00864658],[1.14977408 0.61591075]
[6.53005265 3.25628597],[-0.30840718 -0.93424103],[4.41228555 3.26897   ],[0.97435688 0.66403979],[2.88748845 4.68797506],[0.64223303 0.85582695],[5.72080458 4.71519724],[-0.0359513  -1.10724453],[4.46818898 6.52115084],[ 1.09032867 -0.25292279],[8.29820926 3.84731509],[-1.13076161  0.54963885],[6.37410018 2.30533323],[-1.11590769  0.11529683],[8.053366  5.2545573],[-1.11776627  0.37646675],[5.69864815 4.80022845],[-0.99026866  0.30743971],[2.30644855 3.0696997 ],[1.15378601 0.60523321]
[6.49754004 3.16358937],[-0.34035543 -0.91798961],[4.50914827 3.3352093 ],[0.96316525 0.66105392],[2.95423475 4.77206101],[0.69506795 0.82847641],[5.7170871  4.60518749],[-0.03955224 -1.09418338],[4.57693928 6.4931986 ],[ 1.0823895  -0.30711244],[8.18483838 3.90103368],[-1.13488868  0.5264823 ],[6.26303395 2.31921325],[-1.10371677  0.16372986],[7.94085918 5.2903648 ],[-1.13327702  0.33830772],[5.59970579 4.83005128],[-0.98992884  0.28756807],[2.42195772 3.1297267 ],[1.15542938 0.59471214]
[6.46193865 3.07269802],[-0.36996016 -0.89796507],[4.60495356 3.40122317],[0.95312522 0.65944709],[3.02656171 4.85375405],[0.74784935 0.80208285],[5.71297583 4.49644248],[-0.04562127 -1.08368688],[4.68502083 6.4603106 ],[ 1.07913099 -0.34937589],[8.07112411 3.9525087 ],[-1.14011254  0.50225931],[6.15293734 2.33756612],[-1.09688666  0.20413802],[7.82684627 5.32224156],[-1.14989394  0.29569951],[5.50105582 4.85811664],[-0.98695396  0.26977956],[2.53737057 3.18853292],[1.15276534 0.58160115]
