[4.34814804 6.51526796],[-0.10598325  0.86521623],[6.35813595 5.22210451],[-1.15625472  0.27313001],[5.47387798 6.48828249],[-0.75609448 -0.91248746],[5.18979391 1.93188302],[-0.57336039  1.15229957],[2.73288277 6.63050291],[ 0.51793489 -1.11255739],[2.67747812 4.73093484],[ 0.99283191 -0.61373508],[4.67163584 6.80299889],[ 1.02339593 -0.00605667],[2.88926314 4.26449687],[0.72404278 0.95130374],[5.7466588 6.8833091],[ 0.26679984 -1.13058344],[7.01160081 2.33766877],[-0.23796043  1.26262688]
[4.33769186 6.60097601],[-0.10103221  0.85101993],[6.2429729  5.24896262],[-1.14830357  0.26288706],[5.39890842 6.39731382],[-0.74307998 -0.90663078],[5.13349345 2.0471577 ],[-0.55301719  1.15289779],[2.7858841 6.5203081],[ 0.5426674  -1.09062327],[2.77750943 4.67127107],[ 1.00691738 -0.58024748],[4.77375987 6.80037684],[ 1.02012469 -0.04495782],[2.9624734  4.35883013],[0.73907401 0.93445681],[5.77151094 6.77004724],[ 0.22821792 -1.1364647 ],[6.98534243 2.46298447],[-0.28654526  1.2438374 ]
[4.32752084 6.68504307],[-0.09889297  0.83381657],[6.12888188 5.27512383],[-1.13690414  0.25722798],[5.32512693 6.3068297 ],[-0.73050768 -0.90097993],[5.07947942 2.16275056],[-0.52905199  1.15715217],[2.84120619 6.4121958 ],[ 0.56443015 -1.07078583],[2.87896598 4.6150447 ],[ 1.02346249 -0.54280579],[4.87527888 6.79369065],[ 1.00846543 -0.09035825],[3.03677915 4.45113037],[0.7489276  0.91365877],[5.79244771 6.65622359],[ 0.19073391 -1.13969469],[6.95482248 2.58683861],[-0.32524193  1.23121014]
[4.31791735 6.76771677],[-0.09177918  0.82093458],[6.01540344 5.3001947 ],[-1.13129476  0.24561594],[5.25274159 6.21705334],[-0.71856268 -0.89587362],[5.02798992 2.27887335],[-0.50270018  1.16321837],[2.89878916 6.30619465],[ 0.58446248 -1.05175795],[2.98166348 4.56221918],[ 1.03315963 -0.51089001],[4.97582256 6.7827183 ],[ 1.00249583 -0.12857957],[3.11207386 4.54140879],[0.75473163 0.88992568],[5.80993578 6.54240126],[ 0.15851055 -1.13727016],[6.9208179  2.70960346],[-0.34984958  1.22796322]
[4.30895566 6.84899255],[-0.08708394  0.80487093],[5.90247452 5.32407939],[-1.12601701  0.23330675],[5.18115804 6.12741086],[-0.71161234 -0.89537829],[4.97870889 2.39516718],[-0.48453749  1.16118073],[2.95805694 6.20185764],[ 0.60073483 -1.03492611],[3.0853339  4.51264208],[ 1.04017588 -0.48060501],[5.07538547 6.76763399],[ 0.99100383 -0.17047276],[3.18795095 4.62937607],[0.7628515  0.86964355],[5.82412851 6.4287567 ],[ 0.12585689 -1.13505101],[6.88415878 2.83156675],[-0.38122085  1.21295366]
[4.30072529 6.92888666],[-0.07609739  0.79420329],[5.79063326 5.34731872],[-1.11026964  0.23231191],[5.11036092 6.03793133],[-0.70111803 -0.89098831],[4.93164963 2.51166668],[-0.45709964  1.16817993],[3.01910967 6.09941876],[ 0.62013512 -1.01387188],[3.18971884 4.46614398],[ 1.0468059  -0.44992352],[5.17401523 6.74868294],[ 0.98443238 -0.20517265],[3.26480292 4.71552219],[0.77692082 0.8561425 ],[5.83525355 6.31553751],[ 0.09816498 -1.12801288],[6.84449379 2.95202655],[-0.41000674  1.19773634]
[4.29322019 7.00728973],[-0.07089767  0.77685651],[5.67972004 5.36984546],[-1.10478992  0.22133943],[5.04076262 5.9490444 ],[-0.69040927 -0.88630758],[4.8870552  2.62853409],[-0.43731334  1.16688797],[3.08188717 5.99891555],[ 0.63260144 -0.99874103],[3.29511711 4.42312657],[ 1.06163131 -0.40957633],[5.27165774 6.72606709],[ 0.9691202  -0.24616127],[3.34294372 4.80023327],[0.78691705 0.83925053],[5.8434608  6.20285426],[ 0.06715389 -1.12444584],[6.80223026 3.07109513],[-0.43592254  1.18252429]
[4.28625786 7.08394102],[-0.06820206  0.7562853 ],[5.5695306  5.39143065],[-1.09657291  0.21284737],[4.97226249 5.86065754],[-0.67936241 -0.88117647],[4.84442688 2.74528738],[-0.41489842  1.16848312],[3.14619586 5.90027324],[ 0.6534661  -0.97418601],[3.4017746  4.38402812],[ 1.07193    -0.37173052],[5.3677205 6.6993825],[ 0.95427296 -0.28499593],[3.42215742 4.88336398],[0.79388807 0.82004495],[5.84857442 6.0905611 ],[ 0.03971535 -1.116868  ],[6.75711368 3.18829528],[-0.46443243  1.16313633]
[4.28013188 7.15905679],[-0.05416357  0.74594209],[5.46013188 5.41213239],[-1.09066179  0.20188448],[4.90491258 5.77283353],[-0.66665436 -0.87433012],[4.80374975 2.86191728],[-0.3963177   1.16635074],[3.21218651 5.80371479],[ 0.66614086 -0.95703995],[3.50899408 4.34829741],[ 1.07344724 -0.34183392],[5.46225294 6.66887715],[ 0.93739614 -0.32376251],[3.50219786 4.96473988],[0.80617117 0.80685904],[5.85143166 5.97945271],[ 0.01626791 -1.10661071],[6.70981643 3.3041068 ],[-0.48201797  1.15207217]
[4.27519535 7.23284427],[-0.04518662  0.7290225 ],[5.35150721 5.43189877],[-1.0792841   0.19613155],[4.83908344 5.68593436],[-0.6540404  -0.86777684],[4.76514761 2.97852764],[-0.37846313  1.16322694],[3.27960446 5.70907746],[ 0.68227786 -0.93550735],[3.61629159 4.3154899 ],[ 1.07344745 -0.31336423],[5.55517314 6.63468151],[ 0.92152587 -0.35928983],[3.58321919 5.04458295],[0.81338264 0.78926218],[5.85182521 5.86922624],[-0.00923409 -1.09872367],[6.66066099 3.41858212],[-0.50081063  1.13743436]
[4.27117775 7.30490175],[-0.03443574  0.71262845],[5.24410816 5.45121505],[-1.07119883  0.18774829],[4.7744163  5.59959112],[-0.64228446 -0.86206612],[4.72831094 3.09482398],[-0.35988902  1.16109083],[3.34846648 5.61646254],[ 0.69157816 -0.92000552],[3.72345763 4.28539286],[ 1.07347862 -0.2849568 ],[5.64659161 6.59714736],[ 0.90313558 -0.39474969],[3.66478038 5.12251587],[0.82058758 0.7722667 ],[5.84957178 5.75970868],[-0.03309562 -1.08890744],[6.6094008  3.53129572],[-0.52307523  1.11803596]
