[1.83887882 5.722916  ],[ 4.10340358 -3.97996271],[8.71759488 8.09842243],[-4.85273135  3.64892489],[3.0184349  9.00276915],[3.48599921 3.80019337],[9.87380212 5.15045648],[ 0.53932626 -1.32529811],[6.06650021 6.38581206],[-4.32817076  1.57111044],[6.01415497 9.52122302],[-0.49137232 -0.58707584],[3.25347454 5.7000647 ],[0.93610691 0.89406406],[6.29918993 1.80230843],[1.91248925 4.75461027],[6.64294011 4.00678545],[-2.18269816 -2.69608812],[9.64270567 1.0226151 ],[-0.51304401 -0.06132824]
[5.56852154 4.66464721],[1.06023476 0.21363414],[5.33441254 7.55735838],[-0.66148587 -0.94235212],[6.19872128 8.27067908],[ 0.54323997 -1.08898343],[7.64926409 3.56844338],[-1.18288497  0.30202024],[3.20765068 6.55935285],[-0.44890335 -0.53503139],[5.34536306 6.09176059],[ 0.04872108 -1.09525904],[6.45973952 6.71344881],[ 0.97186807 -0.12694963],[6.66181412 5.72306775],[-0.2697779   1.01676336],[4.05267743 3.52597294],[-0.55270715  0.88455884],[6.93783933 3.58715591],[-0.69931899  1.02681465]
[5.67397544 4.68716448],[1.04500607 0.23277517],[5.26983676 7.46226323],[-0.63079292 -0.959836  ],[6.25140437 8.16134144],[ 0.5098197 -1.0982957],[7.53183521 3.6007844 ],[-1.16646512  0.34337119],[3.16508671 6.50354908],[-0.40092292 -0.5801858 ],[5.35052851 5.98262364],[ 0.05446903 -1.08737677],[6.55632663 6.69949996],[ 0.95778083 -0.15404111],[6.6339553  5.82418528],[-0.28495274  1.00775046],[3.99989307 3.61667672],[-0.50449428  0.92676785],[6.86846634 3.68975029],[-0.68652527  1.02663364]
[5.77749146 4.71113649],[1.02486297 0.24599081],[5.20843179 7.36563363],[-0.59883122 -0.97390242],[6.300543   8.05091872],[ 0.4722314  -1.11067961],[7.41570546 3.63673654],[-1.15765372  0.37328571],[3.12740851 6.44311998],[-0.35277041 -0.62900263],[5.35642305 5.87447013],[ 0.06158879 -1.07746978],[6.65128786 6.68264716],[ 0.94375988 -0.18063774],[6.60444354 5.9241877 ],[-0.30253975  0.99490446],[3.95167664 3.71102065],[-0.4588658   0.96009506],[6.80035888 3.79229875],[-0.67608506  1.02383704]
[5.87914085 4.73653526],[1.00705934 0.2608487 ],[5.14980809 7.26730285],[-0.57118503 -0.98978995],[6.34581882 7.93923438],[ 0.43493956 -1.12116677],[7.3006079  3.67559945],[-1.14200575  0.4057961 ],[3.09438749 6.37749417],[-0.30669395 -0.68280911],[5.36271299 5.76704369],[ 0.06449244 -1.07055133],[6.74495157 6.66329307],[ 0.92859545 -0.20722766],[6.57320516 6.02287755],[-0.32464785  0.97644735],[3.90814853 3.80853405],[-0.4108155   0.99014112],[6.73306572 3.89434367],[-0.66961919  1.01727537]
[5.97918393 4.76358667],[0.99548669 0.28189085],[5.09415091 7.16769873],[-0.53902756 -0.9990487 ],[6.38699023 7.82621669],[ 0.39209394 -1.13527754],[7.1867654  3.71724689],[-1.13375294  0.42744995],[3.06646774 6.30687771],[-0.25212459 -0.73011419],[5.36965046 5.66069557],[ 0.07360362 -1.05702508],[6.83713578 6.64136665],[ 0.91188674 -0.23439816],[6.53973049 6.11968843],[-0.34458295  0.95992934],[3.87000457 3.90933744],[-0.3517918   1.02512706],[6.66673251 3.99604501],[-0.6575968   1.01617133]
[6.07800818 4.79272533],[0.97978431 0.29958863],[5.04169416 7.06723643],[-0.50889696 -1.00868041],[6.4244265 7.7123956],[ 0.35539426 -1.14230909],[7.07390907 3.76102096],[-1.12104499  0.44988876],[3.04440562 6.23186442],[-0.19084695 -0.7718963 ],[5.37736727 5.55557428],[ 0.08155647 -1.04457473],[6.92756051 6.61666628],[ 0.89507412 -0.26100584],[6.5040393  6.21460092],[-0.36810772  0.93940766],[3.83758102 4.01315136],[-0.29958155  1.04753309],[6.60101433 4.09705466],[-0.65513571  1.00574641]
[6.17555502 4.8239463 ],[0.97111021 0.32505548],[4.99209511 6.96575215],[-0.48325968 -1.02080661],[6.45800352 7.59774276],[ 0.32166598 -1.14510138],[6.96208138 3.80664139],[-1.11327972  0.46420916],[3.02845424 6.15265064],[-0.12985981 -0.81379643],[5.38584338 5.45166771],[ 0.08806596 -1.03343254],[7.01605211 6.589087  ],[ 0.87614964 -0.28912729],[6.46644653 6.30787396],[-0.38377936  0.92577033],[3.8101699  4.11879823],[-0.2496661   1.06383152],[6.53560909 4.19710963],[-0.65144001  0.99691955]
[6.27194979 4.85749065],[0.95803173 0.34716495],[4.94499378 6.86310721],[-0.45674085 -1.02966579],[6.48852971 7.48311692],[ 0.29012304 -1.14623325],[6.85182554 3.85437643],[-1.08898418  0.49330461],[3.01841588 6.0691539 ],[-0.06887244 -0.85346722],[5.39492981 5.3488546 ],[ 0.09370716 -1.02274973],[7.10260314 6.55868401],[ 0.85511726 -0.31856988],[6.42716939 6.39960333],[-0.40111961  0.90928873],[3.78773803 4.22589649],[-0.19905884  1.07748512],[6.47039945 4.29612296],[-0.64974496  0.98638355]
[6.36709842 4.8933582 ],[0.9425133  0.36778306],[4.90087798 6.75998777],[-0.4274737  -1.03439741],[6.5159467 7.368423 ],[ 0.26147401 -1.14442912],[6.74390461 3.90491487],[-1.0715829  0.5150835],[3.01460583 5.98198898],[-0.00541711 -0.88708079],[5.40441016 5.24697484],[ 0.09925695 -1.01142106],[7.18676218 6.52507377],[ 0.82840155 -0.35324798],[6.38598094 6.48946596],[-0.41972925  0.89071573],[3.77032564 4.33416135],[-0.14862007  1.08792569],[6.40550625 4.39423256],[-0.64694631  0.97695891]
[6.46060587 4.93121881],[0.92685994 0.38867298],[4.85974842 6.65652004],[-0.39578474 -1.03546905],[6.54036036 7.25376416],[ 0.22943467 -1.14596609],[6.63783302 3.95766272],[-1.05057621  0.5390066 ],[3.01733885 5.89188695],[ 0.05912743 -0.91490098],[5.41479206 5.14655993],[ 0.10528237 -0.99995194],[7.26861349 6.48839187],[ 0.80749132 -0.38129435],[6.34319091 6.57767318],[-0.43523288  0.87407161],[3.75801218 4.44337156],[-0.09889786  1.09474446],[6.34082842 4.49133419],[-0.64825909  0.96346446]
