[3.5295562  8.05157737],[-0.19533031  0.8304752 ],[4.24951209 6.08955634],[-0.33984084 -0.90161066],[6.68151625 8.88202966],[-0.29220922  0.61789424],[8.11811265 9.09845334],[-1.24785912 -0.52312181],[0.95843706 2.02055098],[0.80736982 1.19106638],[6.82141658 5.24581679],[-0.71717523 -0.68064278],[3.04240266 9.2299512 ],[-0.35137085 -1.12024513],[7.0410162  9.03514046],[-0.0879332  -1.21066644],[4.01106954 5.60338808],[ 0.62478543 -0.74613849],[1.59801209 3.88027593],[1.16273238 0.66977517]
[3.51076401 8.13374162],[-0.17902548  0.8142457 ],[4.21591829 5.99991506],[-0.33423036 -0.89342001],[6.64863209 8.94244684],[-0.36474655  0.59085403],[7.99411046 9.04535706],[-1.23178236 -0.53800774],[1.03950291 2.13925159],[0.81487119 1.18397868],[6.74695778 5.17961688],[-0.77216759 -0.64373033],[3.00952906 9.11665964],[-0.30127693 -1.13977334],[7.02949134 8.91415284],[-0.14356767 -1.20996428],[4.07448213 5.53001303],[ 0.6409758 -0.7236111],[1.71354633 3.94824269],[1.14349795 0.6845623 ]
[3.49396059 8.2145973 ],[-0.15828348  0.80150444],[4.18291994 5.91113101],[-0.32575443 -0.88230478],[6.60832478 8.99988909],[-0.44072796  0.55814348],[7.87146605 8.99060936],[-1.21966801 -0.55534085],[1.12107144 2.25703299],[0.81955016 1.17486447],[6.66726251 5.11732299],[-0.82137901 -0.60210686],[2.98180078 9.00179715],[-0.25378831 -1.15706639],[7.01226624 8.79317479],[-0.19913882 -1.20786902],[4.13935734 5.45880708],[ 0.65368884 -0.70311041],[1.82725049 4.01763702],[1.12783182 0.70018759]
[3.47917052 8.29406764],[-0.1358727   0.78938175],[4.15038885 5.82308745],[-0.32120727 -0.87486065],[6.56099786 9.05446915],[-0.50610619  0.53239664],[7.75033828 8.93450635],[-1.20213258 -0.56545062],[1.20293872 2.37377617],[0.81745715 1.15990955],[6.58286684 5.05933144],[-0.86288048 -0.5544616 ],[2.9587775  8.88543618],[-0.20563582 -1.16824078],[6.98997188 8.67288907],[-0.24565871 -1.19697892],[4.20545558 5.38967481],[ 0.66676041 -0.68082979],[1.93942196 4.08851996],[1.11407847 0.71562269]
[3.46665389 8.37228422],[-0.11694538  0.7723546 ],[4.11855321 5.73602802],[-0.31502606 -0.86580321],[6.50676654 9.10587161],[-0.57958296  0.4936306 ],[7.63085951 8.87740338],[-1.18748841 -0.57643687],[1.28473535 2.48922718],[0.81907464 1.14988093],[6.49436515 5.00605165],[-0.90638355 -0.51092259],[2.94095453 8.76853682],[-0.15087264 -1.16916491],[6.96315272 8.5537575 ],[-0.29119065 -1.18628659],[4.27276009 5.32273826],[ 0.67940343 -0.65761382],[2.04981099 4.16042628],[1.09613006 0.72452431]
[3.45593316 8.44865602],[-0.098038    0.75435735],[4.0873706 5.6499135],[-0.31108879 -0.85891518],[6.4452206  9.15312862],[-0.65205171  0.44960498],[7.51248447 8.81888459],[-1.17714551 -0.59097673],[1.36678945 2.6038028 ],[0.82227131 1.14203961],[6.40183785 4.95730673],[-0.94369342 -0.46413327],[2.92842635 8.65151907],[-0.10035041 -1.17123676],[6.93151414 8.43542474],[-0.33940166 -1.17822163],[4.34134714 5.25820866],[ 0.69328187 -0.63181827],[2.1585126  4.23322597],[1.07946819 0.7326611 ]
[3.44727166 8.52333335],[-0.07476642  0.7393423 ],[4.05649952 5.56443204],[-0.30662597 -0.85097654],[6.37659551 9.19578074],[-0.72005088  0.40243519],[7.39549609 8.75932424],[-1.16468784 -0.60209374],[1.44935425 2.71780268],[0.82865895 1.13761561],[6.30574135 4.91323434],[-0.97737018 -0.41712268],[2.92075557 8.53428592],[-0.0530036  -1.17257386],[6.89547904 8.31829206],[-0.38051649 -1.16383783],[4.41116573 5.19616972],[ 0.7051377  -0.60669772],[2.26580756 4.30702019],[1.06405642 0.74047972]
[3.44076474 8.59624935],[-0.05654663  0.71767824],[4.02633095 5.48000417],[-0.29914924 -0.83998413],[6.30109843 9.23321009],[-0.78850846  0.34593439],[7.27985075 8.69880615],[-1.1501741  -0.60998852],[1.53207718 2.83090392],[0.82712149 1.12588937],[6.20645471 4.87385313],[-1.00832735 -0.37129129],[2.91791453 8.41719811],[-0.00440884 -1.16923103],[6.85546858 8.20266947],[-0.41865848 -1.14782644],[4.48238044 5.13692446],[ 0.71611514 -0.58102705],[2.37142115 4.38136112],[1.04933381 0.74719798]
[3.43646652 8.66730616],[-0.02998248  0.70257453],[3.99662846 5.39640908],[-0.29448621 -0.83144938],[6.2193388  9.26509241],[-0.84543873  0.29137005],[7.1653951  8.63728598],[-1.13945009 -0.62083845],[1.61458685 2.94281987],[0.82493016 1.11442442],[6.10429336 4.83906022],[-1.0364782  -0.32706751],[2.91967912 8.30035859],[ 0.0377039  -1.16875141],[6.81160375 8.0885451 ],[-0.45727671 -1.13344312],[4.55418846 5.07980298],[ 0.72260853 -0.55863807],[2.47553657 4.45627827],[1.03358105 0.7514299 ]
[3.4349264  8.73683417],[-0.00113044  0.68730592],[3.96733601 5.31362856],[-0.29274826 -0.82541568],[6.1319621  9.29110324],[-0.90112553  0.22807913],[7.05192068 8.57461111],[-1.12757675 -0.6301069 ],[1.69692038 3.05366852],[0.82176396 1.10270397],[5.99948163 4.808603  ],[-1.0618975  -0.28515584],[2.92539174 8.18353905],[ 0.07686175 -1.16662234],[6.76429749 7.97621501],[-0.48692311 -1.1117273 ],[4.62728433 5.02563227],[ 0.73691357 -0.52692043],[2.57834009 4.53181502],[1.02343399 0.76008547]
