[5.35707676 3.87483566],[ 0.78380885 -0.60106208],[3.73622754 5.84157151],[ 0.73685286 -0.95925494],[1.67998006 3.19213305],[1.06541538 0.77061452],[3.7231874  5.17196878],[-0.43251968  0.7578423 ],[5.76760889 5.98708223],[-0.98712807  0.31040723],[4.82583925 4.40663773],[ 0.86127208 -0.63394136],[8.31202323 5.07894147],[-0.91405089 -0.84100601],[8.79611925 2.9095664 ],[-1.03300627  0.83698411],[5.89902234 1.92386319],[-0.62266497  1.08574791],[3.09094674 6.87591796],[0.40995522 0.25747978]
[5.43523441 3.81545936],[ 0.77576724 -0.59002721],[3.80982736 5.74612449],[ 0.73484658 -0.94992494],[1.78679781 3.26795252],[1.07167249 0.74695345],[3.68119912 5.24786774],[-0.40516553  0.7619991 ],[5.6683387  6.01605371],[-1.00089092  0.26594784],[4.91169502 4.3438323 ],[ 0.85557673 -0.62240689],[8.21922407 4.99649818],[-0.94031324 -0.80683398],[8.69234881 2.99222274],[-1.04128948  0.81714911],[5.8376124  2.03265827],[-0.60551205  1.0900209 ],[3.13589478 6.89942796],[0.49130113 0.21392045]
[5.5125676  3.75717843],[ 0.7677668  -0.57870559],[3.88322319 5.65162672],[ 0.7314139  -0.94161521],[1.89419919 3.34148285],[1.07897181 0.72671756],[3.6420077  5.32417553],[-0.37823035  0.76437969],[5.56788142 6.04062533],[-1.00855973  0.22487002],[4.99688511 4.28209104],[ 0.84747485 -0.61318473],[8.12414542 4.9176666 ],[-0.96358887 -0.77269774],[8.58781215 3.07292762],[-1.04698611  0.79935416],[5.77775836 2.14167326],[-0.59232325  1.08946445],[3.18932959 6.91860037],[0.57701768 0.16841324]
[5.58942907 3.70037602],[ 0.76821894 -0.55847521],[3.95625182 5.55795957],[ 0.73257628 -0.92833096],[2.00225365 3.41303618],[1.08360843 0.70620395],[3.60532188 5.40047412],[-0.35428633  0.7626269 ],[5.46675108 6.06107706],[-1.01233718  0.18566005],[5.08165347 4.22167154],[ 0.84558886 -0.59745265],[8.02648589 4.84183276],[-0.98723189 -0.7422018 ],[8.48231255 3.15142866],[-1.06309993  0.7703899 ],[5.71939075 2.25077498],[-0.57424906  1.09319274],[3.25122914 6.93289761],[0.66011472 0.11637393]
[5.66567951 3.64496407],[ 0.75818121 -0.54835527],[4.02958589 5.46580562],[ 0.73458768 -0.91427737],[2.11073937 3.48260919],[1.08625304 0.68573402],[3.57158804 5.47708486],[-0.31966404  0.76995195],[5.36534598 6.0776364 ],[-1.01521861  0.14580519],[5.16568116 4.16228133],[ 0.8348283  -0.59052028],[7.92683007 4.76926441],[-1.005073   -0.70886983],[8.37573977 3.22752556],[-1.07020714  0.74963398],[5.6628072  2.36017623],[-0.55930751  1.09290322],[3.32127938 6.94176485],[0.74055305 0.06094936]
[5.74155672 3.59121681],[ 0.75823568 -0.52759993],[4.10284564 5.37478788],[ 0.73030981 -0.90632076],[2.2196864 3.5504302],[1.09170917 0.6701036 ],[3.54099463 5.55400957],[-0.29236861  0.76817776],[5.26393851 6.090423  ],[-1.01237703  0.11038011],[5.24892074 4.10387484],[ 0.82859195 -0.5789744 ],[7.82516743 4.69965463],[-1.02673516 -0.68249493],[8.26847732 3.30154459],[-1.07480526  0.73095166],[5.60750652 2.46933925],[-0.54625933  1.09073233],[3.39898475 6.94481828],[0.81488323 0.0024413 ]
[5.81706    3.53919635],[ 0.75193902 -0.51264756],[4.17628249 5.28517662],[ 0.73312636 -0.89123867],[2.3290962  3.61670606],[1.09649096 0.65579554],[3.51337806 5.63092358],[-0.2614097   0.76840557],[5.16284734 6.09964859],[-1.00764394  0.07588634],[5.33177895 4.04688066],[ 0.82919992 -0.56018905],[7.72189165 4.63308672],[-1.04039838 -0.65097833],[8.16106862 3.37401223],[-1.07717215  0.7145939 ],[5.55356031 2.57832403],[-0.53090402  1.09068552],[3.48433378 6.94258835],[ 0.88817003 -0.0492084 ]
[5.89227466 3.48904246],[ 0.74960402 -0.49309968],[4.24976611 5.19684414],[ 0.73631174 -0.875657  ],[2.43866077 3.68131   ],[1.09787023 0.6395809 ],[3.48911728 5.70802097],[-0.22660337  0.77039464],[5.0621711  6.10532417],[-1.00493211  0.03830272],[5.4142477 3.991338 ],[ 0.82244646 -0.54839135],[7.61768679 4.56999481],[-1.04509988 -0.61258805],[8.05330538 3.44471157],[-1.07865475  0.69882236],[5.50146612 2.68757191],[-0.51269479  1.09250656],[3.57595586 6.93465935],[ 0.9415914  -0.10996391]
[5.96701944 3.44063488],[ 0.74504492 -0.47522155],[4.32337017 5.10987591],[ 0.73613153 -0.86333609],[2.54829944 3.74429316],[1.09891849 0.62437022],[3.46823488 5.78510814],[-0.19256924  0.76948453],[4.96157642 6.10695658],[-1.00470773 -0.00380576],[5.49620607 3.93715372],[ 0.81570399 -0.53627573],[7.51254195 4.51017017],[-1.05730717 -0.58386784],[7.94538658 3.51382183],[-1.08096427  0.68209703],[5.45098716 2.79677115],[-0.49739305  1.09102562],[3.6726208 6.9209799],[ 0.98745201 -0.16546593]
[6.04122835 3.39396359],[ 0.74048017 -0.45679139],[4.39683183 5.02402474],[ 0.73462188 -0.85213442],[2.65788143 3.80565359],[1.09359318 0.60387448],[3.45036256 5.86161791],[-0.16232448  0.7630166 ],[4.86132301 6.10459418],[-0.99905153 -0.04229278],[5.5774618  3.88416501],[ 0.80776137 -0.52517661],[7.40624337 4.45315791],[-1.06897237 -0.5572155 ],[7.83729063 3.58130068],[-1.08216305  0.6662472 ],[5.40203662 2.9058139 ],[-0.48123375  1.09012228],[3.77296184 6.90151235],[ 1.01966983 -0.22123401]
