[3.60072912 3.55382631],[1.24551746 0.2032723 ],[3.79690263 3.498917  ],[1.21990177 0.28922822],[7.45897139 3.83224233],[ 0.66463819 -0.32724085],[4.71868556 5.07955172],[0.78152911 0.84977324],[6.96037473 2.77806251],[-1.04515454  0.60895218],[9.38308374 7.08131482],[-0.90601539 -0.93545717],[7.05252491 7.81128655],[ 0.70598409 -0.84497931],[6.62645685 5.7113173 ],[-0.84208039  0.66569009],[6.22516095 7.24961597],[-0.65031552 -0.98479848],[5.16647806 7.52197754],[0.35694291 0.69164768]
[3.72480374 3.57595194],[1.23557346 0.2384497 ],[3.91803239 3.52910589],[1.20438905 0.31576752],[7.52526921 3.80081644],[ 0.65798322 -0.30445042],[4.79732699 5.1636019 ],[0.79223956 0.83228554],[6.85727512 2.84086187],[-1.01832193  0.64502999],[9.2911676 6.9885248],[-0.92856987 -0.91717353],[7.12121568 7.72481883],[ 0.66640994 -0.88482995],[6.54210138 5.77686614],[-0.84529783  0.64494782],[6.16135538 7.15089492],[-0.62329292 -0.98697633],[5.20378714 7.58956014],[0.39084468 0.66114891]
[3.8480151  3.60166751],[1.22985079 0.27698498],[4.0378714  3.56212818],[1.18901295 0.34089254],[7.59045353 3.77127403],[ 0.64623326 -0.28576141],[4.87696052 5.24585077],[0.80347002 0.81584193],[6.7569133  2.90716775],[-0.98931848  0.6801883 ],[9.1976838  6.89809547],[-0.94039581 -0.89123   ],[7.18563522 7.63434061],[ 0.6231892  -0.92264271],[6.45743703 5.84032628],[-0.8494831   0.62265808],[6.10011853 7.0518554 ],[-0.60054846 -0.99271696],[5.24478279 7.65422111],[0.42974539 0.63222025]
[3.97024343 3.63079317],[1.21446573 0.30485855],[4.15617251 3.59754745],[1.17854674 0.36890319],[7.65463912 3.74383318],[ 0.63851343 -0.26179822],[4.95773633 5.32649954],[0.81106595 0.79626544],[6.6592106  2.97660038],[-0.9639199  0.7087609],[9.10317279 6.81027487],[-0.95049737 -0.86633607],[7.24593626 7.54053555],[ 0.58102003 -0.9545161 ],[6.37217838 5.90134167],[-0.85360317  0.59963207],[6.04107626 6.95221461],[-0.58049685 -1.00007747],[5.28979961 7.71593728],[0.46940541 0.60039056]
[4.0909104  3.66255926],[1.20024088 0.33147752],[4.27330593 3.63560828],[1.16478203 0.39269168],[7.7181718  3.71898854],[ 0.63298793 -0.23397291],[5.0390523  5.40499542],[0.81404219 0.77253354],[6.56452126 3.04923295],[-0.93286049  0.74050271],[9.00758981 6.72475227],[-0.96150338 -0.84491558],[7.30215215 7.44389322],[ 0.54511626 -0.97592471],[6.28682543 5.96034574],[-0.85261908  0.58120881],[5.98418604 6.85204284],[-0.55515995 -1.00112281],[5.33870211 7.77420871],[0.51012594 0.56597991]
[4.20994441 3.69666142],[1.18299184 0.35270809],[4.38894422 3.67584996],[1.14850385 0.41235196],[7.78145313 3.69733067],[ 0.63275322 -0.19868941],[5.12072574 5.48119701],[0.81916915 0.75132199],[6.47248849 3.1244614 ],[-0.90464772  0.76681676],[8.91108639 6.64143053],[-0.96794213 -0.82128052],[7.35469772 7.34519134],[ 0.50702034 -0.99638996],[6.2015296  6.01744347],[-0.8515648   0.56240325],[5.92979089 6.75174888],[-0.53353177 -1.0053754 ],[5.39191403 7.82909147],[0.55430351 0.53133715]
[4.32717994 3.73268825],[1.16331938 0.36894499],[4.50319435 3.71822734],[1.1364647  0.43499479],[7.84457775 3.67919376],[ 0.62917486 -0.16424696],[5.20300018 5.55538242],[0.82798336 0.73414661],[6.38371541 3.20265118],[-0.8728491   0.79460008],[8.81383409 6.56026068],[-0.97822782 -0.80365101],[7.40326164 7.24442394],[ 0.46411554 -1.01854797],[6.11658609 6.07288988],[-0.84502989  0.54879504],[5.87742026 6.65094201],[-0.51353914 -1.0101718 ],[5.44979858 7.88058736],[0.60093205 0.49565438]
[4.44318016 3.77099335],[1.15648884 0.3969938 ],[4.61626708 3.76285397],[1.12403464 0.45653574],[7.90699384 3.66426844],[ 0.62311664 -0.12988901],[5.28618877 5.62790432],[0.8353021 0.7158874],[6.29788842 3.28327742],[-0.84154784  0.81973695],[8.71563757 6.48082526],[-0.98246342 -0.78215617],[7.4476494  7.14171192],[ 0.4265087  -1.03246618],[6.03199995 6.12666812],[-0.84831381  0.52499104],[5.82738839 6.55002863],[-0.48838685 -1.00927556],[5.51210279 7.92810911],[0.64412816 0.45334344]
[4.55821661 3.81181796],[1.14466575 0.41975634],[4.72799428 3.80948769],[1.1110483  0.47650455],[7.9688807  3.65299616],[ 0.61564231 -0.09409574],[5.36978361 5.69828679],[0.83827184 0.69350923],[6.21504015 3.36616607],[-0.8161697   0.83697324],[8.61687242 6.40330071],[-0.99095293 -0.76680364],[7.48813952 7.03758426],[ 0.38709295 -1.04603267],[5.94745896 6.17839811],[-0.84246606  0.509638  ],[5.77970964 6.44906522],[-0.46522311 -1.00989987],[5.57856009 7.97108528],[0.68708884 0.40790159]
[4.6718928  3.85468626],[1.12774927 0.43626972],[4.83848086 3.85814055],[1.09657573 0.49423092],[8.03007447 3.64550862],[ 0.60655113 -0.05682355],[5.45370896 5.76647397],[0.84006721 0.6701057 ],[6.13504327 3.45099913],[-0.78380561  0.85936127],[8.51794328 6.32791466],[-0.98933736 -0.74284643],[7.52478301 6.93228645],[ 0.3463165  -1.05908427],[5.86317774 6.2282447 ],[-0.84267577  0.48765211],[5.73404257 6.34777636],[-0.44823624 -1.01575055],[5.64958288 8.00967552],[0.73281264 0.36315337]
