[8.09254258 2.83287916],[-3.86635024 -2.0191921 ],[5.35474431 9.47966055],[ 2.02950415 -0.55316385],[1.14552749 4.8050083 ],[-2.31146671  4.13753581],[0.63818114 0.22698582],[-4.7003927  -2.89525533],[8.60803947 4.5470967 ],[ 0.28973642 -4.88298035],[2.33881304 1.4264564 ],[-1.15674624  1.42959409],[2.70068618 4.831035  ],[-0.50944821  2.19093024],[7.66075488 5.03130229],[ 1.26774422 -2.19237638],[1.70636042 3.99340408],[-0.36445132  2.0348917 ],[7.32466492 8.15636102],[4.86092292 4.42087372]
[4.3788994  3.31856273],[-0.85730415  0.75243212],[6.25826514 6.17819625],[-0.50191204 -1.09530109],[2.61749874 7.03308371],[ 1.17868753 -0.13288343],[0.56861546 1.97791164],[0.92270898 1.02412536],[5.95296876 2.74662852],[-1.15924194  0.37445522],[2.73634352 4.8511532 ],[0.7531938  0.86446059],[3.90224681 7.3017405 ],[0.98903762 0.10815053],[6.17093901 2.7551868 ],[-1.19220028  0.07773935],[3.54206355 6.52308996],[1.06806093 0.17709765],[7.51322029 7.29864814],[-0.86951365 -1.00244925]
[4.29432569 3.3946346 ],[-0.83534326  0.76761289],[6.20681868 6.06963067],[-0.52465019 -1.07401764],[2.73493446 7.01736769],[ 1.17451017 -0.17604946],[0.66174914 2.07979878],[0.93648961 1.01058464],[5.83767056 2.78571446],[-1.14474025  0.40869462],[2.81239378 4.93632569],[0.76943295 0.8408829 ],[4.00166426 7.30961558],[1.00208423 0.05283199],[6.05198924 2.76550126],[-1.18472614  0.12992456],[3.64877491 6.53855835],[1.06691537 0.13336491],[7.42579854 7.19946565],[-0.87881153 -0.98146699]
[4.21208624 3.47229701],[-0.81222888  0.78265557],[6.15317087 5.96318349],[-0.54906675 -1.05595927],[2.85205748 6.99773733],[ 1.1692325  -0.21441875],[0.75584491 2.18003956],[0.94347469 0.99269835],[5.72396302 2.82819645],[-1.12759022  0.44237198],[2.88999653 5.01913407],[0.78323414 0.81614496],[4.10216416 7.3119429 ],[ 1.006381   -0.00714822],[5.93439466 2.78150433],[-1.16961233  0.18707979],[3.75551135 6.54989582],[1.06820073 0.09425049],[7.33733741 7.10217342],[-0.89070334 -0.9649999 ]
[4.13201876 3.55126278],[-0.78803159  0.79756321],[6.09747758 5.85886312],[-0.56954517 -1.0353839 ],[2.96834884 6.9742031 ],[ 1.15821079 -0.25400705],[0.85077247 2.27873878],[0.95381213 0.98037936],[5.61194062 2.87387529],[-1.11176979  0.47180288],[2.96863371 5.09918429],[0.79186492 0.78744345],[4.20309444 7.30844971],[ 1.01166595 -0.06240177],[5.81754571 2.80223188],[-1.16449832  0.22941019],[3.86209851 6.55715869],[1.06330077 0.05107737],[7.24766538 7.00641997],[-0.89878207 -0.94642547]
[4.05478244 3.63207177],[-0.76118933  0.81393489],[6.03922791 5.75607208],[-0.59271505 -1.01793293],[3.0836818  6.94706079],[ 1.14867547 -0.28791784],[0.94638908 2.37596201],[0.95887106 0.96477366],[5.50156966 2.922422  ],[-1.09355752  0.50078922],[3.04856009 5.17684535],[0.80806366 0.76739095],[4.30416498 7.29925626],[ 1.0098431  -0.12070815],[5.70154583 2.82727537],[-1.15168623  0.27468067],[3.9683596  6.56036041],[1.06309466 0.0146453 ],[7.15750745 6.91275956],[-0.90536647 -0.92806085]
[3.98005392 3.71428464],[-0.73232011  0.83118074],[5.97907413 5.65538255],[-0.60700479 -0.99281428],[3.19770754 6.91635589],[ 1.13046941 -0.32722145],[1.04249612 2.47170103],[0.96259466 0.94963426],[5.39327046 2.97401274],[-1.07280142  0.53038098],[3.12996003 5.25240764],[0.82092819 0.74503996],[4.40494822 7.28432246],[ 1.00557522 -0.17741511],[5.58709322 2.85695449],[-1.13784725  0.31776166],[4.07436131 6.55981573],[ 1.05623455 -0.02593262],[7.06662762 6.82079552],[-0.91351753 -0.91277234]
[3.90839647 3.79834251],[-0.70153285  0.84905245],[5.91757653 5.55720586],[-0.62208616 -0.97010148],[3.31027446 6.88221351],[ 1.11970458 -0.35614392],[1.13911813 2.56615122],[0.96814304 0.93794252],[5.28701493 3.02843486],[-1.05338321  0.55661635],[3.21260482 5.32574307],[0.83190171 0.72178829],[4.50518863 7.26381363],[ 1.00195646 -0.22915278],[5.47396469 2.89068305],[-1.12474692  0.35614447],[4.1796624  6.55528486],[ 1.05145029 -0.06262153],[6.97496077 6.73031726],[-0.91653452 -0.89375413]
[3.83950039 3.88381   ],[-0.6721245   0.86436266],[5.85456814 5.46124137],[-0.63641898 -0.94775081],[3.42146678 6.84504846],[ 1.10241133 -0.38854367],[1.23607416 2.65928572],[0.9706992 0.9247144],[5.18255165 3.085215  ],[-1.03475594  0.57974811],[3.29613262 5.39658248],[0.84084157 0.69734082],[4.60466688 7.23797333],[ 0.9867875  -0.28786397],[5.36209739 2.92799547],[-1.10910451  0.39298015],[4.28451297 6.5472439 ],[ 1.04439699 -0.09893769],[6.88327886 6.6419636 ],[-0.91786539 -0.87430279]
[3.77340908 3.97060972],[-0.6496298   0.87157791],[5.79012043 5.36745464],[-0.65121484 -0.92683977],[3.53063717 6.80443296],[ 1.08367483 -0.42070767],[1.33294981 2.75082569],[0.96837483 0.90784747],[5.08036902 3.14464582],[-1.0081502   0.60937263],[3.3810164  5.46548722],[0.85633497 0.68047438],[4.70277381 7.20659915],[ 0.97500123 -0.33911693],[5.25196693 2.96901138],[-1.09261897  0.42765163],[4.38859975 6.53562354],[ 1.03595377 -0.13444824],[6.79141096 6.55544423],[-0.9207307  -0.85752515]
[3.71019478 4.05870357],[-0.61446161  0.89021124],[5.72404776 5.27557588],[-0.67038075 -0.91096933],[3.63833329 6.76113607],[ 1.06664294 -0.4483563 ],[1.42990108 2.84104394],[0.97148712 0.89756027],[4.98083997 3.20697487],[-0.98573378  0.63367282],[3.46697871 5.5322839 ],[0.86288386 0.65558031],[4.7995584  7.17019255],[ 0.96009392 -0.38881421],[5.14379703 3.0136649 ],[-1.06765381  0.46818867],[4.49162682 6.52033369],[ 1.02421894 -0.17144224],[6.69910396 6.47039363],[-0.92315718 -0.84141717]
