[4.63395162 3.33848401],[-0.66207066  0.97756162],[3.28586773 6.40398234],[ 0.97928103 -0.69649873],[4.12196004 8.70825471],[ 0.80809258 -0.97857301],[2.30796591 5.90496732],[0.29485648 0.9467069 ],[8.55030286 3.10459684],[-1.28216291  0.44609368],[4.3236273  8.06808793],[-0.45415113 -1.12582205],[5.42087574 4.99615649],[-0.86725555  0.71044633],[3.94388405 8.59157212],[ 0.88066417 -0.9033139 ],[4.66716473 3.81962249],[-0.64684479 -0.562115  ],[6.74699469 2.21366185],[-0.90294179  0.96681068]
[4.56944088 3.43718645],[-0.62646713  0.99783876],[3.38323275 6.33447949],[ 0.96745015 -0.69418742],[4.20108333 8.60935908],[ 0.77615449 -0.99731286],[2.34051943 5.99911499],[0.35787284 0.9375474 ],[8.42270502 3.15019822],[-1.26808178  0.46740579],[4.28006287 7.95519744],[-0.4209837  -1.13515524],[5.33444916 5.0668933 ],[-0.8610501   0.70449608],[4.03032667 8.50001573],[ 0.84627484 -0.92935028],[4.60163141 3.76465144],[-0.66503581 -0.5383371 ],[6.65768138 2.31085854],[-0.88429456  0.97605143]
[4.50815674 3.53749173],[-0.5981632   1.00919557],[3.47965456 6.26543641],[ 0.96293949 -0.68469453],[4.27733733 8.50898362],[ 0.74885646 -1.01009714],[2.3794916  6.09232479],[0.41767798 0.92252715],[8.29648323 3.19782287],[-1.25651381  0.48451459],[4.23985452 7.84158939],[-0.38422345 -1.13770298],[5.2486216  5.13700189],[-0.85404068  0.69911977],[4.11334256 8.40597754],[ 0.81238524 -0.95274276],[4.53429308 3.71213605],[-0.68110064 -0.51118182],[6.57025321 2.40896689],[-0.86449803  0.98578012]
[4.44963808 3.63881968],[-0.57195865  1.01747397],[3.57559247 6.19732699],[ 0.95465224 -0.6786869 ],[4.35050926 8.40704346],[ 0.71798988 -1.02508693],[2.4242427  6.18375389],[0.47424735 0.90281895],[8.17176916 3.24744031],[-1.24047122  0.50493615],[4.20277441 7.72731963],[-0.35789343 -1.14740431],[5.16368499 5.20675758],[-0.84662471  0.6940431 ],[4.19298669 8.30971719],[ 0.78254034 -0.97017902],[4.46551402 3.66256744],[-0.69418298 -0.47970077],[6.48460145 2.50781587],[-0.85118087  0.98851879]
[4.39390806 3.7410943 ],[-0.54476863  1.02579407],[3.67080176 6.12991972],[ 0.94872133 -0.67024198],[4.42060558 8.30367678],[ 0.68614311 -1.03985107],[2.47439607 6.27290941],[0.52490439 0.87636324],[8.04828735 3.2986418 ],[-1.22904901  0.51900736],[4.1684363  7.61237655],[-0.33041894 -1.15245202],[5.0792947  5.27579838],[-0.84283955  0.68504793],[4.26972567 8.21186768],[ 0.75221941 -0.98663565],[4.39544168 3.61623201],[-0.70732428 -0.44687327],[6.40014771 2.60679487],[-0.83555566  0.99335143]
[4.34085666 3.84412553],[-0.51675076  1.03416834],[3.76517324 6.06311354],[ 0.94146473 -0.66310956],[4.48815869 8.19951224],[ 0.66449575 -1.04391053],[2.52963919 6.35942591],[0.57915839 0.85311543],[7.92571873 3.35091544],[-1.21908905  0.52945879],[4.13655111 7.49681408],[-0.30767709 -1.15864902],[4.99547211 5.34411398],[-0.83510704  0.67973839],[4.34356614 8.1125692 ],[ 0.72224725 -1.00144933],[4.3243503  3.57355237],[-0.71706678 -0.40906114],[6.31749121 2.70646702],[-0.8175939   1.00002364]
[4.29049172 3.94783913],[-0.48998512  1.04054066],[3.85894454 5.99715963],[ 0.93232407 -0.65761806],[4.55319233 8.0946043 ],[ 0.63411152 -1.05609272],[2.59022987 6.44351115],[0.62927911 0.82531013],[7.80448256 3.40452125],[-1.20523746  0.54297272],[4.10689337 7.38076056],[-0.28479316 -1.16125912],[4.91225366 5.41171724],[-0.82722844  0.67432474],[4.41452664 8.01196567],[ 0.69567438 -1.01174221],[4.25187048 3.53431148],[-0.73236816 -0.37547161],[6.23659445 2.80674927],[-0.79837596  1.00752052]
[4.24283932 4.05218645],[-0.4636718   1.04567519],[3.95161124 5.93155716],[ 0.92306838 -0.65239647],[4.61508068 7.98843918],[ 0.60238393 -1.06831366],[2.65569689 6.52469089],[0.68180119 0.8001184 ],[7.68461065 3.45942309],[-1.19251431  0.55465052],[4.07969568 7.26473466],[-0.26036374 -1.16005543],[4.82984938 5.4787966 ],[-0.82149504  0.66660163],[4.48266738 7.91022136],[ 0.66865688 -1.02150189],[4.17800869 3.49863965],[-0.74468258 -0.33763146],[6.15727886 2.90742438],[-0.78609474  1.00780982]
[4.19797312 4.15716005],[-0.43476765  1.05251433],[4.04305287 5.86617111],[ 0.90851692 -0.65262201],[4.6740154  7.88131903],[ 0.5745866  -1.07568452],[2.72615792 6.60311221],[0.72758013 0.76867804],[7.56639145 3.51585916],[-1.173865    0.57216339],[4.05501688 7.14899635],[-0.235407   -1.15662747],[4.74789303 5.54496146],[-0.81832019  0.65597795],[4.54831329 7.80773904],[ 0.64198615 -1.03034037],[4.10321522 3.46712653],[-0.75269807 -0.2939265 ],[6.07910154 3.00803575],[-0.77793543  1.00400794]
[4.15566384 4.26245108],[-0.41354329  1.05123852],[4.13344545 5.80117078],[ 0.89681618 -0.64992302],[4.7302217 7.7735447],[ 0.54874968 -1.08054866],[2.80084113 6.67808228],[0.76600947 0.73092392],[7.44966527 3.57365819],[-1.16201458  0.58231426],[4.03286084 7.03370574],[-0.20881236 -1.15019448],[4.66642105 5.61021592],[-0.81559435  0.64458493],[4.61092435 7.70405882],[ 0.60830724 -1.04495278],[4.02736162 3.43979761],[-0.76401668 -0.25217118],[6.00196145 3.10849117],[-0.76465493  1.00533039]
[4.11532695 4.36748672],[-0.39257377  1.05012445],[4.22278768 5.73656287],[ 0.88901939 -0.64320306],[4.78354776 7.66502529],[ 0.519541   -1.08794029],[2.87929438 6.74926711],[0.80250154 0.6925358 ],[7.33402046 3.63231132],[-1.15331876  0.58804418],[4.0133389  6.91907048],[-0.18384339 -1.14447637],[4.58530173 5.67438949],[-0.80465054  0.64103957],[4.6705002  7.59931187],[ 0.58224185 -1.05089839],[3.95056289 3.41689644],[-0.77481512 -0.20858944],[5.92613915 3.2090616 ],[-0.74736101  1.0103984 ]
[4.07754776 4.47284228],[-0.36400381  1.0557714 ],[4.31129763 5.67258764],[ 0.88263783 -0.63477329],[4.83414697 7.55598781],[ 0.49214365 -1.09296942],[2.96105132 6.81633809],[0.83174457 0.64828857],[7.21949192 3.69172701],[-1.13697247  0.60048833],[3.99604734 6.80482278],[-0.16313253 -1.14134554],[4.50521151 5.73814156],[-0.7970423   0.63408602],[4.72738106 7.49390474],[ 0.55211685 -1.06030126],[3.87276574 3.39848416],[-0.78127199 -0.15965791],[5.85158718 3.30966131],[-0.74365004  1.00174023]
[4.04243388 4.57851647],[-0.34060806  1.05534739],[4.39941304 5.60972753],[ 0.87948823 -0.62252648],[4.88219149 7.44665653],[ 0.46829011 -1.0941883 ],[3.04573953 6.87906119],[0.86113823 0.60561951],[7.10631449 3.75208458],[-1.12637444  0.60676579],[3.9805947  6.69076687],[-0.14389783 -1.13744945],[4.42571599 5.80101792],[-0.79366575  0.62259304],[4.78136042 7.38772278],[ 0.52844744 -1.06240345],[3.7942068  3.38490315],[-0.79200532 -0.11404305],[5.77752504 3.40953666],[-0.73588433  0.99752555]
