[3.39945982 5.75791451],[ 1.75929741 -1.81881378],[2.03401961 9.36761326],[-4.20370207 -1.32508916],[5.68410959 8.38437546],[0.287792   3.20295573],[3.71415051 1.53732316],[ 4.44517719 -4.13746874],[8.81244741 1.31546694],[-0.87014225  2.12466536],[6.89411021 0.9327837 ],[-4.78205545 -1.45328611],[6.50365807 6.0555157 ],[-4.92898872 -0.88595268],[0.2294136  3.94543029],[-1.2847349   4.65114232],[1.70173344 9.24576984],[2.15991744 2.45026056],[8.17852331 0.26041723],[-1.50962571  3.74240539]
[5.86749596 3.58946764],[ 0.65249698 -0.37392429],[1.77190477 6.1385129 ],[ 0.860139   -0.90199647],[4.54616708 8.63730818],[-0.54598544 -1.15165243],[6.18968814 2.53574613],[0.06810133 1.22853248],[6.04678949 4.37042685],[-0.96246088  0.71175406],[3.87135138 2.88777768],[-0.33973746  1.16004317],[3.07049358 4.85728014],[-0.75464036 -0.43448226],[2.46820623 6.4134623 ],[1.20399291 0.03387312],[4.65459474 8.02714289],[ 0.46469474 -1.15821868],[5.79441525 3.85026764],[-0.80257939  0.90103939]
[5.93257415 3.55342573],[ 0.64906523 -0.34669531],[1.85865205 6.04937481],[ 0.87515947 -0.88012246],[4.49343788 8.52171937],[-0.50921256 -1.1601969 ],[6.19425616 2.65872498],[0.02356677 1.23052643],[5.95076562 4.44117232],[-0.9573974   0.70374983],[3.83874431 3.00380074],[-0.31253229  1.16029545],[2.99582078 4.81364605],[-0.7397891  -0.43928762],[2.58838354 6.41526219],[1.19936251 0.00230651],[4.69949561 7.91094992],[ 0.43180477 -1.16692477],[5.71423035 3.93986501],[-0.80075561  0.89124492]
[5.99704021 3.51991079],[ 0.63984891 -0.32382527],[1.94673886 5.96234457],[ 0.88926587 -0.8575629 ],[4.44365196 8.40474489],[-0.48622906 -1.17806436],[6.19434247 2.78162491],[-0.02363772  1.22509661],[5.85520264 4.5110654 ],[-0.95389664  0.69406367],[3.80900258 3.11997952],[-0.28343795  1.16209487],[2.92262268 4.76948492],[-0.72407728 -0.44395535],[2.70763824 6.4135377 ],[ 1.18557544 -0.03690381],[4.74130205 7.79412729],[ 0.4028468  -1.17095984],[5.63432606 4.02856975],[-0.79689734  0.88325277]
[6.06030992 3.48847019],[ 0.62716061 -0.3031713 ],[2.03647786 5.87788117],[ 0.90427497 -0.83274113],[4.39650535 8.28655563],[-0.45870634 -1.18705657],[6.1898089  2.90391939],[-0.06530064  1.22168905],[5.75997643 4.57996481],[-0.95046836  0.68406378],[3.78178516 3.23596133],[-0.26308824  1.15546774],[2.85105663 4.72488259],[-0.70863487 -0.44959363],[2.8257542  6.40816759],[ 1.17992948 -0.06685586],[4.77992454 7.67665476],[ 0.36968791 -1.17822179],[5.55473034 4.1163865 ],[-0.79509464  0.87298763]
[6.12266073 3.45952502],[ 0.61663915 -0.27872488],[2.1275974  5.79583955],[ 0.91839196 -0.80765358],[4.35219547 8.16772195],[-0.42756641 -1.18923341],[6.1810979  3.02565179],[-0.1062928   1.21502198],[5.66503486 4.64779261],[-0.948094    0.67272628],[3.75686062 3.35156379],[-0.24001031  1.15207862],[2.78092285 4.67956084],[-0.69369054 -0.45663544],[2.94331036 6.39994952],[ 1.17353964 -0.09467908],[4.8155743  7.55883065],[ 0.34201373 -1.17961871],[5.47541931 4.20327128],[-0.79232365  0.86349022]
[6.18406202 3.43321342],[ 0.61079325 -0.24776795],[2.22007331 5.71630496],[ 0.93139554 -0.78261173],[4.31096297 8.04874187],[-0.39671384 -1.18959426],[6.16847732 3.14671586],[-0.14518842  1.20663199],[5.57047414 4.71461711],[-0.94007183  0.66684297],[3.73441129 3.46699217],[-0.21270943  1.15267425],[2.71251802 4.63372542],[-0.67266647 -0.45842397],[3.05990216 6.38873668],[ 1.15920999 -0.12860473],[4.84847122 7.44088719],[ 0.3182701  -1.17704661],[5.39619172 4.28900464],[-0.79257432  0.85081571]
[6.24458712 3.40981415],[ 0.59915009 -0.22046731],[2.31377157 5.63924532],[ 0.94084333 -0.76017699],[4.27228637 7.9293294 ],[-0.37703001 -1.19819937],[6.15220729 3.26700385],[-0.18004322  1.1986496 ],[5.47685698 4.78100621],[-0.93231452  0.66092508],[3.71433158 3.58211025],[-0.18925911  1.14936958],[2.64610773 4.58756696],[-0.65540406 -0.46475999],[3.17538864 6.37452358],[ 1.14915621 -0.15666537],[4.87892245 7.32309547],[ 0.29008515 -1.17929361],[5.31698615 4.37350908],[-0.79160104  0.8391995 ]
[6.3037956  3.38909671],[ 0.58767952 -0.1908322 ],[2.40854663 5.56460256],[ 0.95329238 -0.73388734],[4.23568567 7.80934149],[-0.35612832 -1.20215964],[6.13268156 3.38653898],[-0.20940737  1.19242414],[5.38377225 4.84655365],[-0.93005733  0.64930267],[3.69648256 3.69679063],[-0.16621126  1.14575003],[2.58208356 4.54139377],[-0.62709429 -0.46080481],[3.28967867 6.35738658],[ 1.1368744  -0.18548264],[4.90695902 7.2054871 ],[ 0.26792903 -1.17576892],[5.23825338 4.45721633],[-0.78401602  0.83394894]
[6.36207222 3.37169246],[ 0.57558869 -0.15908106],[2.50430152 5.492365  ],[ 0.96182278 -0.7107504 ],[4.20125825 7.68917065],[-0.33414625 -1.20252001],[6.10997038 3.50503676],[-0.24674859  1.17529429],[5.29100297 4.91100775],[-0.92534618  0.63975917],[3.68123788 3.81137069],[-0.13810759  1.14626345],[2.5202371  4.49491837],[-0.6087256  -0.46775726],[3.40301373 6.33774409],[ 1.12909302 -0.20764196],[4.9328633  7.08828403],[ 0.24830411 -1.17028417],[5.16028833 4.5403938 ],[-0.77791844  0.82694496]
[6.41936326 3.35783614],[ 0.56922497 -0.11851321],[2.60059661 5.42215383],[ 0.964895  -0.6926275],[4.16894887 7.56900342],[-0.3109742  -1.19958331],[6.08378206 3.62199241],[-0.28031341  1.16026417],[5.1985893  4.97437801],[-0.92201245  0.62850346],[3.66844269 3.92560513],[-0.11742912  1.13895184],[2.46067811 4.44814424],[-0.58277434 -0.46820389],[3.5154926  6.31592851],[ 1.12037438 -0.22836188],[4.95674406 6.97153648],[ 0.22487627 -1.1690689 ],[5.08285922 4.62278664],[-0.77071944  0.82083008]
