[7.17776698 3.71949377],[-1.16943488 -0.16730336],[5.36186561 5.70606699],[-1.04389167  0.20890826],[3.29053823 8.27676942],[-0.17694917 -1.12661906],[3.15455392 6.49322254],[0.65932023 0.78807027],[5.14428677 5.46822975],[-0.59714173 -0.87581661],[4.90739804 4.85895063],[1.0733676 0.0703931],[7.94352464 4.42686134],[-1.12233006 -0.46414965],[6.09147999 8.71678078],[-0.77443153 -1.03466768],[5.8635724  1.09504337],[0.11921307 1.34159744],[1.7124376  4.35482075],[ 1.29266946 -0.084152  ]
[7.06084769 3.70539754],[-1.17098284 -0.11724382],[5.25781797 5.72633556],[-1.03735077  0.19612585],[3.27507526 8.16205842],[-0.1307457  -1.16383636],[3.22262167 6.57026517],[0.70315854 0.75402611],[5.08481416 5.38097246],[-0.59160202 -0.86860875],[5.01405454 4.86645982],[1.0584864  0.07839557],[7.83026767 4.38247849],[-1.14174061 -0.42332107],[6.01547403 8.61269779],[-0.74761113 -1.04836279],[5.87409298 1.22903271],[0.08827427 1.33498544],[1.84174128 4.34813284],[ 1.29314298 -0.0498079 ]
[6.94339635 3.69570871],[-1.17568499 -0.07500366],[5.154493   5.74538051],[-1.03191835  0.18190732],[3.26410734 8.04411105],[-0.08628629 -1.19073426],[3.29506596 6.64391304],[0.74409397 0.71747137],[5.02588014 5.29443145],[-0.58605989 -0.86115401],[5.11923083 4.87473689],[1.04560762 0.08769832],[7.7153943  4.34227454],[-1.15758296 -0.38352175],[5.94216    8.50740485],[-0.72194199 -1.06026134],[5.8813846  1.36216274],[0.05854672 1.32826226],[1.97056306 4.34433707],[ 1.28226679 -0.02769306]
[6.82586424 3.690421  ],[-1.17217741 -0.02843482],[5.05182056 5.76307985],[-1.01988929  0.17375615],[3.25779435 7.9241976 ],[-0.04190688 -1.20781577],[3.37156524 6.71390078],[0.78442419 0.68104422],[4.96739369 5.20854295],[-0.58406775 -0.85694761],[5.22306074 4.88387661],[1.02951945 0.09350296],[7.59893412 4.30578876],[-1.17073393 -0.34608264],[5.87113344 8.40079928],[-0.6986352  -1.07145017],[5.88572129 1.49455357],[0.03112554 1.32198887],[2.09866355 4.34302674],[1.27876592e+00 4.69885932e-04]
[6.70866403 3.68962293],[-1.1695699  0.0140849],[4.95024317 5.77987315],[-1.01188818  0.16186378],[3.25563503 7.80277316],[-9.39353601e-04 -1.21889223e+00],[3.45173986 6.77993597],[0.81560905 0.63642408],[4.90941383 5.12339697],[-0.5784552  -0.84888107],[5.32550591 4.89380151],[1.01883852 0.10444121],[7.48154948 4.27323151],[-1.17644724 -0.30509114],[5.80250504 8.29327461],[-0.67574208 -1.08045078],[5.88751785 1.62638648],[0.00505668 1.31454585],[2.22599004 4.34406479],[1.26699128 0.01913261]
[6.59193055 3.69312641],[-1.16603953  0.05438556],[4.84898945 5.79494155],[-1.01046875  0.14205882],[3.25744405 7.68050832],[ 0.03644087 -1.22563461],[3.53492692 6.84144935],[0.8467139  0.59266098],[4.85201751 5.03908544],[-0.57420313 -0.84200079],[5.42692398 4.90488078],[1.00901064 0.11679023],[7.36358996 4.24460617],[-1.18073604 -0.26601897],[5.73605548 8.18486572],[-0.65365552 -1.08768046],[5.8869831  1.75763134],[-0.01599241  1.30971725],[2.35219894 4.34691249],[1.25883233 0.03937492]
[6.47573466 3.70067076],[-1.15765917  0.09627713],[4.74849988 5.8086166 ],[-0.99797069  0.13283952],[3.26301311 7.55794629],[ 0.07532944 -1.2243503 ],[3.62111288 6.89853013],[0.87803124 0.55029715],[4.79488279 4.95532094],[-0.57025211 -0.83501703],[5.52705431 4.91691072],[0.99234566 0.12242443],[7.24531669 4.21984953],[-1.18214081 -0.22701929],[5.6718434  8.07587283],[-0.63166574 -1.09285183],[5.88438571 1.88831032],[-0.03513873  1.30435648],[2.47773189 4.35190169],[1.25255556 0.06109577]
[6.36009945 3.71196805],[-1.15458935  0.12941161],[4.64898914 5.82110682],[-0.9945403   0.11439656],[3.27208792 7.43540361],[ 0.10626838 -1.22533146],[3.71038941 6.95141827],[0.90417941 0.50444047],[4.73834818 4.87246939],[-0.56239541 -0.82398725],[5.62554043 4.92949565],[0.97919781 0.13108841],[7.12693581 4.19888937],[-1.18219352 -0.18934266],[5.60953404 7.96618492],[-0.61448583 -1.1004754 ],[5.87991183 2.01838049],[-0.05377473  1.29728316],[2.60223736 4.35860853],[1.24163243 0.07684049]
[6.24498071 3.7265888 ],[-1.1456201   0.16474164],[4.54981157 5.83166893],[-0.98892181  0.09665722],[3.28433534 7.31310713],[ 0.13753438 -1.2210052 ],[3.80221294 6.99972918],[0.93009929 0.45995976],[4.68250829 4.79063366],[-0.5537197  -0.81206306],[5.7226422  4.94288679],[0.96249758 0.136323  ],[7.00828349 4.18128578],[-1.18941429 -0.16221321],[5.54856773 7.85550206],[-0.60209913 -1.10996547],[5.87393447 2.14798184],[-0.06744219  1.29258416],[2.72583618 4.36703272],[1.23295881 0.09405919]
[6.13060051 3.74443876],[-1.14111243  0.19238779],[4.45117502 5.8403708 ],[-0.98194228  0.07914098],[3.29980373 7.19153365],[ 0.17462159 -1.20731862],[3.89613353 7.04317782],[0.94722923 0.40815946],[4.62731909 4.70977634],[-0.54947815 -0.80446041],[5.81837281 4.95710648],[0.95034776 0.14634399],[6.88932399 4.16661246],[-1.1922841  -0.13443773],[5.48952528 7.744651  ],[-0.57832321 -1.1064986 ],[5.86630174 2.27674135],[-0.08546064  1.28228928],[2.84867865 4.37726853],[1.22584454 0.11264585]
[6.01688272 3.76508098],[-1.13286892  0.22034627],[4.35338595 5.84743575],[-0.97302903  0.0629222 ],[3.31893876 7.07136996],[ 0.20905339 -1.19463085],[3.99176405 7.08150586],[0.96411553 0.357461  ],[4.57299052 4.63011852],[-0.53849341 -0.79013824],[5.9128447  4.97230627],[0.94011371 0.1588111 ],[6.77029926 4.15475098],[-1.18639166 -0.10111875],[5.43259824 7.63392795],[-0.56114316 -1.10858084],[5.85703933 2.40460116],[-0.09934272  1.27506795],[2.97079132 4.3893494 ],[1.21600471 0.12848947]
[5.90405008 3.78842936],[-1.12113313  0.24895343],[4.2568248  5.85320977],[-0.95877571  0.05200886],[3.34111551 6.95221097],[ 0.23759879 -1.1849262 ],[4.08892589 7.11468264],[0.9781011  0.30536451],[4.51957871 4.55170804],[-0.52815028 -0.77650292],[6.00617634 4.98868221],[0.92630104 0.16853081],[6.65166125 4.14592942],[-1.18413263 -0.07354441],[5.3772676  7.52296339],[-0.54420481 -1.109182  ],[5.84590341 2.53122513],[-0.1216813  1.2593832],[3.09188108 4.40293946],[1.20542498 0.14281648]
