[8.6027514 5.9523428],[-0.64657136 -1.13555258],[4.81323235 2.39371664],[-0.54039652  0.84452425],[5.11451687 4.52713926],[-0.84540546 -0.44033965],[5.56202103 1.44908197],[-0.34980966 -0.62461234],[5.97062725 3.68621411],[-0.05374304 -1.06083182],[6.56086101 2.44689042],[0.91801189 0.56170845],[5.05850427 3.63367281],[1.06226904 0.44675106],[8.35662393 1.08715621],[-1.03178513  0.72279352],[7.54733368 5.49387717],[0.81116053 0.0149334 ],[6.71845845 2.75635684],[ 0.73218486 -0.64749131]
[8.53774594 5.83958514],[-0.65400712 -1.12035098],[4.76148375 2.47952638],[-0.49659597  0.86912319],[5.03110025 4.48125993],[-0.82293158 -0.47752115],[5.52744812 1.38764213],[-0.34395464 -0.60647611],[5.96592065 3.5804508 ],[-0.04167658 -1.05555518],[6.65151626 2.50346628],[0.89449277 0.56895055],[5.16464466 3.67719398],[1.06006951 0.42336595],[8.25422078 1.1602318 ],[-1.0145351   0.73996564],[7.62840854 5.4926661 ],[ 0.81114424 -0.03826524],[6.79144707 2.69216807],[ 0.72634322 -0.63750636]
[8.47191989 5.72819026],[-0.66225142 -1.10757324],[4.71396552 2.56748759],[-0.45475386  0.88862223],[4.95037298 4.43202605],[-0.78992239 -0.50558699],[5.49303843 1.32761324],[-0.34422639 -0.59401629],[5.96242888 3.47527417],[-0.02804946 -1.04782926],[6.74033935 2.56124826],[0.88126432 0.58590034],[5.27051415 3.71833837],[1.05871527 0.40104563],[8.15322843 1.23456535],[-1.0042773   0.74727105],[7.70964133 5.48631681],[ 0.81053378 -0.09154457],[6.86378982 2.62892751],[ 0.71925986 -0.62853956]
[8.40541606 5.61814323],[-0.6668765  -1.09272157],[4.67068087 2.65729864],[-0.41082944  0.90719841],[4.87268926 4.37966686],[-0.76068474 -0.5387461 ],[5.45860309 1.2688601 ],[-0.34242623 -0.57893027],[5.96030765 3.37089865],[-0.01402091 -1.03927141],[6.8273977  2.62026571],[0.85853704 0.59287805],[5.37592588 3.75693174],[1.05345545 0.37468101],[8.05346294 1.30970783],[-0.99351766  0.75274592],[7.79018763 5.47402149],[ 0.80200788 -0.15263162],[6.93567441 2.56684585],[ 0.71866295 -0.61280705]
[8.33857441 5.50961306],[-0.67208692 -1.08020729],[4.63208141 2.74909379],[-0.36123792  0.92802223],[4.79825331 4.32424456],[-0.73127055 -0.57315091],[5.42470706 1.21199265],[-0.33659816 -0.5594951 ],[5.95967391 3.26747364],[ 0.00198433 -1.0286049 ],[6.91242024 2.68018001],[0.84113359 0.60450716],[5.48127777 3.79337313],[1.0545382 0.3552927],[7.95508258 1.38561618],[-0.97673713  0.76257785],[7.86972216 5.45548011],[ 0.78927938 -0.21739572],[7.00700533 2.50585842],[ 0.70860437 -0.60628691]
[8.27115251 5.40222149],[-0.67599243 -1.06754386],[4.59828065 2.84263278],[-0.31539529  0.94173262],[4.7268248  4.26536402],[-0.70005414 -0.60742253],[5.39126311 1.15695475],[-0.33429217 -0.5431944 ],[5.96031446 3.1648072 ],[ 0.01314977 -1.02221655],[6.99578973 2.74132536],[0.82333919 0.61537894],[5.58685553 3.82805509],[1.05568503 0.33721564],[7.85791144 1.4619672 ],[-0.96421158  0.76672721],[7.94794776 5.43047752],[ 0.77624886 -0.28131678],[7.0774056  2.44560606],[ 0.70058576 -0.59756188]
[8.20331165 5.29600696],[-0.67862094 -1.05480177],[4.56886432 2.93720941],[-0.2739245   0.94845048],[4.65848798 4.20294392],[-0.66654656 -0.64103843],[5.35823704 1.10375778],[-0.3285216  -0.52298969],[5.96198658 3.06273599],[ 0.02081137 -1.01842008],[7.07722614 2.80337517],[0.80752256 0.62768856],[5.69215529 3.86056041],[1.0511618  0.31376039],[7.7622938  1.53898429],[-0.94860591  0.7730413 ],[8.02492469 5.39924289],[ 0.76286705 -0.34332945],[7.1473197  2.38655557],[ 0.6950019  -0.58610649]
[8.13516962 5.19096252],[-0.68411941 -1.04610556],[4.54380014 3.03254338],[-0.22674509  0.95838892],[4.59368581 4.13726903],[-0.62722221 -0.67036907],[5.32583642 1.05265047],[-0.31761555 -0.49724281],[5.96452529 2.96119427],[ 0.028934   -1.01312046],[7.15698489 2.8665436 ],[0.78819473 0.63610346],[5.79710756 3.89083137],[1.04996599 0.29380099],[7.66787191 1.61621913],[-0.93378947  0.77759723],[8.10002255 5.36139886],[ 0.7412615  -0.41081574],[7.21661802 2.32860601],[ 0.69257891 -0.57122461]
[8.06662721 5.08689219],[-0.68646677 -1.03517574],[4.52366149 3.12891261],[-0.17854176  0.96604716],[4.53298102 4.06874942],[-0.58414643 -0.69749139],[5.29453705 1.00414413],[-0.30844187 -0.47290891],[5.96783492 2.86020344],[ 0.03888691 -1.00500713],[7.23465179 2.93036696],[0.76575723 0.64084041],[5.90202199 3.91923104],[1.04727945 0.27318095],[7.57494602 1.6938914 ],[-0.92125079  0.77922672],[8.17321327 5.31724139],[ 0.72297143 -0.4711594 ],[7.28570873 2.27219868],[ 0.6922687  -0.55383584]
[7.99790685 4.98391994],[-0.68755118 -1.02405203],[4.50831161 3.22587325],[-0.13105552  0.97008129],[4.47635777 3.99721419],[-0.54900222 -0.73401781],[5.26438839 0.9583236 ],[-0.29759757 -0.44651846],[5.97236249 2.76024583],[ 0.05083184 -0.99489877],[7.31012864 2.99468807],[0.74310673 0.64480147],[6.00666615 3.94558814],[1.04210031 0.25046544],[7.48321149 1.77162849],[-0.91111417  0.77774593],[8.24400076 5.26669775],[ 0.6952074  -0.53645629],[7.35480288 2.21758929],[ 0.68549907 -0.54242901]
[7.92899079 4.88192899],[-0.68882275 -1.01404507],[4.49748718 3.32288889],[-0.0855256   0.96983994],[4.42378135 3.92249642],[-0.50334443 -0.76130638],[5.23510008 0.91494308],[-0.2889177 -0.4217649],[5.97767405 2.66092266],[ 0.05636404 -0.99040195],[7.38361219 3.05965253],[0.72565062 0.65349185],[6.11076565 3.96963058],[1.03984928 0.23053551],[7.39278101 1.84947813],[-0.89497833  0.78170575],[8.31183004 5.20969618],[ 0.66203975 -0.60194958],[7.42327291 2.16418631],[ 0.68390082 -0.52557355]
[7.86003273 4.78097271],[-0.68861544 -1.00355112],[4.49122044 3.41977358],[-0.03719618  0.97000887],[4.37552322 3.84474604],[-0.46035958 -0.79235009],[5.2067949  0.87418208],[-0.27640312 -0.39259696],[5.98391358 2.56244927],[ 0.06716866 -0.98025886],[7.45507908 3.12519375],[0.70417871 0.65772358],[6.21425907 3.99130391],[1.03117053 0.20393996],[7.30376414 1.92750164],[-0.88601783  0.77801459],[8.37640339 5.14649733],[ 0.63122486 -0.65916194],[7.49145561 2.11236242],[ 0.67881831 -0.51178079]
[7.7908285  4.68076037],[-0.69297976 -0.99831552],[4.48992579 3.51665658],[0.01163127 0.96762207],[4.33166576 3.76395255],[-0.41744295 -0.82417228],[5.17976016 0.83638656],[-0.26436436 -0.36328783],[5.9912067  2.46496951],[ 0.0762898  -0.97169645],[7.52448936 3.19122692],[0.682967   0.66178407],[6.31696126 4.01036176],[1.02442491 0.17868179],[7.2158121  2.00529486],[-0.87294032  0.77789159],[8.43743537 5.07743755],[ 0.58708449 -0.723209  ],[7.55887978 2.06168132],[ 0.67163765 -0.49982564]
[7.72149745 4.5813421 ],[-0.69507083 -0.99156262],[4.493605   3.61325182],[0.06463066 0.96645487],[4.29222424 3.68008954],[-0.37130443 -0.8529526 ],[5.15378254 0.80141211],[-0.25053902 -0.3314464 ],[5.99958859 2.36853592],[ 0.09244473 -0.95607493],[7.59156584 3.25743243],[0.66135725 0.66503043],[6.41900721 4.02689901],[1.01689351 0.15235628],[7.12928814 2.0831777 ],[-0.85981706  0.77741347],[8.49423153 5.0024984 ],[ 0.55007447 -0.77319412],[7.62576216 2.01239105],[ 0.66527255 -0.48667979]
[7.65190743 4.48252474],[-0.69326618 -0.98149344],[4.50288544 3.70984422],[0.12340295 0.96713703],[4.25797392 3.59390702],[-0.31608044 -0.873123  ],[5.12913704 0.76961076],[-0.24246978 -0.30454555],[6.00947679 2.27351148],[ 0.10346323 -0.94619721],[7.65681705 3.32427884],[0.64130356 0.66944514],[6.52065503 4.04115359],[1.01786792 0.13482668],[7.0435586  2.16046727],[-0.85004139  0.77304291],[8.54698213 4.92255964],[ 0.50640035 -0.82292038],[7.69144595 1.96386212],[ 0.65250889 -0.47978648]
[7.58267327 4.38483417],[-0.69014401 -0.97121362],[4.51775225 3.80602229],[0.17696323 0.95899757],[4.22906308 3.50551299],[-0.26169332 -0.89419608],[5.10545563 0.74070386],[-0.23064911 -0.27293773],[6.02084617 2.17984017],[ 0.12132193 -0.92991572],[7.72010643 3.39159111],[0.62336875 0.67559107],[6.62201337 4.05331274],[1.01179384 0.11083466],[6.95932331 2.23781861],[-0.83364981  0.77495298],[8.59520672 4.83783731],[ 0.45692675 -0.87144705],[7.75639312 1.91657857],[ 0.64705996 -0.4652091 ]
[7.51388324 4.28824956],[-0.68557496 -0.96056511],[4.53804438 3.90129567],[0.22880145 0.94598918],[4.20543992 3.414889  ],[-0.20798272 -0.91528909],[5.08324456 0.7152974 ],[-0.2139475  -0.23540486],[6.03371782 2.08749798],[ 0.13561547 -0.91753467],[7.78153309 3.45942873],[0.60617389 0.68207295],[6.7227918  4.06310499],[1.00269017 0.08387611],[6.87661376 2.31522935],[-0.81902404  0.77473177],[8.6381993  4.74834476],[ 0.40367107 -0.91645931],[7.82086124 1.87084295],[ 0.63938147 -0.45235772]
